country,number,item,item_id,shortform,pageid,wikidata_description
Myanmar,15,U Bein Bridge,http://www.wikidata.org/entity/Q2157246,wd:Q2157246,40537310,"bridge in Amarapura Township, Myanmar"
Namibia,9,Katima Mulilo Bridge,http://www.wikidata.org/entity/Q488794,wd:Q488794,4085387,road bridge
Nepal,10,Sino-Nepal Friendship Bridge,http://www.wikidata.org/entity/Q7524764,wd:Q7524764,26067743,between China and Nepal
Netherlands,27,Erasmusbrug,http://www.wikidata.org/entity/Q1348188,wd:Q1348188,5245292,"combined cable-stayed and bascule bridge, completed in 1996, crossing the Nieuwe Maas in Rotterdam, Netherlands"
New Zealand,15,Auckland Harbour Bridge,http://www.wikidata.org/entity/Q758638,wd:Q758638,662948,"road bridge in Auckland, New Zealand"
Niger,8,Kennedy Bridge,http://www.wikidata.org/entity/Q1101213,wd:Q1101213,18835088,road bridge in Niamey
Nigeria,14,Third Mainland Bridge,http://www.wikidata.org/entity/Q567962,wd:Q567962,3043808,road bridge
North Korea,24,Sino-Korean Friendship Bridge,http://www.wikidata.org/entity/Q317453,wd:Q317453,615247,bridge connecting China to North Korea
North Macedonia,25,Stone Bridge in Skopje,http://www.wikidata.org/entity/Q1780883,wd:Q1780883,15052360,"bridge in Skopje, Macedonia"
Norway,21,Svinesund Bridge,http://www.wikidata.org/entity/Q278229,wd:Q278229,3829620,bridge across the Svinesund at the international border between Norway and Sweden
Pakistan,8,Ayub Bridge,http://www.wikidata.org/entity/Q3396833,wd:Q3396833,35249902,"railway bridge over the Indus River in Sindh, Pakistan"
Palau,11,Koror–Babeldaob Bridge,http://www.wikidata.org/entity/Q31374,wd:Q31374,4938038,bridge in Palau
Panama,34,Bridge of the Americas,http://www.wikidata.org/entity/Q216061,wd:Q216061,1996352,"road bridge in Panama, spanning the Pacific entrance to the Panama Canal"
Papua New Guinea,3,Hegigio Gorge Pipeline Bridge,http://www.wikidata.org/entity/Q5698451,wd:Q5698451,25960373,bridge in Papua New Guinea
Paraguay,24,Friendship Bridge,http://www.wikidata.org/entity/Q1140475,wd:Q1140475,1299319,deck arch bridge between Brazil and Paraguay in South America
People's Republic of China,47,Danyang–Kunshan Grand Bridge,http://www.wikidata.org/entity/Q595768,wd:Q595768,32359456,world's longest bridge
Peru,13,Cumbe Mayo,http://www.wikidata.org/entity/Q973833,wd:Q973833,1170842,archaeological site
Philippines,17,San Juanico Bridge,http://www.wikidata.org/entity/Q2037013,wd:Q2037013,1804219,Longest bridge in the Philippines
Poland,15,Poniatowski Bridge,http://www.wikidata.org/entity/Q2340139,wd:Q2340139,8239442,bridge in Poland
Portugal,51,Vasco da Gama Bridge,http://www.wikidata.org/entity/Q233737,wd:Q233737,885374,Bridge in Portugal
Republic of Ireland,24,Samuel Beckett Bridge,http://www.wikidata.org/entity/Q1193916,wd:Q1193916,19098744,"cable-stayed bridge in Dublin, Ireland"
Republic of the Congo,3,Brazzaville–Kinshasa Bridge,http://www.wikidata.org/entity/Q3397525,wd:Q3397525,21349232,proposed bridge crossing the Congo River
Romania,34,Trajan's Bridge,http://www.wikidata.org/entity/Q849786,wd:Q849786,1215420,Roman segmental arch bridge over the lower Danube
Russia,61,Crimean Bridge,http://www.wikidata.org/entity/Q2652980,wd:Q2652980,22563317,bridge connecting Russia's Krasnodar Krai with Crimea
Rwanda,3,Pont Ruzizi I,http://www.wikidata.org/entity/Q68177020,wd:Q68177020,61854809,Bridge in Democratic Republic of Congo
Saudi Arabia,41,King Fahd Causeway,http://www.wikidata.org/entity/Q827735,wd:Q827735,1360149,road bridge in Persian Gulf
Senegal,9,Faidherbe Bridge,http://www.wikidata.org/entity/Q2920610,wd:Q2920610,15821923,"road bridge in Saint-Louis, Senegal"
