samplepainter,country,countryLabel,numsitelinks,painterlabel
http://www.wikidata.org/entity/Q193676,http://www.wikidata.org/entity/Q1000,Gabon,52,Ludacris
http://www.wikidata.org/entity/Q155236,http://www.wikidata.org/entity/Q176495,Federal State of Austria,51,Udo Jürgens
http://www.wikidata.org/entity/Q351670,http://www.wikidata.org/entity/Q12560,Ottoman Empire,51,Komitas
http://www.wikidata.org/entity/Q228611,http://www.wikidata.org/entity/Q209065,Kingdom of Greece,51,Melina Mercouri
http://www.wikidata.org/entity/Q228611,http://www.wikidata.org/entity/Q265824,Second Hellenic Republic,51,Melina Mercouri
http://www.wikidata.org/entity/Q228611,http://www.wikidata.org/entity/Q3013827,Hellenic State,51,Melina Mercouri
http://www.wikidata.org/entity/Q156815,http://www.wikidata.org/entity/Q1775277,Dominion of India,50,Mohammed Rafi
http://www.wikidata.org/entity/Q49941,http://www.wikidata.org/entity/Q28,Hungary,50,Ilona Staller
http://www.wikidata.org/entity/Q236748,http://www.wikidata.org/entity/Q794,Iran,50,Arash
http://www.wikidata.org/entity/Q299073,http://www.wikidata.org/entity/Q843,Pakistan,49,Nusrat Fateh Ali Khan
http://www.wikidata.org/entity/Q334818,http://www.wikidata.org/entity/Q902,Bangladesh,48,Nazrul Islam
,,,,
http://www.wikidata.org/entity/Q312311,http://www.wikidata.org/entity/Q204920,Crown of Aragon,48,Peter III of Aragon
http://www.wikidata.org/entity/Q55524,http://www.wikidata.org/entity/Q70972,Kingdom of France,47,Marc-Antoine Charpentier
http://www.wikidata.org/entity/Q55524,http://www.wikidata.org/entity/Q93366,Biscay,47,Marc-Antoine Charpentier
http://www.wikidata.org/entity/Q313318,http://www.wikidata.org/entity/Q912,Mali,47,Salif Keita
http://www.wikidata.org/entity/Q240942,http://www.wikidata.org/entity/Q238,San Marino,46,Valentina Monetta
http://www.wikidata.org/entity/Q362106,http://www.wikidata.org/entity/Q219,Bulgaria,45,Boris Christoff
http://www.wikidata.org/entity/Q231276,http://www.wikidata.org/entity/Q962,Benin,44,Angélique Kidjo
http://www.wikidata.org/entity/Q272069,http://www.wikidata.org/entity/Q842438,Britons,44,Damon Albarn
http://www.wikidata.org/entity/Q239030,http://www.wikidata.org/entity/Q419,Peru,43,Yma Sumac
http://www.wikidata.org/entity/Q312609,http://www.wikidata.org/entity/Q262,Algeria,43,Khaled
http://www.wikidata.org/entity/Q312609,http://www.wikidata.org/entity/Q1028,Morocco,43,Khaled
http://www.wikidata.org/entity/Q229740,http://www.wikidata.org/entity/Q36704,Yugoslavia,42,Mira Furlan
http://www.wikidata.org/entity/Q366289,http://www.wikidata.org/entity/Q195972,Kingdom of Kartli,42,Sayat-Nova
http://www.wikidata.org/entity/Q366289,http://www.wikidata.org/entity/Q282475,Kingdom of Kartli-Kakheti,42,Sayat-Nova
http://www.wikidata.org/entity/Q313868,http://www.wikidata.org/entity/Q1033,Nigeria,42,Fela Kuti
http://www.wikidata.org/entity/Q558799,http://www.wikidata.org/entity/Q227,Azerbaijan,42,Muslim Magomayev
http://www.wikidata.org/entity/Q466531,http://www.wikidata.org/entity/Q147909,Bulgaria,42,Esma Redžepova
http://www.wikidata.org/entity/Q466531,http://www.wikidata.org/entity/Q1277557,Democratic Federal Yugoslavia,42,Esma Redžepova
