0,1
 Cote d'Ivoire,10°44′N
 Federated States of Micronesia,10°05′N
 Sierra Leone,09°59′N
 Panama,09°38′N
 Sri Lanka,09°30′N
 Liberia,08°33′N
 Guyana,08°24′N
 Palau,08°10′N
 Malaysia,07°15′N
 Maldives,07°07′N
 Indonesia,06°04′N
 Suriname,06°01′N
 French Guiana (France),05°48′N
 British Indian Ocean Territory (United Kingdom),05°38′N
 Kenya,05°35′N
 Democratic Republic of the Congo,05°22′N
 Brazil,05°15′N
 Brunei,05°04′N
 Uganda,04°14′N
 Equatorial Guinea,03°47′N
 Republic of the Congo,03°43′N
 Kiribati,03°23′N
 Gabon,02°19′N
 Sao Tome and Principe,01°42′N
 Ecuador,01°41′N
,01°40′N
 Singapore,01°28′N
 Peru,00°01′S
 Nauru,00°30′S
 Papua New Guinea,00°52′S
,02°35′S
 Tanzania,00°59′S
 Rwanda,01°03′S
 Burundi,02°18′S
 Seychelles,03°43′S
 Angola,04°24′S
 Solomon Islands,05°13′S
 Tuvalu,05°39′S
 Zambia,08°14′S
 Timor-Leste,08°19′S
 Tokelau (New Zealand),08°31′S
 Australia,09°08′S
,10°41′S
 Malawi,09°22′S
 Bolivia,09°40′S
 Mauritius,10°25′S
 Mozambique,10°27′S
 Comoros,11°22′S
 Mayotte (France),11°46′S
 Madagascar,11°57′S
 Fiji,12°30′S
 Vanuatu,13°07′S
 Wallis and Futuna (France),13°14′S
 Samoa,13°25′S
 American Samoa (United States),13°27′S
 Tonga,15°36′S
 Zimbabwe,15°37′S
 Saint Helena (United Kingdom),15°46′S
 Namibia,16°56′S
 Chile,17°19′S
 Botswana,17°46′S
 Paraguay,19°17′S
 New Caledonia,20°32′S
 Réunion (France),20°54′S
 Argentina,21°48′S
 South Africa,22°20′S
 Eswatini (Swaziland),25°44′S
 Lesotho,28°34′S
 New Zealand,29°13′S
,34°23′S
 Uruguay,30°05′S
 Falkland Islands (United Kingdom),51°02′S
 South Georgia (United Kingdom),53°58′S
 Antarctica,63°23′S
,60°35′S
