samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q6875321,http://www.wikidata.org/entity/Q1027,Mauritius,Miselaine Duval,5
http://www.wikidata.org/entity/Q312608,http://www.wikidata.org/entity/Q1030,Namibia,Nǃxau,31
http://www.wikidata.org/entity/Q6835626,http://www.wikidata.org/entity/Q1014,Liberia,Michaela Songa,7
http://www.wikidata.org/entity/Q940503,http://www.wikidata.org/entity/Q1016,Libya,Suleiman Ali Nashnush,9
http://www.wikidata.org/entity/Q3326300,http://www.wikidata.org/entity/Q1032,Niger,Moustapha Alassane,13
http://www.wikidata.org/entity/Q23904976,http://www.wikidata.org/entity/Q1029,Mozambique,Lucrécia Paco,6
http://www.wikidata.org/entity/Q1699385,http://www.wikidata.org/entity/Q1033,Nigeria,John Boyega,44
http://www.wikidata.org/entity/Q342604,http://www.wikidata.org/entity/Q1044,Sierra Leone,Idris Elba,65
http://www.wikidata.org/entity/Q372613,http://www.wikidata.org/entity/Q1036,Uganda,Phill Lewis,28
http://www.wikidata.org/entity/Q256531,http://www.wikidata.org/entity/Q1045,Somalia,Iman,44
http://www.wikidata.org/entity/Q1986254,http://www.wikidata.org/entity/Q1037,Rwanda,Sonia Rolland,13
http://www.wikidata.org/entity/Q43901380,http://www.wikidata.org/entity/Q1042,Seychelles,Aisha Toussaint,2
http://www.wikidata.org/entity/Q314966,http://www.wikidata.org/entity/Q1041,Senegal,Ousmane Sembène,41
http://www.wikidata.org/entity/Q7048366,http://www.wikidata.org/entity/Q1050,Eswatini,Noma Dumezweni,10
http://www.wikidata.org/entity/Q311165,http://www.wikidata.org/entity/Q1049,Sudan,Alexander Siddig,31
http://www.wikidata.org/entity/Q80046,http://www.wikidata.org/entity/Q258,South Africa,Charlize Theron,107
http://www.wikidata.org/entity/Q258777,http://www.wikidata.org/entity/Q262,Algeria,Sofia Boutella,34
http://www.wikidata.org/entity/Q918784,http://www.wikidata.org/entity/Q657,Chad,MC Solaar,20
-,-,Mauritania,Med Hondo,19
-,-,Lesotho,Bokang Phelane,3
-,-,São Tomé & Príncipe,--,0
