country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Austria,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,wd:Q78516,2293506,Russian-born Austrian operatic soprano,"Anna Yuryevna Netrebko (Russian: Анна Юрьевна Нетребко; born 18 September 1971) is a Russian operatic soprano 
who had an active international career and performed prominently at the Salzburg Festival, Metropolitan Opera, Vienna State Opera, and Royal Opera, London. In 2022 she announced that she would retire from concert life, and her performances and appearances with the Bavarian State Opera and Metropolitan Opera were canceled due to her links with Vladimir Putin.Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. She was noticed globally after playing Donna Anna in Mozart's Don Giovanni at the 2002 Salzburg Festival. She had been known for her rendition of lyric and coloratura soprano roles but proceeded into heavier 19th-century romantic roles, such as Leonora in Il trovatore and the role of Lady Macbeth in Macbeth. Since 2016, she has turned her focus to verismo repertoire.
In 2015 she married Azerbaijani tenor Yusif Eyvazov, with whom she has been performing frequently since.
She has been an exclusive artist for Deutsche Grammophon since 2002. She has won multiple Echo Klassik Awards, and was included on Time 100 list in 2007. She was named People's Artist of Russia in 2008, and Austrian Kammersängerin in 2017.",https://en.wikipedia.org/wiki/Anna_Netrebko
Azerbaijan,42,Muslim Magomayev,http://www.wikidata.org/entity/Q558799,wd:Q558799,469640,Soviet-Azerbajiani singer,"Muslim Magometovich Magomayev (Azerbaijani: Müslüm Məhəmməd oğlu Maqomayev; Russian: Мусли́м Магоме́тович Магома́ев; 17 August 1942 – 25 October 2008), dubbed the ""Soviet Sinatra"", was a Soviet, Azerbaijani and Russian opera and pop singer. He achieved iconic status in Russia and the post-Soviet countries for his vocal talent and charisma. People's Artist of the USSR (1973).",https://en.wikipedia.org/wiki/Muslim_Magomayev_(musician)
Bahrain,20,Assala Nasri,http://www.wikidata.org/entity/Q2353139,wd:Q2353139,10521966,Syrian singer,"Assala Mostafa Hatem Nasri (Arabic: أصالة مصطفى حاتم نصري; born 15 May 1969), commonly known as Assala (Arabic: أصالة), is a Syrian musical artist.",https://en.wikipedia.org/wiki/Assala
Bangladesh,48,Nazrul Islam,http://www.wikidata.org/entity/Q334818,wd:Q334818,539155,"Bengali poet, writer and musician (1899–1976)","Kazi Nazrul Islam (Bengali: কাজী নজরুল ইসলাম, Bengali pronunciation: [kad͡ʒi nod͡ʒrul islam] (listen); 24 May 1899 – 29 August 1976) was a Bangladeshi poet, writer, musician, and the national poet of the country. Nazrul is regarded as one of  the greatest poets in Bengali literature. Popularly known as Nazrul, he produced a large body of poetry and music with themes that included religious devotion and rebellion against oppression. Nazrul's activism for political and social justice earned him the title of ""Bidrohi Kobi"" (Rebel Poet). His compositions form the avant-garde music genre of Nazrul Geeti (Music of Nazrul).Born into a Bengali Muslim Kazi family hailing from Burdwan district in Bengal Presidency (now in West Bengal), Nazrul Islam received religious education and as a young man worked as a muezzin at a local mosque. He learned about poetry, drama, and literature while working with the rural theatrical group Letor Dal, Leto being a folk song genre of West Bengal usually performed by the people from Muslim community of the region. He joined the British Indian Army in 1917 and was posted in Karachi. Nazrul established himself as a journalist in Calcutta after the war ended. He criticised the British Raj and called for revolution through his poetic works, such as ""Bidrohi"" (""বিদ্রোহী"", 'The Rebel') and  ""Bhangar Gaan"" (""ভাঙ্গার গান"", 'The Song of Destruction'), as well as in his publication Dhumketu ('The Comet'). His nationalist activism in Indian independence movement led to his frequent imprisonment by the colonial British authorities. While in prison, Nazrul wrote the ""Rajbandir Jabanbandi"" (""রাজবন্দীর জবানবন্দী"", 'Deposition of a Political Prisoner'). His writings greatly inspired Bengalis of East Pakistan during the Bangladesh Liberation War.
Nazrul's writings explored themes such as freedom, humanity, love, and revolution. He opposed all forms of bigotry and fundamentalism, including religious, caste-based and gender-based. Nazrul wrote short stories, novels, and essays but is best known for his songs and poems. He introduced the ghazal songs in Bengali language and is also known for his extensive use of Arabic and Persian words in his works.Nazrul wrote and composed music for nearly 4,000 songs (many recorded on HMV and gramophone records), collectively known as Nazrul Geeti. In 1942 at the age of 43, he began to suffer from an unknown disease, losing his voice and memory. A medical team in Vienna diagnosed the disease as Pick's disease, a rare incurable neurodegenerative disease. It caused Nazrul's health to decline steadily and forced him to live in isolation. He was also admitted in Ranchi (Jharkhand) psychiatric hospital for many years. At the invitation of the Government of Bangladesh, Nazrul's family took him to Bangladesh and moved to Dhaka in 1972. He died four years later on 29 August 1976.",https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam
Barbados,136,Rihanna,http://www.wikidata.org/entity/Q36844,wd:Q36844,2110323,Barbadian artist and businesswoman,"Robyn Rihanna Fenty  (born February 20, 1988) ( ree-ANN-ə) is a Barbadian singer, actress, fashion designer, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna was discovered by American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, Music of the Sun (2005) and A Girl Like Me (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US Billboard 200 chart.
Rihanna's third album, Good Girl Gone Bad (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&B genres on her next studio albums, Rated R (2009), Loud (2010), Talk That Talk (2011), and Unapologetic (2012), the latter of which became her first Billboard 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, Anti (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborations with artists such as rappers Drake, Eminem, Jay-Z, and Kanye West and singers Adam Levine, Paul McCartney, Ne-Yo, and Shakira.
With sales of over 250 million records worldwide, Rihanna is one of the best-selling music artists of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 Billboard Music Awards, six Guinness World Records, and the NAACP's President's Award. Time named her one of the 100 most influential people in the world in 2012 and 2018. Forbes ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2021, she is the wealthiest female musician, with an estimated net worth of $1.7 billion.Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organisation Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in Battleship (2012), Home (2015), Valerian and the City of a Thousand Planets (2017), and Ocean's 8 (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018, and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.",https://en.wikipedia.org/wiki/Rihanna
Belarus,69,Alexander Rybak,http://www.wikidata.org/entity/Q131259,wd:Q131259,8127963,"Norwegian singer, actor, violinist, composer, pianist","Alexander Igorevich Rybak  (Russian: Александр Игоревич Рыбак) or Alyaxandr Iharavich Rybak (Belarusian: Аляксандр Ігаравіч Рыбак; born 13 May 1986) is a Belarusian-Norwegian singer-composer, violinist, pianist and actor.Though based in Oslo, Rybak extensively worked on television programmes and on tours in Russia, Belarus, Ukraine and Sweden throughout the early 2010s. Singing in mainly English and Russian, Rybak, in his early twenties, held on to a teen idol status in Scandinavia, Eastern Europe, and to a certain extent in Western Asia. His debut 2009 album, Fairytales, charted in the top 20 in nine European countries, including a top position in Norway and Russia. After two pop albums in 2009 and 2010, Rybak desired to be more of a family-orientated artist, focusing on children's and classical music alongside and frequently performed with youth orchestras throughout the world.Rybak is known for his extensive involvement in the Eurovision Song Contest. Representing Norway in the 2009 contest in Moscow, Russia, he won the competition with 387 points—the highest tally any country has achieved in the history of Eurovision under the then voting system—with ""Fairytale"", a song he wrote and composed. Winning at the age of 23, Rybak remains the youngest solo male winner of the contest and the only Belarusian-born winner. His win was celebrated all across Europe for crushing stereotypes about the contest, such as needing an over-the-top performance or the negative influence of neighbour voting.Since then Rybak has been involved several times in the contest. He represented Norway again in the Eurovision Song Contest 2018 in Lisbon, Portugal, with the song ""That's How You Write a Song"", winning the second semi-final and finishing in 15th place in the Grand Final. He provided as an opening act to the Grand Final in 2010 and as an interval act in 2012 and 2016. Rybak has frequently provided commentary on the contest, working as a journalist in 2011, as once-off judge on the Belgian preselection in 2016 and as commentator on his personal social media.",https://en.wikipedia.org/wiki/Alexander_Rybak
Belgium,80,Jacques Brel,http://www.wikidata.org/entity/Q1666,wd:Q1666,91751,Belgian singer-songwriter,"Jacques Romain Georges Brel (French: [ʒɑk ʁɔmɛ̃ ʒɔʁʒ bʁɛl], listen ; 8 April 1929 – 9 October 1978) was a Belgian singer, songwriter, actor and director who composed and performed literate, thoughtful, and theatrical songs that generated a large, devoted following—initially in Belgium and France, later throughout the world. He is considered a master of the modern chanson. Although he recorded most of his songs in French and occasionally in Dutch, he became an influence on English-speaking songwriters and performers, such as Scott Walker, David Bowie, Alex Harvey, Marc Almond, Neil Hannon, and Rod McKuen. English translations of his songs were recorded by many performers, including Bowie, Walker, Ray Charles, Judy Collins, John Denver, The Kingston Trio, Nina Simone, Shirley Bassey, James Dean Bradfield, Frank Sinatra, and Andy Williams.Brel was a successful actor, appearing in 10 films. He directed two films, one of which, Le Far West, was nominated for the Palme d'Or at the Cannes Film Festival in 1973. Having sold over 25 million records worldwide, Brel is the third best-selling Belgian recording artist of all time. Brel married Thérèse ""Miche"" Michielsen in 1950, and the couple had three children. He also had a romantic relationship with actress and dancer Maddly Bamy from 1972 until his death in 1978.",https://en.wikipedia.org/wiki/Jacques_Brel
Belize,13,Shyne,http://www.wikidata.org/entity/Q1346832,wd:Q1346832,1354189,Belizean rapper and politician,"Moses Michael Levi Barrow (born Jamal Michael Barrow; November 8, 1978), better known by his stage name Shyne, is a Belizean rapper and politician. Barrow was born in Belize but moved to New York City as a child and began to rap thereafter. He is perhaps best known for his 2000 singles ""Bad Boyz"" and ""Bonnie & Shyne"". He also wrote and performed on many multi-platinum albums such as Usher's ""Confessions"", Lil Wayne's ""Carter IV"", Notorious B.I.G's ""Born Again"", Mase's ""Double Up"" and Puff Daddy's ""Forever"" among other top selling albums during his tenure with his former label Bad Boy Records and Def Jam Recordings.
Shyne and his mother lived in the Brooklyn neighborhood of East Flatbush, where he became a musician and rapper after being discovered in a barbershop by Imani Hayley. On the verge of releasing his debut album, he was involved in a nightclub shooting incident on December 27, 1999, and in June 2001 he was convicted of assault and sentenced to 10 years in prison. His 2000 debut album was still a success and he continued to record music while incarcerated.
While serving his prison sentence, Shyne became interested in Judaism, and later became observant, practicing Orthodox Judaism, officially changing his name to Moses Michael Levi Barrow in 2006. After being released from prison in 2009, he was deported to Belize. He has since been appointed the country's Ambassador of Music charged with the sustainable development of the music industry in Belize and has donated hundreds of thousands of dollars to develop it.
Shyne was elected to the Belizean House of Representatives at the 2020 general election.",https://en.wikipedia.org/wiki/Shyne
Benin,44,Angélique Kidjo,http://www.wikidata.org/entity/Q231276,wd:Q231276,736026,"Beninese musician, actress, and activist","Angélique Kpasseloko Hinto Hounsinou Kandjo Manta Zogbin Kidjo (; born July 14, 1960) is a Beninese singer-songwriter, actress, and activist who is noted for her diverse musical influences and creative music videos. In 2007, Time magazine called her ""Africa's premier diva"". 
Angelique has sung during the Tokyo 2020 Olympic Games Opening Ceremony on July 23, 2021  On September 15, 2021, Time included her in their list of the 100 most influential people in the world.Her musical influences include the Afropop, Caribbean zouk, Congolese rumba, jazz, gospel, and Latin styles; as well as her childhood idols Bella Bellow, James Brown, Nina Simone, Aretha Franklin, Celia Cruz, Jimi Hendrix, Miriam Makeba and Carlos Santana. She has recorded George Gershwin's ""Summertime"", Ravel's Boléro, Jimi Hendrix's ""Voodoo Child"" and the Rolling Stones' ""Gimme Shelter"", and has collaborated with Dave Matthews and the Dave Matthews Band, Kelly Price, Alicia Keys, Branford Marsalis, Ziggy Marley, Philip Glass, Peter Gabriel, Bono, Yo-Yo Ma, Carlos Santana, John Legend, Herbie Hancock, Josh Groban, Dr John, the Kronos Quartet, Yemi Alade, Cassandra Wilson, Burna Boy, Sting, Mr Eazi and Indonesia's pop star Anggun. Kidjo's hit songs include ""Agolo"", ""We We"", ""Adouma"", ""Wombo Lombo"", ""Afirika"", ""Batonga"", and her version of ""Malaika"". Her album Logozo is ranked number 37 in the Greatest Dance Albums of All Time list compiled by Vice magazine's Thump website.Kidjo is fluent in five languages: Fon, French, Yorùbá, Gen (Mina), and English. She sings in all of them, and she also has her own personal language, which includes words that serve as song titles such as ""Batonga"". ""Malaika"" is a song sung in the Swahili language. Kidjo often uses Benin's traditional Zilin vocal technique and vocalese.",https://en.wikipedia.org/wiki/Ang%C3%A9lique_Kidjo
Bhutan,4,Dechen Pem,http://www.wikidata.org/entity/Q5249116,wd:Q5249116,33841266,singer,"Dechen Pem is a Bhutanese singer. She started singing in 1994 and had an album produced through Norling Drayang.
She won numerous awards including the award for Best Playback Singer (Female) at the 8th National Film Awards as well as the award for Best Playback Singer (Female) at the 1st Viewers Choice Awards’ 
Dechen pem is cited as one of the veteran rigser singer in Bhutan. She is currently judging the National Singing Competition, Druk Super Star organized by actor Kencho Wangdi",https://en.wikipedia.org/wiki/Dechen_Pem
Bolivia,10,Claudia Arce,http://www.wikidata.org/entity/Q5129126,wd:Q5129126,37021211,Beauty pageant winner,"Claudia Arce Lemaitre (born April 4, 1991, in Sucre, Bolivia) is a Bolivian actress, singer, model and beauty pageant titleholder who was crowned Miss Bolivia 2009, representing the Department of Chuquisaca. In the development of the contest she won titles as Yanbal Face Best Smile and Best National Costume.
Claudia stood for Bolivia in the Queen of the World 2009 contest held at Berlin, Germany, and also in Miss Universe 2010, without success. She was the first woman born in Bolivia's Department of Chuquisaca who participated in Miss Universe.",https://en.wikipedia.org/wiki/Claudia_Arce
Bosnia and Herzegovina,40,Dino Merlin,http://www.wikidata.org/entity/Q310679,wd:Q310679,4185454,Bosnian singer,"Edin Dervišhalidović (born 12 September 1962), known professionally as Dino Merlin, is a Bosnian singer-songwriter, musician, and record producer. Born in Sarajevo, he was the founder and leader of 'Merlin', which eventually became one of the best selling rock-bands of Southeast Europe.Nicknamed ""The Wizard"", he is considered one of the most prominent and commercially successful artists ever to emerge from former Yugoslavia.Dino is recognised for his later solo work during which he established himself as one of the best-selling regional artists of all time. During his career, he has produced over a dozen chart-topping albums, held several record-breaking tours, won many awards including the Sixth April Award of Sarajevo, and has authored the first national anthem of Bosnia and Herzegovina. He is widely known for his distinctive voice, stage performances and poetic lyrics.",https://en.wikipedia.org/wiki/Dino_Merlin
Botswana,9,Katlego Kai Kolanyane-Kesupile,http://www.wikidata.org/entity/Q54921856,wd:Q54921856,57916674,"Motswana performance artist, writer and LGBTQ activist","Katlego Kai Kolanyane-Kesupile (born January 1988, also known as Kat Kai Kol-Kes) is a performance artist, musician, writer and LGBT activist from Botswana. She is known for being the first public figure from the country to openly identify as a transgender person. She is also the first person from Botswana to be named a TED Fellow.",https://en.wikipedia.org/wiki/Katlego_Kai_Kolanyane-Kesupile
Botswana,1,Odirile Vee Sento,http://www.wikidata.org/entity/Q37996476,wd:Q37996476,54974415,Motswana House Artist,error,error
Brazil,152,Hebe Camargo,http://www.wikidata.org/entity/Q6105,wd:Q6105,25807927,"Brazilian recording artist, television host, singer","Hebe Maria Monteiro de Camargo Ravagnani  (Portuguese pronunciation: [ˈɛbi mɐˈɾi.ɐ mõˈtejɾu dʒi kɐˈmaɾɡu ˌʁavɐˈɲɐ̃ni]; March 8, 1929 – September 29, 2012) was a Brazilian television host, singer and actress. She is considered the ""Queen of Brazilian Television"" (Portuguese: Rainha da Televisão Brasileira). She died at her home on September 29, 2012. Her net worth was over US$360 million.",https://en.wikipedia.org/wiki/Hebe_Camargo
Brunei,21,Wu Chun,http://www.wikidata.org/entity/Q701041,wd:Q701041,9130264,Bruneian actor and singer,"Wu Chun (Chinese: 吳尊; born Goh Kiat Chun on 10 October 1979) is a Bruneian actor, singer, and model. He was a member of Fahrenheit, a Taiwanese Mandopop vocal quartet boy band, from its debut in 2005 to June 2011, singing bass. Wu has appeared in several Taiwanese television series, such as Tokyo Juliet (2006), Hanazakarino Kimitachihe (2006), Romantic Princess (2007), Hot Shot (2008), Sunshine Angel (2011), and Kindaichi Case Files (2012–2013). His film appearances include The Butterfly Lovers (2008), Lady of the Dynasty (2014).
In 2014, he appeared in the reality television program, Dad is Back with his daughter, Nei Nei. In 2018, he was cast in the Chinese drama, Martial Universe. In 2018, Wu Chun appeared with his father, Wu Jingtian, in a reality tv show called Best Time. In early 2020, a reality TV show called Before Wedding with his wife in his home country Brunei and was a great success and well received all over China hitting 1.5 billion viewers. He was also honored in Madame Tussauds, a prestigious wax figure exhibit launch in Shanghai China after being on an almost year hiatus in showbiz.
In 2020, he took part in a marine life protection campaign and was appointed as an ocean protection ambassador of Merlin Entertainments Group China, specifically advocating for the preservation of Beluga whales. He became the Pangolins Protection Ambassador for The World Wildlife Fund.
In Brunei, he was appointed as the Goodwill Ambassador and Messenger of Cancer Awareness; Wu's mother had died from cancer.",https://en.wikipedia.org/wiki/Wu_Chun
Bulgaria,63,Philipp Kirkorov,http://www.wikidata.org/entity/Q494596,wd:Q494596,8127358,Russian-Bulgarian singer and music producer,"Philipp Bedros Kirkorov PAR (Russian: Филипп Бедрос Киркоров; Bulgarian: Филип Бедросов Киркоров, romanized: Filip Bedrosov Kirkorov; born 30 April 1967) is a Bulgarian-born Russian pop singer. He is a five-time winner of the ""Best Selling Russian Artist"" title at the World Music Awards ceremonies.

",https://en.wikipedia.org/wiki/Philipp_Kirkorov
Burkina Faso,15,Cheikh Lô,http://www.wikidata.org/entity/Q575989,wd:Q575989,7270060,Senegalese musician,Cheikh N'Digel Lô (born 12 September 1955) is a Senegalese musician.,https://en.wikipedia.org/wiki/Cheikh_L%C3%B4
