country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q1005,The Gambia,http://www.wikidata.org/entity/Q27917049,Adama Barrow,1965-02-15T00:00:00Z
http://www.wikidata.org/entity/Q907112,Transnistria,http://www.wikidata.org/entity/Q28120974,Alexander Vladimirovich Martynov,1981-01-12T00:00:00Z
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q28650390,João Lourenço,1954-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q38188115,Édouard Ngirente,1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26273,Sint Maarten,http://www.wikidata.org/entity/Q47262798,Leona Marlin-Romeo,1973-07-03T00:00:00Z
http://www.wikidata.org/entity/Q1044,Sierra Leone,http://www.wikidata.org/entity/Q53863493,David J. Francis,1965-10-05T00:00:00Z
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q54806925,Christian Ntsay,1961-03-27T00:00:00Z
http://www.wikidata.org/entity/Q826,Maldives,http://www.wikidata.org/entity/Q55614252,Ibrahim Mohamed Solih,1964-05-04T00:00:00Z
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,http://www.wikidata.org/entity/Q57085436,Jorge Bom Jesus,1962-07-26T00:00:00Z
http://www.wikidata.org/entity/Q917,Bhutan,http://www.wikidata.org/entity/Q57313851,Lotay Tshering,1969-05-10T00:00:00Z
http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q60441515,Joseph Ngute,1954-03-12T00:00:00Z
http://www.wikidata.org/entity/Q858,Syria,http://www.wikidata.org/entity/Q60455401,Hussein Arnous,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q60813372,Christophe Joseph Marie Dabiré,1948-08-27T00:00:00Z
http://www.wikidata.org/entity/Q929,Central African Republic,http://www.wikidata.org/entity/Q61889435,Firmin Ngrébada,1968-05-24T00:00:00Z
http://www.wikidata.org/entity/Q810,Jordan,http://www.wikidata.org/entity/Q63441935,Bisher Al-Khasawneh,1969-01-27T00:00:00Z
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q63967715,Sylvestre Ilunga,1947-03-28T00:00:00Z
http://www.wikidata.org/entity/Q846,Qatar,http://www.wikidata.org/entity/Q83849153,Khalid bin Khalifa bin Abdul Aziz Al Thani,1968-01-01T00:00:00Z
