scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q79351504,Q79351504,2,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q39494791,Margaret Karembu,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q42544789,Rachel Chikwamba,2,http://www.wikidata.org/entity/Q954,Zimbabwe
http://www.wikidata.org/entity/Q61918909,Washington Yotto Ochieng,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q62129653,Teresia Mbaika Malokwe,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q78727540,Hope Mwanake,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q104425425,Nzambi Matee,2,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q5415879,Evans Anfom,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q12344968,Anani Dzidzienyo,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q30238444,Alexander Adu Clerk,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q68117345,Mavis Owureku-Asare,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q70593992,Anne Amuzu,2,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q23670967,Boghuma Kabisen Titanji,2,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q21392015,Achille P. Raselimanana,2,http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q12239936,Mu・ｸ･ammad al-Mu・ｸｫtar Wuld-Abbﾄ・h,2,http://www.wikidata.org/entity/Q1025,Mauritania
http://www.wikidata.org/entity/Q50657448,Mustapha El Bouhssini,2,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q1685208,Jean-Pierre Giroud,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q99361654,Catherine Nakalembe,2,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q42853966,Proscovia Nabbanja,2,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q4695942,Ahmed Mumin Warfa,2,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q4725175,Ali Said Faqi,2,http://www.wikidata.org/entity/Q1045,Somalia
http://www.wikidata.org/entity/Q2833549,Alexandre Claude Martin Lebaillif,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2959724,Charles Madic,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2959882,Charles Mﾃｩrieux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3069388,Fernand de Saintignon,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3106230,Filleau des Billettes,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3131964,Henri Sabatier,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3386745,Pierre Rainssant,2,http://www.wikidata.org/entity/Q142,France
