0,1,2,3,4
Robin van Persie,89,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Klaas-Jan Huntelaar,68,Kingdom of the Netherlands,,
Beatrix of the Netherlands,98,Kingdom of the Netherlands,,
-,-,-,,
Arjen Robben,89,Kingdom of the Netherlands,,
Ruud van Nistelrooy,68,Kingdom of the Netherlands,,
Dﾃｩsi Bouterse,58,Kingdom of the Netherlands,,
Mark Rutte,94,Kingdom of the Netherlands,,
-,-,-,,
-,-,-,,
Magnus Carlsen,92,Norway,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Queen Sonja of Norway,51,Norway,,
Alexander Rybak,69,Norway,,
Gro Harlem Brundtland,83,Norway,,
-,-,-,,
-,-,-,,
-,-,-,,
Hakim Ziyech,52,Kingdom of the Netherlands,,
Georginio Wijnaldum,56,Kingdom of the Netherlands,,
Gerald Vanenburg,51,Kingdom of the Netherlands,,
Queen Mﾃ｡xima of the Netherlands,54,Kingdom of the Netherlands,,
Edwin van der Sar,76,Kingdom of the Netherlands,,
Marco van Basten,81,Kingdom of the Netherlands,,
Guus Hiddink,62,Kingdom of the Netherlands,,
Clarence Seedorf,60,Kingdom of the Netherlands,,
John gusi Heipinga,53,Kingdom of the Netherlands,,
Peter Bosz,54,Kingdom of the Netherlands,,
Edvard Moser,52,Norway,,
May-Britt Moser,68,Norway,,
Max Verstappen,68,Kingdom of the Netherlands,,
Ben Feringa,52,Kingdom of the Netherlands,,
Martin Garrix,60,Kingdom of the Netherlands,,
Alan Walker,53,Norway,,
Erling Haaland,55,Norway,,
-,-,-,,
Niall Horan,54,Republic of Ireland,,
Bono,85,Republic of Ireland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Enya,114,Republic of Ireland,,
-,-,-,,
-,-,-,,
Michael Fassbender,68,Republic of Ireland,,
Michael D. Higgins,75,Republic of Ireland,,
Enda Kenny,58,Republic of Ireland,,
Liam Neeson,92,Republic of Ireland,,
Pierce Brosnan,89,Republic of Ireland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Bertie Ahern,53,Republic of Ireland,,
-,-,-,,
Daniel Day-Lewis,95,Republic of Ireland,,
Colin Farrell,69,Republic of Ireland,,
-,-,-,,
Mary McAleese,65,Republic of Ireland,,
-,-,-,,
-,-,-,,
Martin Sheen,66,Republic of Ireland,,
Robbie Keane,59,Republic of Ireland,,
Mary Robinson,68,Republic of Ireland,,
Roy Keane,60,Republic of Ireland,,
Sinﾃｩad O'Connor,59,Republic of Ireland,,
Olivia Wilde,68,Republic of Ireland,,
Cillian Murphy,66,Republic of Ireland,,
Michael Gambon,57,Republic of Ireland,,
Angela Lansbury,55,Republic of Ireland,,
-,-,-,,
Sam Neill,51,Republic of Ireland,,
Bob Geldof,53,Republic of Ireland,,
-,-,-,,
Saoirse Ronan,67,Republic of Ireland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
John O'Shea,56,Republic of Ireland,,
Leo Varadkar,60,Republic of Ireland,,
Conor McGregor,65,Republic of Ireland,,
Duncan Laurence,61,Kingdom of the Netherlands,,
William C. Campbell,54,Republic of Ireland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Dani Carvajal,62,Spain,,
Ricky Martin,81,Spain,,
Plﾃ｡cido Domingo,74,Spain,,
-,-,-,,
-,-,-,,
Alberto Contador,65,Spain,,
-,-,-,,
Javier Bardem,74,Spain,,
Rafael Benﾃｭtez,60,Spain,,
David De Gea,79,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Daniel Barenboim,51,Spain,,
-,-,-,,
-,-,-,,
Julio Salinas,52,Spain,,
Queen Sofﾃｭa of Spain,55,Spain,,
Felipe Gonzﾃ｡lez,59,Spain,,
-,-,-,,
Spaniards,82,Spain,,
David Silva,74,Spain,,
-,-,-,,
Pepe Reina,73,Spain,,
Pep Guardiola,80,Spain,,
-,-,-,,
-,-,-,,
Santiago Calatrava,68,Spain,,
Juan Mata,72,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Bojan Krkiﾄ・E,58,Spain,,
Pedro,59,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
Jesﾃｺs Navas,63,Spain,,
Carmen Electra,56,Spain,,
Santiago Cazorla,63,Spain,,
Mikel Arteta,56,Spain,,
Juan Carlos Ferrero,52,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
Javier Saviola,55,Spain,,
-,-,-,,
-,-,-,,
Jordi Alba,71,Spain,,
Fernando Llorente,60,Spain,,
Arantxa Sﾃ｡nchez Vicario,56,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
Felipe VI of Spain,103,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
Pau Gasol,54,Spain,,
-,-,-,,
-,-,-,,
Carlos Moyﾃ｡,51,Spain,,
Benicio del Toro,69,Spain,,
-,-,-,,
-,-,-,,
Queen Letizia of Spain,53,Spain,,
Javi Martﾃｭnez,56,Spain,,
Victoria Abril,53,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Xabi Alonso,82,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
ﾃ・Elvaro Negredo,51,Spain,,
-,-,-,,
-,-,-,,
"Leonor, Princess of Asturias",54,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jeb Bush,58,Spain,,
Luis Enrique,62,Spain,,
-,-,-,,
Geraldine Chaplin,51,Spain,,
-,-,-,,
George Soros,95,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jﾃ｡nos ﾃ・Eder,74,Hungary,,
Viktor Orbﾃ｡n,93,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Hungarians,86,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Lﾃ｡szlﾃｳ Sﾃｳlyom,55,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Monica Seles,64,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
Judit Polgﾃ｡r,67,Hungary,,
Pﾃ｡l Schmitt,54,Hungary,,
Ernﾅ・E Rubik,57,Hungary,,
Ferenc Gyurcsﾃ｡ny,53,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Avram Hershko,54,Hungary,,
John Polanyi,51,Hungary,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Isco Alarcﾃｳn,63,Spain,,
David Villa,80,Spain,,
-,-,-,,
-,-,-,,
Jon Indurﾃ｡in,59,Spain,,
Julio Iglesias,81,Spain,,
Josﾃｩ Luis Rodrﾃｭguez Zapatero,96,Spain,,
-,-,-,,
Antonio Banderas,94,Spain,,
Fernando Torres,88,Spain,,
-,-,-,,
Andrﾃｩs Iniesta,97,Spain,,
-,-,-,,
-,-,-,,
Pierre-Emerick Aubameyang,62,Spain,,
Enrique Iglesias,89,Spain,,
Vﾃｭctor Valdﾃｩs,72,Spain,,
ﾃ・Elvaro Morata,65,Spain,,
Sergio Busquets,75,Spain,,
-,-,-,,
Josﾃｩ Callejﾃｳn,51,Spain,,
Pedro Almodﾃｳvar,87,Spain,,
Alejandro Gonzﾃ｡lez Iﾃｱﾃ｡rritu,69,Spain,,
-,-,-,,
Josﾃｩ Marﾃｭa Aznar,70,Spain,,
-,-,-,,
Robinho,74,Spain,,
Daniel Brﾃｼhl,53,Spain,,
Txiki Begiristain,51,Spain,,
Nacho Monreal,54,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Catalan people,55,Spain,,
Florentino Pﾃｩrez,57,Spain,,
Denis Cheryshev,61,Spain,,
ﾃ・Elvaro Arbeloa,67,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Lionel Messi,167,Spain,,
Raﾃｺl Albiol,65,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Artur Mas,55,Spain,,
-,-,-,,
Rafael Nadal,126,Spain,,
Manuel Valls,73,Spain,,
Fernando Alonso,115,Spain,,
Manuel Almunia,52,Spain,,
Mariano Rajoy,112,Spain,,
Raﾃｺl,79,Spain,,
Iker Casillas,94,Spain,,
Carles Puyol,74,Spain,,
Thiago Alcﾃ｢ntara,61,Spain,,
Cesc Fﾃbregas,84,Spain,,
Xavi,88,Spain,,
Gerard Piquﾃｩ,87,Spain,,
-,-,-,,
-,-,-,,
Juan Carlos I,119,Spain,,
-,-,-,,
Iago Aspas lo sﾃｩ,52,Spain,,
-,-,-,,
-,-,-,,
Amancio Ortega,54,Spain,,
-,-,-,,
-,-,-,,
Garbiﾃｱe Muguruza,59,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Marcelo,76,Spain,,
Ronaldinho,103,Spain,,
Penﾃｩlope Cruz,113,Spain,,
Mario Vargas Llosa,114,Spain,,
-,-,-,,
Albert II of Belgium,80,Belgium,,
-,-,-,,
Justine Henin,66,Belgium,,
Kim Clijsters,71,Belgium,,
Dries Mertens,53,Belgium,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Guy Verhofstadt,61,Belgium,,
Yves Leterme,65,Belgium,,
Herman Van Rompuy,88,Belgium,,
-,-,-,,
Elio Di Rupo,63,Belgium,,
-,-,-,,
Daniel Van Buyten,51,Belgium,,
-,-,-,,
-,-,-,,
Thibaut Courtois,76,Belgium,,
Eddy Merckx,66,Belgium,,
Simon Mignolet,55,Belgium,,
-,-,-,,
-,-,-,,
Toby Alderweireld,59,Belgium,,
Franﾃｧois Englert,67,Belgium,,
Axel Witsel,54,Belgium,,
Philippe I of Belgium,85,Belgium,,
-,-,-,,
-,-,-,,
Amﾃｩlie Nothomb,74,Belgium,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Thomas Vermaelen,64,Belgium,,
-,-,-,,
Lara Fabian,55,Belgium,,
-,-,-,,
Vincent Kompany,63,Belgium,,
-,-,-,,
-,-,-,,
Eden Hazard,86,Belgium,,
-,-,-,,
-,-,-,,
Marouane Fellaini,62,Belgium,,
Jean-Claude Van Damme,86,Belgium,,
Jan Vertonghen,57,Belgium,,
Romelu Lukaku,79,Belgium,,
Stromae,58,Belgium,,
Kevin De Bruyne,72,Belgium,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Freddie Ljungberg,62,Sweden,,
Mats Wilander,53,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
Werner Herzog,66,Sweden,,
-,-,-,,
Carl XVI Gustaf of Sweden,96,Sweden,,
Zlatan Ibrahimoviﾄ・E,108,Sweden,,
-,-,-,,
-,-,-,,
Fredrik Reinfeldt,73,Sweden,,
Carl Bildt,57,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Gﾃｶran Persson,57,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Bjﾃｶrn Borg,76,Sweden,,
-,-,-,,
Victoria Silvstedt,52,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Queen Silvia of Sweden,56,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
"Victoria, Crown Princess of Sweden",65,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
Swedes,77,Sweden,,
-,-,-,,
Agnetha Fﾃ､ltskog,75,Sweden,,
Henrik Larsson,57,Sweden,,
-,-,-,,
Bjﾃｶrn Ulvaeus,58,Sweden,,
Charlotte Perrelli,58,Sweden,,
Dolph Lundgren,68,Sweden,,
Helena Paparizou,57,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Stefan Edberg,54,Sweden,,
Liv Ullmann,63,Sweden,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Anni-Frid Lyngstad,64,Sweden,,
-,-,-,,
Isabella Rossellini,58,Sweden,,
-,-,-,,
-,-,-,,
Stellan Skarsgﾃ･rd,58,Sweden,,
Richard Axel,52,Sweden,,
"Princess Madeleine, Duchess of Hﾃ､lsingland and Gﾃ､strikland",52,Sweden,,
Benny Andersson,55,Sweden,,
-,-,-,,
-,-,-,,
Marta,54,Sweden,,
Noomi Rapace,52,Sweden,,
Diego Forlﾃ｡n,84,Spain,,
Koke,56,Spain,,
-,-,-,,
Cﾃｩsar Azpilicueta,64,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Philippe Coutinho,74,Spain,,
Josep Borrell,55,Spain,,
Mauricio Pochettino,53,Spain,,
Claudio Bravo,61,Spain,,
-,-,-,,
Vicente del Bosque,58,Spain,,
-,-,-,,
Sergi Roberto,51,Spain,,
-,-,-,,
-,-,-,,
James Rodrﾃｭguez,81,Spain,,
-,-,-,,
Diego Costa,68,Spain,,
-,-,-,,
-,-,-,,
-,-,-,,
Sergio Ramos,86,Spain,,
Rivaldo,75,Spain,,
Josﾃｩ Carreras,64,Spain,,
Nacho,59,Spain,,
Samuel Eto'o,81,Spain,,
Ander Herrera,53,Spain,,
Anne Hidalgo,51,Spain,,
Kepa Arrizabalaga,54,Spain,,
Carles Puigdemont,90,Spain,,
Inma Cuesta,54,Spain,,
Lucas Vﾃ｡zquez,56,Spain,,
Pedro Sﾃ｡nchez,82,Spain,,
Marco Asesino,55,Spain,,
Radja Nainggolan,52,Belgium,,
Charles Michel,67,Belgium,,
Thomas Meunier,52,Belgium,,
Max Verstappen,68,Belgium,,
Divock Origi,59,Belgium,,
Yannick Carrasco,52,Belgium,,
Sophie Wilmﾃｨs,55,Belgium,,
-,-,-,,
"Henri, Grand Duke of Luxembourg",69,Luxembourg,,
Jean-Claude Juncker,93,Luxembourg,,
Xavier Bettel,58,Luxembourg,,
Valtteri Bottas,57,Finland,,
-,-,-,,
-,-,-,,
Mika Hﾃ､kkinen,60,Finland,,
-,-,-,,
Matti Vanhanen,53,Finland,,
-,-,-,,
-,-,-,,
Jari Litmanen,53,Finland,,
-,-,-,,
-,-,-,,
-,-,-,,
Sofi Oksanen,54,Finland,,
Kimi Rﾃ､ikkﾃｶnen,86,Finland,,
-,-,-,,
Sauli Niinistﾃｶ,88,Finland,,
Tarja Halonen,85,Finland,,
Martti Ahtisaari,90,Finland,,
Linus Torvalds,142,Finland,,
-,-,-,,
Jyrki Katainen,52,Finland,,
Nico Rosberg,69,Finland,,
-,-,-,,
-,-,-,,
-,-,-,,
Mari Kiviniemi,61,Finland,,
-,-,-,,
Tarja Turunen,58,Finland,,
Sanna Marin,74,Finland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Mﾃ･ns Zelmerlﾃｶw,67,Sweden,,
Basshunter,200,Sweden,,
Alicia Vikander,66,Sweden,,
Loreen,70,Sweden,,
Tomas Lindahl,56,Sweden,,
Zara Larsson,54,Sweden,,
Sanna Nielsen,57,Sweden,,
Stefan Lﾃｶfven,77,Sweden,,
Magdalena Andersson,58,Sweden,,
PewDiePie,77,Sweden,,
Greta Thunberg,130,Sweden,,
-,-,-,,
-,-,-,,
Aleksander Kwaﾅ・Eniewski,73,Poland,,
-,-,-,,
Jarosﾅ・Eaw Kaczyﾅ・Eski,72,Poland,,
-,-,-,,
-,-,-,,
Zbigniew Boniek,53,Poland,,
-,-,-,,
-,-,-,,
Jack Szostak,56,Poland,,
-,-,-,,
Frank Wilczek,68,Poland,,
-,-,-,,
-,-,-,,
Lech Waﾅ・Eﾄ・Esa,167,Poland,,
Donald Tusk,97,Poland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
ﾅ・Eukasz Fabiaﾅ・Eski,52,Poland,,
Anna Maria Jopek,80,Poland,,
-,-,-,,
Bronisﾅ・Eaw Komorowski,84,Poland,,
-,-,-,,
Roman Polanski,101,Poland,,
-,-,-,,
-,-,-,,
Tomasz Kuszczak,52,Poland,,
Lionel Messi,167,Italy,,
Alessandro Del Piero,77,Italy,,
-,-,-,,
Giorgio Napolitano,108,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Michel Platini,97,Italy,,
-,-,-,,
-,-,-,,
Silvio Berlusconi,147,Italy,,
-,-,-,,
Stephan El Shaarawy,58,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
Francesco Totti,119,Italy,,
Roberto Benigni,80,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
Antonio Conte,59,Italy,,
Augusto De Luca,63,Italy,,
Noemi,102,Italy,,
Robert De Niro,123,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
Romano Prodi,96,Italy,,
Martin Scorsese,101,Italy,,
Andrea Bocelli,91,Italy,,
Sophia Loren,119,Italy,,
Marcello Lippi,57,Italy,,
Andrea Pirlo,79,Italy,,
Giovanni Trapattoni,51,Italy,,
Fabio Quagliarella,54,Italy,,
Matteo Renzi,98,Italy,,
Massimo D'Alema,55,Italy,,
Beppe Grillo,54,Italy,,
Mario Monti,84,Italy,,
Roberto Mancini,57,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Giuseppe Tornatore,57,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
Gina Lollobrigida,75,Italy,,
-,-,-,,
Roberto Baggio,83,Italy,,
Gianluigi Buffon,97,Italy,,
Giorgio Chiellini,67,Italy,,
Monica Bellucci,98,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
Fabio Cannavaro,78,Italy,,
-,-,-,,
-,-,-,,
Monica Vitti,55,Italy,,
Claudia Cardinale,72,Italy,,
Andrea Barzagli,58,Italy,,
Claudio Pizarro,55,Italy,,
-,-,-,,
-,-,-,,
Gennaro Gattuso,61,Italy,,
Gianni Infantino Riovaldi,65,Italy,,
Filippo Inzaghi,62,Italy,,
Mario Balotelli,84,Italy,,
-,-,-,,
Carla Bruni,72,Italy,,
-,-,-,,
-,-,-,,
Riccardo Montolivo,55,Italy,,
-,-,-,,
Michael Bublﾃｩ,61,Italy,,
-,-,-,,
Eros Ramazzottinos,65,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Giorgio Armani,57,Italy,,
Hernﾃ｡n Crespo,77,Italy,,
Javier Mascherano,72,Italy,,
-,-,-,,
Colin Firth,78,Italy,,
Sonia Gandhi,81,Italy,,
-,-,-,,
Ornella Muti,63,Italy,,
Antonio Di Natale,59,Italy,,
Daniele De Rossi,60,Italy,,
Valentino Rossi,62,Italy,,
Laura Pausini,67,Italy,,
Mario Andretti,54,Italy,,
Jarno Trulli,53,Italy,,
-,-,-,,
Giancarlo Fisichella,53,Italy,,
-,-,-,,
Carlo Ancelotti,69,Italy,,
-,-,-,,
Claudio Marchisio,59,Italy,,
Dino Zoff,61,Italy,,
Antonio Cassano,59,Italy,,
-,-,-,,
Alberto Gilardino,63,Italy,,
Gianluca Zambrotta,55,Italy,,
Fabio Capello,56,Italy,,
-,-,-,,
Marco Materazzi,58,Italy,,
Luca Toni,53,Italy,,
-,-,-,,
-,-,-,,
Carlo Rubbia,70,Italy,,
Francesca Schiavone,56,Italy,,
Dida,51,Italy,,
Christian Vieri,51,Italy,,
Willem Dafoe,70,Italy,,
Reinhold Messner,59,Italy,,
Mauro Camoranesi,51,Italy,,
Franco Baresi,54,Italy,,
Renzo Piano,65,Italy,,
Thiago Motta,57,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Adriano Celentano,76,Italy,,
-,-,-,,
-,-,-,,
Giuliano Amato,59,Italy,,
Fernando Muslera,56,Italy,,
Isabella Rossellini,58,Italy,,
-,-,-,,
-,-,-,,
Leonardo Bonucci,66,Italy,,
Lamberto Dini,51,Italy,,
Ignazio Abate,53,Italy,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Alessandro Nesta,57,Italy,,
Donatella Versace,54,Italy,,
Gianni Rivera,54,Italy,,
-,-,-,,
Claudio Ranieri,61,Italy,,
-,-,-,,
Terence Hill,53,Italy,,
-,-,-,,
-,-,-,,
Gigi Riva,52,Italy,,
Mario Draghi,79,Italy,,
Salvatore Schillaci,60,Italy,,
-,-,-,,
-,-,-,,
Salvatore Sirigu,52,Italy,,
-,-,-,,
-,-,-,,
Vincenzo Nibali,51,Italy,,
-,-,-,,
Lukas Podolski,86,Poland,,
Arkadiusz Milik,51,Poland,,
-,-,-,,
Jakub Bﾅ・Easzczykowski,60,Poland,,
Robert Lewandowski,87,Poland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Robert Kubica,65,Poland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Wojciech Szczﾄ・Esny,64,Poland,,
-,-,-,,
-,-,-,,
Doda,66,Poland,,
Agnieszka Radwaﾅ・Eska,52,Poland,,
-,-,-,,
-,-,-,,
-,-,-,,
Edyta Gﾃｳrniak,51,Poland,,
-,-,-,,
-,-,-,,
Ewa Kopacz,54,Poland,,
Olga Tokarczuk,87,Poland,,
Paul Wesley,51,Poland,,
Roald Hoffmann,51,Poland,,
-,-,-,,
Andrzej Sapkowski,58,Poland,,
Piotr ﾅ・Ewierczewski,51,Poland,,
-,-,-,,
Beata Szydﾅ・Eo,69,Poland,,
Andrzej Duda,99,Poland,,
Mateusz Morawiecki,60,Poland,,
-,-,-,,
Dalia Grybauskaitﾄ・E,85,Lithuania,,
Valdas Adamkus,61,Lithuania,,
-,-,-,,
-,-,-,,
Ingrida ﾅimonytﾄ・E,54,Lithuania,,
-,-,-,,
Gitanas Nausﾄ・Eda,55,Lithuania,,
Marco Verratti,57,Italy,,
Daniele Massaro,52,Italy,,
Massimiliano Allegri,52,Italy,,
Fabiano Caruana,52,Italy,,
Mattia De Sciglio,55,Italy,,
Antonio Tajani,54,Italy,,
Ciro Immobile,58,Italy,,
Amy Adams,89,Italy,,
Paolo Maldini,75,Italy,,
Toto Cutugno,71,Italy,,
Nichi Vendola,54,Italy,,
-,-,-,,
Mauricio Macri,79,Italy,,
Enrico Letta,72,Italy,,
Matteo Salvini,62,Italy,,
Paolo Gentiloni,83,Italy,,
Lorenzo Insigne,58,Italy,,
Benedicta Boccoli,108,Italy,,
Anna Rita Del Piano,85,Italy,,
Federica Mogherini,57,Italy,,
Jorginho,52,Italy,,
Marianna Madia,70,Italy,,
Sergio Mattarella,107,Italy,,
Pinocchio,60,Italy,,
Maria Elena Boschi,52,Italy,,
Maurizio Malvestiti,66,Italy,,
Virginia Raggi,53,Italy,,
Gianluigi Donnarumma,58,Italy,,
Giuseppe Conte,96,Italy,,
