0,1,2,3,4,5
Qatar,"1,287th",Al Jazeera Arabic قناة الجزيرة,7.18M,"122,417",Arabic
Russia,8th,✿ Kids Diana Show,86.2M,912,Russian
Saudi Arabia,220th,mmoshaya,18.2M,987,Arabic
Singapore,"1,731st",মায়াজাল,6.04M,295,Hindi
South Korea,20th,BLACKPINK,71.9M,306,English & Korean
Sri Lanka,"7,794th",Sri Lanka Cricket,2.18M,"1,385",English
Syria,"3,676th",Asala Nasri,3.69M,524,Arabic
Taiwan,"4,288th",這群人TGOP,3.31M,225,Mandarin
Tajikistan,"17,007th",Ozodivideo,1.21M,"23,041",Tajik
Thailand,72nd,WorkpointOfficial,30.8M,"48,578",Thai
Timor-Leste,"169,138th",OECUSSE FURAK,127K,292,Esperanto
Turkey,214th,netd müzik,18.5M,"13,655",Turkish
Turkmenistan,"269,863rd",Azatlyk Radiosy,71.6K,"6,762",Uzbek
United Arab Emirates,120th,shfa,38M,613,Arabic
Uzbekistan,"9,286th",ZO'R TV,1.91M,"4,699",Uzbek
Vietnam,461st,POPS Kids,12.6M,"7,424",Vietnamese
Yemen,"4,797th",صدام العزي,3.09M,177,Arabic
Åland Islands,"143,363rd",MoMo JJang 모모짱,152K,39,Mandarin
Albania,"3,950th",Co Vines,3.49M,303,English
Andorra,"1,789th",Tri-line,5.8M,516,Spanish
Austria,759th,Red Bull,9.63M,"5,476",English
Belarus,137th,A4,23.5M,270,Belarusian
Belgium,789th,Tomorrowland,9.45M,"1,448",Esperanto
Bosnia and Herzegovina,"11,910th",Omco,1.65M,311,English
Bulgaria,"8,310th",PlanetaOfficial,2.06M,"5,547",English
Croatia,"2,058th",2CELLOS,5.33M,201,English
Czechia,"5,476th",ViralBrothers,2.77M,93,English
Denmark,"1,483rd",Crainer,6.54M,"3,039",English
Estonia,"28,130th",FlyingKitty,3.26M,244,English
Faroe Islands,"143,415th",Eivør,152K,78,Faroese
Finland,"1,254th",Brawl Stars,7.21M,82,English
France,334th,SQUEEZIE,15M,"1,352",French
Germany,195th,HaerteTest,19.2M,476,English
Gibraltar,"11,793rd",Jeracraft,1.58M,418,English
Greece,"7,074th",Km Music,2.36M,210,English
Guernsey,214th,W2S,16M,143,English
Hungary,"8,301st",R3D ONE Official,2.07M,283,English
Iceland,"8,943rd",KALEO,1.13M,36,English
Ireland,109th,jacksepticeye,26.5M,"4,700",English
Isle of Man,"23,681st",PokerStars,912K,"2,470",English
Italy,"1,052nd",Davie504,9.04M,626,English
Jersey,"78,766th",The Retro Future,294K,443,English
Kosovo,"36,578th",Capital T,404K,74,Albanian
Latvia,"8,524th",Little Movies - Games & Fun,2.02M,420,English & Russian
Liechtenstein,"254,176th",wnbSTARs,76.8K,11,German
Lithuania,"7,104th",Maria OMG,2.34M,284,Russian
Luxembourg,"22,577th",AHMED KHALIFA,943K,180,Arabic
Malta,"5,564th",Grandayy,2.77M,603,English
Moldova,"5,824th",GurinelTV,1.953M,"2,800",English
Monaco,"12,420th",Jon Olsson,1.51M,908,English
Montenegro,"25,272nd",AdnanBro,646K,602,Bosnian
Netherlands,83rd,Spinnin' Records,27.7M,"9,776",English
North Macedonia,"28,451st",Overwatch Highlights,504K,77,English
Norway,49th,Alan Walker,41M,236,English
Poland,"2,810th",Bazylland - Tractors & Excavators,4.8M,595,Polish
Portugal,"2,231st",SirKazzio,5.04M,"4,180",Portuguese
Romania,"1,350th",Be Inspired,6.87M,159,English
Russia,8th,✿ Kids Diana Show,82.5M,912,Russian
San Marino,"351,496th",BlackJack997,51K,26,English
Serbia,973rd,Life Hacks & Expirements,8.38M,717,English
Slovakia,"5,526th",Peter PlutaX,2.77M,"1,943",English
Slovenia,"2,597th",TimKo Kid,4.59M,247,English
Spain,37th,ElrubiusOMG,38.7M,827,Spanish
Svalbard & Jan Mayen,"325,443rd",YouMeandmyMusic,56.5K,17,Norwegian
Sweden,4th,PewDiePie,111M,"4,206",English
Switzerland,867th,FIFATV,8.94M,"8,486",English
Ukraine,169th,Troom Troom,40M,"1,391",English
United Kingdom,171st,Ed Sheeran,50M,151,English
Vatican City,"42,941st",Vatican News,526K,"2,722",English
Anguilla,"191,495th",Iambrenedettoxvi,222K,"1,908",Italian
Antigua & Barbuda,"12,314th",Windies Cricket,1.54M,783,English
Barbados,50th,Rihanna,35.4M,79,English
Belize,"201,247th",510.technology,102K,12,English
Bermuda,"87,135th",GC SNOOKER,261K,"1,578",English
British Virgin Islands,"14,755th",Mercedes-Benz,1.39M,"1,866",English
Canada,15th,Justin Bieber,57.3M,178,English
Cayman Islands,"144,653rd",Cointelegraph,74.9K,481,English
Costa Rica,"12,015th",La Habitación Oscura,2M,487,Spanish
Cuba,"29,319th",radiocfg,739K,612,Spanish & English
Dominica,"183,388th",COSAS DE INGRID,70K,160,Spanish
Dominican Republic,"1,760th",Cartoon Studio,5.89M,56,Spanish
El Salvador,41st,Fernanfloo,37.9M,537,Spanish
Greenland,"5,285th",Bernard Bear,2.91M,576,English
Grenada,"95,110th",Road Ready Mix,238K,93,English
Guadeloupe,"30,381st",CashMoneyAp,716K,605,English
Guatemala,"8,706th",Jexs,2.11M,100,Spanish
Haiti,"109,375th",Komedyen Lakay Official,206K,287,Haitian French Creole
Honduras,"13,718th",músicos Cínicos 鯉,1.47M,563,Spanish
Jamaica,"4,918th",Sean Paul,3.37M,52,English
Martinique,"130,965th",JaniceBeauty,170K,297,French
Mexico,25th,Badabun,50M,"6,553",Spanish
Montserrat,"163,767th",For birds channel,134K,386,Arabic
Netherlands Antilles,"295,470th",TheBestOldies,63.9K,4,English
Nicaragua,"5,530th",JR,2.78M,562,Spanish
Panama,"1,570th",Mimonona Stories,6.25M,432,Spanish
Puerto Rico,68th,Daddy Yankee,33M,354,Spanish
Sint Maarten,"272,464th",Sheguey Life,70.8K,41,English
St. Kitts & Nevis,"142,747th",CNNVIDS,152K,332,English
St. Lucia,"719,183rd",GullyDan,20.3K,"1,511",English
St. Martin,"272,464th",Sheguey Life,70.8K,41,English
St. Pierre & Miquelon,"237,761st",45RPMsingles,82.7K,414,English
St. Vincent & the Grenadines,"369,456th",The Motivator 2,47.9K,82,English
The Bahamas,"3,257th",RainbowX,1.36M,219,English
Trinidad & Tobago,"46,019th",nikkyttlyricsworship,472K,197,English
Turks & Caicos,"154,393rd",newlink production,142K,"1,898",English
United States,2nd,Cocomelon,124M,567,English
United States Virgin Islands,"53,761st",TANZA LIVE TV,419K,"1,700",Spanish
American Samoa,"40,054th",DODO-G,616K,39,English
Australia,239th,Bounce Patrol - Kids Songs,17.8M,178,English
Christmas Island,"187,735th",Oddly Satisfying Therapy,1.57M,193,English
Cocos (Keeling) Islands,"287,218th",The ASMR Circus,65.8K,93,English
Cook Islands,"140,197th",Семейное дело. Столярная мастерская БУК,123K,379,Russian
Fiji,"281,921st",Chris JLove,92.6k,638,Fijian/English
French Polynesia,"225,756th",NanoKarrin,101K,370,Polish
Guam,"301,491st",『Aurora Forever』,62.4K,243,English
Kiribati,"972,740th",kiriṀuzik,13.6K,"1,059",Gilbertese
Marshall Islands,"2,079,855th",NexRMI,6.39k,157,English
Micronesia,"1,690,131st",Pohnpei Updater,8.64k,9,English
Nauru,"12,484,345th",Digicel Nauru,334,42,English
New Caledonia,"162,216th",Madafaka,136K,"1,221",Spanish
New Zealand,"1,726th",McCreamy,5.98M,268,English
Niue,"201,984th",JerseySurvivor,101K,123,English
Norfolk Island,"145,301st",:Play Mark,144K,2,Russian
Northern Mariana Islands,"146,189th",Bernice Shane Sabino,146K,182,English
Palau,"1,915,554th",Ongerung Kambes Kesolei,7.2k,"1,946",Palauan
Papua New Guinea,"186,354th",CHM Supersound,115K,"1,578",English
Samoa,"382,398th",Dr. Rome Production Tama Ole Pouseilala,63.3k,888,Samoan
Solomon Islands,"264,500th",Rebelle Inc,73.4K,47,English
Tokelau,"185,368th",Matthew Grant,115K,275,English
Tonga,"1,274,550th",Tonga Broadcasting Commission,12.7k,"2,183",Tongan
Tuvalu,"1,556,663rd",MusicTuvalu,9.7k,172,Tuvaluan
Vanuatu,"319,420th",OnlyD@Best,79.2k,"1,592",English
Wallis & Futuna,"133,349th",Axiore,166K,294,English
Argentina,43rd,El Reino Infantil,40.4M,943,Spanish
Aruba,"61,096th",نمس NMS,249K,1,Arabic
Bolivia,"4,810th",Fazio Apaza-MansOn,3.08M,"2,500",Spanish
Brazil,14th,Canal KondZilla,63.3M,"1,553",Portuguese
Chile,35th,JuegaGerman,43.1M,1.7k,Spanish
Colombia,74th,Shakira,32.1M,231,Spanish/English
Curaçao,"142,735th",ФаворитBet,90K,283,Serbian
Ecuador,619th,Doc Tops,12.1M,357,Spanish
Falkland (Malvinas) Islands,"505,643rd",ツFakuGames,32K,344,Spanish
French Guiana,"103,687th",picko Channel,218K,647,Malay
Guyana,"197,719th",KingSuperior,104K,319,English
Paraguay,"7,216th",Hector19Aquino,2.27M,631,Spanish
Peru,406th,Shidory Drawblogs,13.6M,267,Spanish
Suriname,"143,565th",SRJ Musik,148K,153,Dutch
Uruguay,"1,845th",Dosogas,5.61M,452,Spanish
Venezuela,"1,649th",lunacreciente,6.14M,"1,911",Spanish
Liberia,--,Fantastic Force,52.80K,--,--
