head,country,headLabel,countryLabel,sitelinks
http://www.wikidata.org/entity/Q40649,http://www.wikidata.org/entity/Q414,Cristina Fernández de Kirchner,Argentina,111
http://www.wikidata.org/entity/Q57336,http://www.wikidata.org/entity/Q794,Ali Khamenei,Iran,110
http://www.wikidata.org/entity/Q58132,http://www.wikidata.org/entity/Q717,Nicolás Maduro,Venezuela,107
http://www.wikidata.org/entity/Q58132,http://www.wikidata.org/entity/Q717,Nicolás Maduro,Venezuela,107
http://www.wikidata.org/entity/Q3956186,http://www.wikidata.org/entity/Q38,Sergio Mattarella,Italy,106
http://www.wikidata.org/entity/Q457786,http://www.wikidata.org/entity/Q928,Rodrigo Duterte,Philippines,105
http://www.wikidata.org/entity/Q457786,http://www.wikidata.org/entity/Q928,Rodrigo Duterte,Philippines,105
http://www.wikidata.org/entity/Q43944,http://www.wikidata.org/entity/Q30747910,Hamid Karzai,Islamic Republic of Afghanistan,105
http://www.wikidata.org/entity/Q191045,http://www.wikidata.org/entity/Q29,Felipe VI of Spain,Spain,103
http://www.wikidata.org/entity/Q3318231,http://www.wikidata.org/entity/Q252,Joko Widodo,Indonesia,102
http://www.wikidata.org/entity/Q3318231,http://www.wikidata.org/entity/Q252,Joko Widodo,Indonesia,102
http://www.wikidata.org/entity/Q21001,http://www.wikidata.org/entity/Q884,Moon Jae-in,South Korea,101
http://www.wikidata.org/entity/Q233984,http://www.wikidata.org/entity/Q865,Tsai Ing-wen,Taiwan,101
http://www.wikidata.org/entity/Q21001,http://www.wikidata.org/entity/Q884,Moon Jae-in,South Korea,101
http://www.wikidata.org/entity/Q307871,http://www.wikidata.org/entity/Q79,Abdel Fattah el-Sisi,Egypt,99
http://www.wikidata.org/entity/Q9151911,http://www.wikidata.org/entity/Q36,Andrzej Duda,Poland,99
http://www.wikidata.org/entity/Q102139,http://www.wikidata.org/entity/Q756617,Margrethe II of Denmark,Kingdom of Denmark,98
http://www.wikidata.org/entity/Q548733,http://www.wikidata.org/entity/Q869,Vajiralongkorn I of Thailand,Thailand,98
http://www.wikidata.org/entity/Q76658,http://www.wikidata.org/entity/Q183,Frank-Walter Steinmeier,Germany,98
http://www.wikidata.org/entity/Q57464,http://www.wikidata.org/entity/Q810,Abdullah II of Jordan,Jordan,96
http://www.wikidata.org/entity/Q45068,http://www.wikidata.org/entity/Q34,Carl XVI Gustaf of Sweden,Sweden,96
http://www.wikidata.org/entity/Q154952,http://www.wikidata.org/entity/Q29999,Willem-Alexander of the Netherlands,Kingdom of the Netherlands,95
http://www.wikidata.org/entity/Q57792,http://www.wikidata.org/entity/Q29999,Mark Rutte,Kingdom of the Netherlands,94
http://www.wikidata.org/entity/Q2667,http://www.wikidata.org/entity/Q41304,Paul von Hindenburg,Weimar Republic,93
http://www.wikidata.org/entity/Q57553,http://www.wikidata.org/entity/Q1028,Mohammed VI,Morocco,93
http://www.wikidata.org/entity/Q57641,http://www.wikidata.org/entity/Q28,Viktor Orbán,Hungary,93
http://www.wikidata.org/entity/Q367825,http://www.wikidata.org/entity/Q851,Salman of Saudi Arabia,Saudi Arabia,92
http://www.wikidata.org/entity/Q367825,http://www.wikidata.org/entity/Q851,Salman of Saudi Arabia,Saudi Arabia,92
http://www.wikidata.org/entity/Q57402,http://www.wikidata.org/entity/Q811,Daniel Ortega,Nicaragua,90
http://www.wikidata.org/entity/Q57402,http://www.wikidata.org/entity/Q811,Daniel Ortega,Nicaragua,90
http://www.wikidata.org/entity/Q3606816,http://www.wikidata.org/entity/Q664,Jacinda Ardern,New Zealand,90
http://www.wikidata.org/entity/Q57287,http://www.wikidata.org/entity/Q20,Harald V of Norway,Norway,89
http://www.wikidata.org/entity/Q61053,http://www.wikidata.org/entity/Q183,Olaf Scholz,Germany,89
http://www.wikidata.org/entity/Q29207,http://www.wikidata.org/entity/Q33,Sauli Niinistö,Finland,88
http://www.wikidata.org/entity/Q57530,http://www.wikidata.org/entity/Q874,Gurbanguly Berdimuhamedow,Turkmenistan,87
http://www.wikidata.org/entity/Q52183,http://www.wikidata.org/entity/Q902,Sheikh Hasina,Bangladesh,87
http://www.wikidata.org/entity/Q57530,http://www.wikidata.org/entity/Q874,Gurbanguly Berdimuhamedow,Turkmenistan,87
http://www.wikidata.org/entity/Q26273268,http://www.wikidata.org/entity/Q214,Zuzana Čaputová,Slovakia,87
http://www.wikidata.org/entity/Q172388,http://www.wikidata.org/entity/Q30747910,Ashraf Ghani,Islamic Republic of Afghanistan,87
http://www.wikidata.org/entity/Q18111,http://www.wikidata.org/entity/Q148,Li Keqiang,People's Republic of China,87
http://www.wikidata.org/entity/Q57376,http://www.wikidata.org/entity/Q917,Jigme Khesar Namgyel Wangchuck,Bhutan,86
http://www.wikidata.org/entity/Q173139,http://www.wikidata.org/entity/Q1014,George Weah,Liberia,86
http://www.wikidata.org/entity/Q173139,http://www.wikidata.org/entity/Q1014,George Weah,Liberia,86
http://www.wikidata.org/entity/Q29032,http://www.wikidata.org/entity/Q213,Miloš Zeman,Czech Republic,86
http://www.wikidata.org/entity/Q50365049,http://www.wikidata.org/entity/Q115,Abiy Ahmed Ali,Ethiopia,86
http://www.wikidata.org/entity/Q306,http://www.wikidata.org/entity/Q298,Sebastián Piñera,Chile,85
http://www.wikidata.org/entity/Q155004,http://www.wikidata.org/entity/Q31,Philippe I of Belgium,Belgium,85
http://www.wikidata.org/entity/Q12366816,http://www.wikidata.org/entity/Q191,Kersti Kaljulaid,Estonia,85
http://www.wikidata.org/entity/Q306,http://www.wikidata.org/entity/Q298,Sebastián Piñera,Chile,85
http://www.wikidata.org/entity/Q57808,http://www.wikidata.org/entity/Q265,Shavkat Mirziyoyev,Uzbekistan,83
http://www.wikidata.org/entity/Q1231345,http://www.wikidata.org/entity/Q1037,Paul Kagame,Rwanda,82
http://www.wikidata.org/entity/Q155164,http://www.wikidata.org/entity/Q843,Imran Khan,Pakistan,82
http://www.wikidata.org/entity/Q3910,http://www.wikidata.org/entity/Q235,"Albert II, Prince of Monaco",Monaco,82
http://www.wikidata.org/entity/Q78869,http://www.wikidata.org/entity/Q40,Alexander Van der Bellen,Austria,82
http://www.wikidata.org/entity/Q6070218,http://www.wikidata.org/entity/Q29,Pedro Sánchez,Spain,82
http://www.wikidata.org/entity/Q1148669,http://www.wikidata.org/entity/Q258,Matamela Cyril Ramaphosa,South Africa,81
http://www.wikidata.org/entity/Q1148669,http://www.wikidata.org/entity/Q258,Matamela Cyril Ramaphosa,South Africa,81
http://www.wikidata.org/entity/Q57319,http://www.wikidata.org/entity/Q424,Norodom Sihamoni,Cambodia,80
http://www.wikidata.org/entity/Q318508,http://www.wikidata.org/entity/Q96,Andrés Manuel López Obrador,Mexico,80
http://www.wikidata.org/entity/Q701484,http://www.wikidata.org/entity/Q218,Klaus Johannis,Romania,80
http://www.wikidata.org/entity/Q16845347,http://www.wikidata.org/entity/Q668,Ram Nath Kovind,India,80
http://www.wikidata.org/entity/Q318508,http://www.wikidata.org/entity/Q96,Andrés Manuel López Obrador,Mexico,80
http://www.wikidata.org/entity/Q57274,http://www.wikidata.org/entity/Q1036,Yoweri Museveni,Uganda,79
http://www.wikidata.org/entity/Q294460,http://www.wikidata.org/entity/Q38,Mario Draghi,Italy,79
http://www.wikidata.org/entity/Q57327,http://www.wikidata.org/entity/Q921,Hassanal Bolkiah,Brunei,78
http://www.wikidata.org/entity/Q57327,http://www.wikidata.org/entity/Q921,Hassanal Bolkiah,Brunei,78
http://www.wikidata.org/entity/Q206471,http://www.wikidata.org/entity/Q215,Borut Pahor,Slovenia,78
http://www.wikidata.org/entity/Q222031,http://www.wikidata.org/entity/Q403,Aleksandar Vučić,Serbia,78
http://www.wikidata.org/entity/Q57350,http://www.wikidata.org/entity/Q657,Idriss Déby,Chad,78
http://www.wikidata.org/entity/Q7436908,http://www.wikidata.org/entity/Q408,Scott Morrison,Australia,78
http://www.wikidata.org/entity/Q57340,http://www.wikidata.org/entity/Q1050,Mswati III,Eswatini,77
http://www.wikidata.org/entity/Q4298520,http://www.wikidata.org/entity/Q159,Mikhail Mishustin,Russia,76
http://www.wikidata.org/entity/Q57276,http://www.wikidata.org/entity/Q27,Michael D. Higgins,Republic of Ireland,75
http://www.wikidata.org/entity/Q103955,http://www.wikidata.org/entity/Q41304,Gustav Stresemann,Weimar Republic,75
http://www.wikidata.org/entity/Q57418,http://www.wikidata.org/entity/Q971,Denis Sassou-Nguesso,Republic of the Congo,74
http://www.wikidata.org/entity/Q16193958,http://www.wikidata.org/entity/Q837,Bidya Devi Bhandari,Nepal,74
http://www.wikidata.org/entity/Q57467,http://www.wikidata.org/entity/Q28,János Áder,Hungary,74
http://www.wikidata.org/entity/Q16986436,http://www.wikidata.org/entity/Q33,Sanna Marin,Finland,74
http://www.wikidata.org/entity/Q57366,http://www.wikidata.org/entity/Q863,Emomali Rahmon,Tajikistan,73
http://www.wikidata.org/entity/Q57385,http://www.wikidata.org/entity/Q983,Teodoro Obiang,Equatorial Guinea,73
http://www.wikidata.org/entity/Q200881,http://www.wikidata.org/entity/Q232,Kassym-Jomart Tokayev,Kazakhstan,73
http://www.wikidata.org/entity/Q316901,http://www.wikidata.org/entity/Q222,Edi Rama,Albania,73
http://www.wikidata.org/entity/Q361567,http://www.wikidata.org/entity/Q1033,Muhammadu Buhari,Nigeria,72
http://www.wikidata.org/entity/Q39318,http://www.wikidata.org/entity/Q801,Naftali Bennett,Israel,72
http://www.wikidata.org/entity/Q361567,http://www.wikidata.org/entity/Q1033,Muhammadu Buhari,Nigeria,72
http://www.wikidata.org/entity/Q57454,http://www.wikidata.org/entity/Q347,"Hans-Adam II, Prince of Liechtenstein",Liechtenstein,72
http://www.wikidata.org/entity/Q57775,http://www.wikidata.org/entity/Q219,Boyko Borisov,Bulgaria,72
http://www.wikidata.org/entity/Q2646,http://www.wikidata.org/entity/Q41304,Friedrich Ebert,Weimar Republic,71
http://www.wikidata.org/entity/Q57272,http://www.wikidata.org/entity/Q1009,Paul Biya,Cameroon,71
http://www.wikidata.org/entity/Q2642828,http://www.wikidata.org/entity/Q414,Alberto Fernández,Argentina,71
http://www.wikidata.org/entity/Q58833335,http://www.wikidata.org/entity/Q717,Juan Guaidó,Venezuela,71
http://www.wikidata.org/entity/Q150552,http://www.wikidata.org/entity/Q41304,Franz von Papen,Weimar Republic,71
http://www.wikidata.org/entity/Q57643,http://www.wikidata.org/entity/Q334,Lee Hsien Loong,Singapore,71
http://www.wikidata.org/entity/Q2642828,http://www.wikidata.org/entity/Q414,Alberto Fernández,Argentina,71
http://www.wikidata.org/entity/Q58833335,http://www.wikidata.org/entity/Q717,Juan Guaidó,Venezuela,71
http://www.wikidata.org/entity/Q57413,http://www.wikidata.org/entity/Q1008,Alassane Ouattara,Côte d'Ivoire,70
http://www.wikidata.org/entity/Q1059948,http://www.wikidata.org/entity/Q878,Khalifa bin Zayed Al Nahyan,United Arab Emirates,70
http://www.wikidata.org/entity/Q93153,http://www.wikidata.org/entity/Q399,Armen Sarkissian,Armenia,70
http://www.wikidata.org/entity/Q1932603,http://www.wikidata.org/entity/Q241,Miguel Díaz-Canel,Cuba,70
http://www.wikidata.org/entity/Q2112764,http://www.wikidata.org/entity/Q229,Nikos Anastasiades,Cyprus,70
http://www.wikidata.org/entity/Q15071069,http://www.wikidata.org/entity/Q217,Maia Sandu,Moldova,70
http://www.wikidata.org/entity/Q2112764,http://www.wikidata.org/entity/Q229,Nikos Anastasiades,Cyprus,70
http://www.wikidata.org/entity/Q11869065,http://www.wikidata.org/entity/Q191,Kaja Kallas,Estonia,70
http://www.wikidata.org/entity/Q16004,http://www.wikidata.org/entity/Q32,"Henri, Grand Duke of Luxembourg",Luxembourg,69
http://www.wikidata.org/entity/Q57352,http://www.wikidata.org/entity/Q398,Hamad bin Isa Al Khalifa,Bahrain,69
http://www.wikidata.org/entity/Q272416,http://www.wikidata.org/entity/Q230,Salome Zurabishvili,Georgia,69
http://www.wikidata.org/entity/Q359480,http://www.wikidata.org/entity/Q17,Fumio Kishida,Japan,69
http://www.wikidata.org/entity/Q57348,http://www.wikidata.org/entity/Q986,Isaias Afwerki,Eritrea,68
http://www.wikidata.org/entity/Q21294765,http://www.wikidata.org/entity/Q790,Jovenel Moïse,Haiti,68
http://www.wikidata.org/entity/Q57348,http://www.wikidata.org/entity/Q986,Isaias Afwerki,Eritrea,68
http://www.wikidata.org/entity/Q57537,http://www.wikidata.org/entity/Q1013,Letsie III of Lesotho,Lesotho,67
http://www.wikidata.org/entity/Q510523,http://www.wikidata.org/entity/Q954,Emmerson Mnangagwa,Zimbabwe,66
http://www.wikidata.org/entity/Q510523,http://www.wikidata.org/entity/Q954,Emmerson Mnangagwa,Zimbabwe,66
http://www.wikidata.org/entity/Q57627,http://www.wikidata.org/entity/Q215,Janez Janša,Slovenia,66
http://www.wikidata.org/entity/Q57315,http://www.wikidata.org/entity/Q958,Salva Kiir Mayardit,South Sudan,65
http://www.wikidata.org/entity/Q57315,http://www.wikidata.org/entity/Q958,Salva Kiir Mayardit,South Sudan,65
http://www.wikidata.org/entity/Q7035479,http://www.wikidata.org/entity/Q399,Nikol Pashinyan,Armenia,65
http://www.wikidata.org/entity/Q7399685,http://www.wikidata.org/entity/Q115,Sahle-Work Zewde,Ethiopia,64
http://www.wikidata.org/entity/Q26257557,http://www.wikidata.org/entity/Q219,Rumen Radev,Bulgaria,64
http://www.wikidata.org/entity/Q4413,http://www.wikidata.org/entity/Q1006,Alpha Condé,Guinea,62
http://www.wikidata.org/entity/Q57438,http://www.wikidata.org/entity/Q1041,Macky Sall,Senegal,62
http://www.wikidata.org/entity/Q1855372,http://www.wikidata.org/entity/Q846,Tamim bin Hamad Al Thani,Qatar,62
http://www.wikidata.org/entity/Q57438,http://www.wikidata.org/entity/Q1041,Macky Sall,Senegal,62
http://www.wikidata.org/entity/Q196070,http://www.wikidata.org/entity/Q114,Uhuru Kenyatta,Kenya,62
http://www.wikidata.org/entity/Q200305,http://www.wikidata.org/entity/Q236,Milo Đukanović,Montenegro,62
http://www.wikidata.org/entity/Q5642345,http://www.wikidata.org/entity/Q334,Halimah Yacob,Singapore,62
http://www.wikidata.org/entity/Q196070,http://www.wikidata.org/entity/Q114,Uhuru Kenyatta,Kenya,62
http://www.wikidata.org/entity/Q610788,http://www.wikidata.org/entity/Q45,António Costa,Portugal,62
http://www.wikidata.org/entity/Q57521,http://www.wikidata.org/entity/Q1000,Ali Bongo Ondimba,Gabon,61
http://www.wikidata.org/entity/Q363392,http://www.wikidata.org/entity/Q822,Michel Aoun,Lebanon,61
http://www.wikidata.org/entity/Q57687,http://www.wikidata.org/entity/Q224,Zoran Milanović,Croatia,61
http://www.wikidata.org/entity/Q6756617,http://www.wikidata.org/entity/Q45,Marcelo Rebelo de Sousa,Portugal,61
http://www.wikidata.org/entity/Q3171170,http://www.wikidata.org/entity/Q142,Jean Castex,France,61
http://www.wikidata.org/entity/Q4414,http://www.wikidata.org/entity/Q945,Faure Essozimna Gnassingbé Eyadéma,Togo,60
http://www.wikidata.org/entity/Q57480,http://www.wikidata.org/entity/Q805,Abdrabbuh Mansour Hadi,Yemen,60
http://www.wikidata.org/entity/Q57788,http://www.wikidata.org/entity/Q424,Hun Sen,Cambodia,60
http://www.wikidata.org/entity/Q552751,http://www.wikidata.org/entity/Q41,Kyriakos Mitsotakis,Greece,60
http://www.wikidata.org/entity/Q11771436,http://www.wikidata.org/entity/Q36,Mateusz Morawiecki,Poland,60
http://www.wikidata.org/entity/Q26258815,http://www.wikidata.org/entity/Q403,Ana Brnabić,Serbia,60
http://www.wikidata.org/entity/Q57655,http://www.wikidata.org/entity/Q878,Mohammed bin Rashid Al Maktoum,United Arab Emirates,59
http://www.wikidata.org/entity/Q2108126,http://www.wikidata.org/entity/Q869,Prayut Chan-o-cha,Thailand,59
http://www.wikidata.org/entity/Q518626,http://www.wikidata.org/entity/Q736,Lenín Moreno,Ecuador,59
http://www.wikidata.org/entity/Q5015,http://www.wikidata.org/entity/Q756617,Mette Frederiksen,Kingdom of Denmark,59
http://www.wikidata.org/entity/Q718601,http://www.wikidata.org/entity/Q117,Nana Akufo-Addo,Ghana,58
http://www.wikidata.org/entity/Q561213,http://www.wikidata.org/entity/Q32,Xavier Bettel,Luxembourg,58
http://www.wikidata.org/entity/Q718601,http://www.wikidata.org/entity/Q117,Nana Akufo-Addo,Ghana,58
http://www.wikidata.org/entity/Q4935873,http://www.wikidata.org/entity/Q34,Magdalena Andersson,Sweden,58
http://www.wikidata.org/entity/Q24237654,http://www.wikidata.org/entity/Q889,Haibatullah Akhundzada,Afghanistan,57
http://www.wikidata.org/entity/Q24237654,http://www.wikidata.org/entity/Q427941,Haibatullah Akhundzada,Islamic Emirate of Afghanistan,57
http://www.wikidata.org/entity/Q57133,http://www.wikidata.org/entity/Q41304,Kurt von Schleicher,Weimar Republic,57
http://www.wikidata.org/entity/Q57758,http://www.wikidata.org/entity/Q929,Faustin-Archange Touadéra,Central African Republic,56
http://www.wikidata.org/entity/Q64168538,http://www.wikidata.org/entity/Q40,Alexander Schallenberg,Austria,56
http://www.wikidata.org/entity/Q57390,http://www.wikidata.org/entity/Q977,Ismail Omar Guelleh,Djibouti,55
http://www.wikidata.org/entity/Q3246667,http://www.wikidata.org/entity/Q902,Abdul Hamid,Bangladesh,55
http://www.wikidata.org/entity/Q27917049,http://www.wikidata.org/entity/Q1005,Adama Barrow,The Gambia,55
http://www.wikidata.org/entity/Q29032770,http://www.wikidata.org/entity/Q974,Félix Tshisekedi,Democratic Republic of the Congo,55
http://www.wikidata.org/entity/Q27917049,http://www.wikidata.org/entity/Q1005,Adama Barrow,The Gambia,55
http://www.wikidata.org/entity/Q727132,http://www.wikidata.org/entity/Q222,Ilir Meta,Albania,55
http://www.wikidata.org/entity/Q9268379,http://www.wikidata.org/entity/Q37,Gitanas Nausėda,Lithuania,55
http://www.wikidata.org/entity/Q15967423,http://www.wikidata.org/entity/Q221,Stevo Pendarovski,North Macedonia,55
http://www.wikidata.org/entity/Q24045706,http://www.wikidata.org/entity/Q189,Guðni Jóhannesson,Iceland,55
http://www.wikidata.org/entity/Q57415743,http://www.wikidata.org/entity/Q41,Katerina Sakellaropoulou,Greece,55
http://www.wikidata.org/entity/Q467464,http://www.wikidata.org/entity/Q189,Katrín Jakobsdóttir,Iceland,55
http://www.wikidata.org/entity/Q11685764,http://www.wikidata.org/entity/Q224,Andrej Plenković,Croatia,55
http://www.wikidata.org/entity/Q6737124,http://www.wikidata.org/entity/Q854,Maithripala Sirisena,Sri Lanka,54
http://www.wikidata.org/entity/Q208497,http://www.wikidata.org/entity/Q678,Tupou VI of Tonga,Tonga,54
http://www.wikidata.org/entity/Q9333540,http://www.wikidata.org/entity/Q244,Sandra Mason,Barbados,54
http://www.wikidata.org/entity/Q437096,http://www.wikidata.org/entity/Q37,Ingrida Šimonytė,Lithuania,54
http://www.wikidata.org/entity/Q16669148,http://www.wikidata.org/entity/Q962,Patrice Talon,Benin,53
http://www.wikidata.org/entity/Q28650390,http://www.wikidata.org/entity/Q916,João Lourenço,Angola,53
http://www.wikidata.org/entity/Q16669148,http://www.wikidata.org/entity/Q962,Patrice Talon,Benin,53
http://www.wikidata.org/entity/Q28650390,http://www.wikidata.org/entity/Q916,João Lourenço,Angola,53
http://www.wikidata.org/entity/Q983258,http://www.wikidata.org/entity/Q801,Isaac Herzog,Israel,52
http://www.wikidata.org/entity/Q16193885,http://www.wikidata.org/entity/Q924,Samia Suluhu,Tanzania,52
http://www.wikidata.org/entity/Q16193885,http://www.wikidata.org/entity/Q924,Samia Suluhu,Tanzania,52
http://www.wikidata.org/entity/Q57146,http://www.wikidata.org/entity/Q444912,Carol I of Romania,Romanian Old Kingdom,51
http://www.wikidata.org/entity/Q57517,http://www.wikidata.org/entity/Q1011,Jorge Carlos Fonseca,Cape Verde,51
http://www.wikidata.org/entity/Q558575,http://www.wikidata.org/entity/Q1045,Mohamed Abdullahi Farmajo,Somalia,51
http://www.wikidata.org/entity/Q5951723,http://www.wikidata.org/entity/Q783,Juan Orlando Hernández Alvarado,Honduras,51
http://www.wikidata.org/entity/Q12250314,http://www.wikidata.org/entity/Q842,Haitham bin Tarik Al Said,Oman,51
http://www.wikidata.org/entity/Q17712353,http://www.wikidata.org/entity/Q792,Nayib Bukele,El Salvador,51
http://www.wikidata.org/entity/Q5951723,http://www.wikidata.org/entity/Q783,Juan Orlando Hernández Alvarado,Honduras,51
http://www.wikidata.org/entity/Q12250314,http://www.wikidata.org/entity/Q842,Haitham bin Tarik Al Said,Oman,51
http://www.wikidata.org/entity/Q17712353,http://www.wikidata.org/entity/Q792,Nayib Bukele,El Salvador,51
http://www.wikidata.org/entity/Q16149892,http://www.wikidata.org/entity/Q750,Luis Arce,Bolivia,51
http://www.wikidata.org/entity/Q16149892,http://www.wikidata.org/entity/Q750,Luis Arce,Bolivia,51
http://www.wikidata.org/entity/Q17478000,http://www.wikidata.org/entity/Q739,Iván Duque,Colombia,51
http://www.wikidata.org/entity/Q17478000,http://www.wikidata.org/entity/Q739,Iván Duque,Colombia,51
http://www.wikidata.org/entity/Q18352991,http://www.wikidata.org/entity/Q953,Edgar Lungu,Zambia,50
http://www.wikidata.org/entity/Q18352991,http://www.wikidata.org/entity/Q953,Edgar Lungu,Zambia,50
http://www.wikidata.org/entity/Q57473,http://www.wikidata.org/entity/Q228,Joan Enric Vives Sicília,Andorra,50
http://www.wikidata.org/entity/Q476596,http://www.wikidata.org/entity/Q31,Alexander De Croo,Belgium,50
http://www.wikidata.org/entity/Q57363,http://www.wikidata.org/entity/Q1019,Andry Rajoelina,Madagascar,49
http://www.wikidata.org/entity/Q18618891,http://www.wikidata.org/entity/Q963,Mokgweetsi Masisi,Botswana,49
http://www.wikidata.org/entity/Q70581,http://www.wikidata.org/entity/Q41304,Philipp Scheidemann,Weimar Republic,49
http://www.wikidata.org/entity/Q18618891,http://www.wikidata.org/entity/Q963,Mokgweetsi Masisi,Botswana,49
http://www.wikidata.org/entity/Q317556,http://www.wikidata.org/entity/Q30747910,Abdullah Abdullah,Islamic Republic of Afghanistan,49
http://www.wikidata.org/entity/Q155419,http://www.wikidata.org/entity/Q41304,Hans Luther,Weimar Republic,49
http://www.wikidata.org/entity/Q808173,http://www.wikidata.org/entity/Q796,Barham Salih,Iraq,48
http://www.wikidata.org/entity/Q4790529,http://www.wikidata.org/entity/Q843,Arif Alvi,Pakistan,48
http://www.wikidata.org/entity/Q10800073,http://www.wikidata.org/entity/Q881,Nguyen Xuan Phuc,Vietnam,48
http://www.wikidata.org/entity/Q60150,http://www.wikidata.org/entity/Q41304,Joseph Wirth,Weimar Republic,48
http://www.wikidata.org/entity/Q220579,http://www.wikidata.org/entity/Q221,Zoran Zaev,North Macedonia,48
http://www.wikidata.org/entity/Q57165,http://www.wikidata.org/entity/Q444912,Ferdinand I of Romania,Romanian Old Kingdom,47
http://www.wikidata.org/entity/Q77183,http://www.wikidata.org/entity/Q41304,Wilhelm Marx,Weimar Republic,47
http://www.wikidata.org/entity/Q348043,http://www.wikidata.org/entity/Q211,Egils Levits,Latvia,47
http://www.wikidata.org/entity/Q2821166,http://www.wikidata.org/entity/Q262,Abdelmadjid Tebboune,Algeria,47
http://www.wikidata.org/entity/Q155398,http://www.wikidata.org/entity/Q41304,Heinrich Brüning,Weimar Republic,47
http://www.wikidata.org/entity/Q470024,http://www.wikidata.org/entity/Q819,Bounnhang Vorachith,Laos,46
http://www.wikidata.org/entity/Q5448556,http://www.wikidata.org/entity/Q1029,Filipe Nyusi,Mozambique,46
http://www.wikidata.org/entity/Q57159,http://www.wikidata.org/entity/Q41304,Gustav Bauer,Weimar Republic,46
