0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
South Africa,Africa,No,12.0,12.0,12.0,12.0,,,,,16.0,16.0,16,16.0,[176][177]
Denmark,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[178][124]
Malaysia,Asia,No,,,,,,,,,18.0,18.0,-1,,[179][180]
Singapore,Asia,No,,,,,16.0,16.0,,16.0,18.0,18.0,-1,18.0,[181]
Israel,Asia,No,14.0,14.0,14.0,14.0,,,,,16.0,16.0,16,16.0,
Philippines,Asia,No,12.0,12.0,12.0,12.0,,,,,18.0,18.0,18,18.0,[182][183][184][185][186]
Egypt,Africa,No,,,,,,,,,18.0,18.0,-1,,[187][188]
Hong Kong,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[189][190][191][192][193]
Finland,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[194][124]
Chile,South America,No,,,,,14.0,14.0,,,18.0,18.0,18,18.0,[195]
Pakistan,Asia,Yes,,,,,,,,,18.0,18.0,-1,,[196][197]
Ireland,Europe,No,,,,,,,,,17.0,17.0,17,17.0,[198][199][200][201][202]
Greece,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[203][124]
Portugal,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[204][124]
Iraq,Asia,No,,,,,,,,,18.0,18.0,-1,,[205][206][207]
Kazakhstan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[208]
Algeria,Africa,No,,,,,,,,,16.0,16.0,-1,,[209][210]
Qatar,Asia,Yes,,,,,,,,,18.0,16.0,-1,,[211]
Czech Republic,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[212][213][124]
Peru,South America,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[214][215][216][217]
Romania,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[218][124]
New Zealand,Oceania,No,,,,,,,,,16.0,16.0,16,16.0,[219][220]
Vietnam,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[221][222]
Bangladesh,Asia,No,,,,,,,,,14.0,14.0,14,14.0,[223]
Kuwait,Asia,Yes,,,,,,,,,17.0,15.0,-1,,[224][225]
Angola,Africa,No,14.0,14.0,14.0,14.0,,,,,16.0,16.0,16,16.0,[226]
Hungary,Europe,No,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[227][124]
Ukraine,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[228][229][124]
Morocco,Africa,No,,,,,,,,,18.0,18.0,-1,,[230][231][232]
Puerto Rico,North America,No,,,,,14.0,14.0,14.0,14.0,16.0,16.0,16,16.0,[113]
Ecuador,South America,No,,,,,14.0,14.0,14.0,14.0,18.0,14.0,18,14.0,[233]
Slovakia,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[234][124]
Cuba,North America,No,,,,,,,,,16.0,16.0,16,16.0,[235]
Sudan,Africa,Yes,,,,,,,,,13.0,12.0,-1,,[236]
Oman,Asia,Yes,,,,,,,,,18.0,18.0,-1,,[237]
Belarus,Europe,No,,,,,,,,,16.0,16.0,16,16.0,[238]
Azerbaijan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[239]
Sri Lanka,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[240][241]
Myanmar,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[242][243]
Luxembourg,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[244][124]
Dominica,North America,No,,,,,,,,,18.0,18.0,18,18.0,[245]
Uzbekistan,Asia,No,,,,,,,,,16.0,16.0,-1,16.0,[246][247][248]
Kenya,Africa,No,,,,,,,,,18.0,18.0,-1,,[249]
Guatemala,North America,No,,,,,,,,,18.0,18.0,18,18.0,[250]
Uruguay,South America,No,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[251]
Croatia,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[252][124]
Bulgaria,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[253][124]
Macau,Asia,No,,,,,,,,,14.0,14.0,14,14.0,[254]
Ethiopia,Africa,No,,,,,,,,,18.0,18.0,-1,,[255][256]
Lebanon,Asia,No,,,,,,,,,18.0,18.0,18,18.0,[257]
Costa Rica,North America,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[258]
Slovenia,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[259][124]
Panama,North America,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[260]
Lithuania,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[261][262][124]
Tanzania,Africa,No,,,,,,,,,18.0,18.0,-1,,[263]
Turkmenistan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[264]
Tunisia,Africa,No,,,,,,,,,18.0,18.0,-1,,[265][266]
Serbia,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[267][124]
Libya,Africa,Yes,,,,,,,,,18.0,16.0,-1,,[268]
Ghana,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[269]
Yemen,Asia,Yes,,,,,,,,,,,-1,,[270][271][272][273][274][275]
DR Congo,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[276]
Jordan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[277]
Ivory Coast,Africa,No,15.0,15.0,,,,,,,18.0,18.0,-1,,[278]
Bahrain,Asia,Yes,,,,,,,,,21.0,21.0,-1,,[279][280]
Bolivia,South America,No,14.0,14.0,14.0,14.0,,,,,18.0,18.0,18,18.0,[281][282][283][284][285]
Cameroon,Africa,No,16.0,16.0,,,,,,,21.0,21.0,-1,,[286]
Latvia,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[287][288][124]
Paraguay,South America,No,,,,,,,,,14.0,14.0,16,16.0,[289]
Trinidad and Tobago,North America,No,,,,,12.0,12.0,12.0,12.0,18.0,18.0,18,18.0,[290][291]
Uganda,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[292][293]
Zambia,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[294]
Estonia,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[295][124]
El Salvador,North America,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[296][297]
Cyprus,Europe,No,,,,,17.0,17.0,17.0,17.0,18.0,18.0,18,18.0,[298][299][124]
Afghanistan,Asia,Yes,,,,,,,,,18.0,16.0,-1,,[300][301]
Honduras,North America,No,,,,,,,,,14.0,14.0,14,14.0,[302]
Nepal,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[303]
Bosnia and Herzegovina,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[304][124]
Gabon,Africa,No,15.0,15.0,,,,,,,18.0,18.0,21,21.0,[305]
North Korea,Asia,No,,,,,,,,,15.0,15.0,15,15.0,[306]
Brunei,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[307]
Mozambique,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[308]
Iceland,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[309][310][124]
Cambodia,Asia,No,,,,,,,,,15.0,15.0,15,15.0,[311][312][313][314][315]
Guinea,Africa,No,,,,,,,,,18.0,18.0,-1,,[316]
Guinea,Oceania,No,12.0,14.0,,,,,,,16.0,17.0,-1,,[317]
Georgia,Asia,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[318][124]
Botswana,Africa,No,,,,,,,,,18.0,18.0,-1,,[319]
Senegal,Africa,No,,,,,,,,,16.0,16.0,-1,,[320]
Zimbabwe,Africa,No,,,,,,,,,16.0,16.0,-1,,[321]
Congo,Africa,No,,,,,,,,,18.0,18.0,-1,,[322]
Jamaica,North America,No,,,,,,,,,16.0,16.0,16,16.0,[323]
Namibia,Africa,No,,,,,,,,,16.0,16.0,-1,16.0,[324]
Albania,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[325][124]
Chad,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[326]
Burkina Faso,Africa,No,15.0,15.0,,,,,,,18.0,18.0,-1,,[327]
Mauritius,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[328]
Mongolia,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[329]
Mali,Africa,No,,,,,,,,,15.0,15.0,15,15.0,[330]
Nicaragua,North America,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[331]
Laos,Asia,No,,,,,,,,,15.0,15.0,15,15.0,[332][333]
North Macedonia,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[334][124]
Sudan,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[335][336][337]
Armenia,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[253]
Madagascar,Africa,No,,,,,,,,,14.0,14.0,21,21.0,[338]
Malta,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[339][340][341][342][124]
Benin,Africa,No,,,,,,,,,16.0,16.0,21,21.0,[343]
Tajikistan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[344]
Haiti,North America,No,,,,,,,,,18.0,18.0,18,18.0,[345]
Bahamas,North America,No,,,,,,,,,16.0,16.0,18,18.0,[346]
Niger,Africa,No,,,,,,,,,13.0,13.0,-1,,[347]
Moldova,Europe,No,,,,,16.0,16.0,16.0,16.0,18.0,18.0,18,18.0,[253][124]
Rwanda,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[188]
Kyrgyzstan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[348]
Kosovo,Europe,No,,,,,,,,,16.0,16.0,16,16.0,[349]
Monaco,Europe,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[350][124]
Guinea,Africa,No,,,,,,,,,15.0,15.0,15,15.0,[351]
Liechtenstein,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[352][124]
Malawi,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[353]
Bermuda,North America,No,,,,,,,,,16.0,16.0,16,16.0,[354]
Suriname,South America,No,,,,,,,,,16.0,16.0,16,16.0,[355]
Mauritania,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[356]
East Timor,Asia,No,,,,,,,,,14.0,14.0,14,14.0,[357]
Sierra Leone,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[358]
Montenegro,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[359][124]
Togo,Oceania,No,,,,,,,,,15.0,15.0,15,15.0,[360]
Fiji,Oceania,No,,,,,,,,,16.0,16.0,16,16.0,
Eswatini,Africa,No,,,,,,,,,18.0,18.0,-1,,[361]
Barbados,North America,No,,,,,,,,,16.0,16.0,16,16.0,[362]
Eritrea,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[363]
Andorra,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[364][124]
Curacao,North America,No,,,,,,,,,15.0,15.0,15,15.0,[365]
Guyana,South America,No,,,,,,,,,16.0,16.0,16,16.0,[366][367][368]
Maldives,Asia,Yes,,,,,,,,,18.0,9.0,-1,,
Burundi,Africa,No,,,,,,,,,18.0,18.0,-1,,[369][370]
Aruba,North America,No,,,,,,,,,15.0,15.0,15,15.0,[371]
Liberia,Africa,No,,,,,,,,,18.0,18.0,-1,,[372][373][374]
Lesotho,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[375]
Bhutan,Asia,No,,,,,,,,,18.0,18.0,18,18.0,[376]
Cape Verde,Africa,No,14.0,14.0,14.0,14.0,,,,,16.0,16.0,16,16.0,[377]
San Marino,Europe,No,,,,,14.0,14.0,14.0,14.0,18.0,18.0,18,18.0,[378][379][124]
Central African Republic,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[380]
Belize,North America,No,,,,,,,,,16.0,16.0,16,16.0,[381][382]
Djibouti,Africa,No,15.0,15.0,,,,,,,18.0,18.0,-1,,[383][356]
Seychelles,Africa,No,,,,,,,,,15.0,15.0,-1,,[384]
Saint Lucia,North America,No,,,,,,,,,16.0,16.0,16,16.0,[385]
Somalia,Africa,No,,,,,,,,,18.0,18.0,-1,,[386][387]
Antigua and Barbuda,North America,No,,,,,,,,,16.0,16.0,16,16.0,[388]
Guinea,Africa,No,,,,,,,,,16.0,16.0,16,16.0,[389]
Gambia,Africa,No,,,,,,,,,18.0,18.0,18,18.0,[390]
Samoa,Oceania,No,,,,,,,,,16.0,16.0,16,16.0,[391]
Vanuatu,Oceania,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[392][393]
Comoros,Africa,No,,,,,,,,,15.0,15.0,-1,,[394]
Dominica,North America,No,,,,,,,,,16.0,16.0,16,16.0,[395]
Sao Tome and Principe,Africa,No,,,,,14.0,14.0,,,16.0,16.0,16,16.0,[396]
Kiribati,Oceania,No,,,,,,,,,15.0,18.0,-1,,[397]
Tuvalu,Oceania,No,,,,,15.0,15.0,15.0,15.0,18.0,18.0,18,18.0,[398]
Syria,Asia,No,,,,,,,,,15.0,15.0,15,15.0,[399]
Taiwan,Asia,No,,,,,,,,,16.0,16.0,16,16.0,[400]
Vatican City,Europe,Yes,,,,,,,,,16.0,14.0,-1,,[401][402][403]
Gaza Strip,Asia,Yes,,,,,,,,,16.0,15.0,-1,,[404]
West Bank,Asia,No,,,,,,,,,16.0,16.0,-1,,[405]
Sahrawi Arab Democratic Republic,Africa,No,,,,,,,,,13.0,13.0,13,13.0,[406]
