country,number,item,rank,item_id,shortform,pageid,wikidata_description
Bosnia and Herzegovina,199191,Banja Luka,2,http://www.wikidata.org/entity/Q131127,wd:Q131127,385109,city in Bosnia and Herzegovina
Botswana,67598,Molepolole,2,http://www.wikidata.org/entity/Q170725,wd:Q170725,1638507,"village in Kweneng District, Botswana"
Brazil,6747815,Rio de Janeiro,2,http://www.wikidata.org/entity/Q8678,wd:Q8678,25936,"city of the state of Rio de Janeiro, Brazil"
Bulgaria,382319,Plovdiv,2,http://www.wikidata.org/entity/Q459,wd:Q459,182553,second-largest city in Bulgaria
Burkina Faso,903887,Bobo Dioulasso,2,http://www.wikidata.org/entity/Q223761,wd:Q223761,426983,town in Burkina Faso
Burundi,41944,Gitega,2,http://www.wikidata.org/entity/Q167551,wd:Q167551,766812,capital of Burundi
Cape Verde,70468,Mindelo,2,http://www.wikidata.org/entity/Q495547,wd:Q495547,75327,second largest city of Cape Verde
Cambodia,147866,Siem Reap,2,http://www.wikidata.org/entity/Q11711,wd:Q11711,6658464,capital of the same named Cambodian province
Cameroon,2440462,Yaoundé,2,http://www.wikidata.org/entity/Q3808,wd:Q3808,57671,capital of Cameroon
Canada,1239220,Calgary,2,http://www.wikidata.org/entity/Q36312,wd:Q36312,15895358,"city in Alberta, Canada"
Central African Republic,124176,Bimbo,2,http://www.wikidata.org/entity/Q863461,wd:Q863461,3685341,city
Chad,142462,Moundou,2,http://www.wikidata.org/entity/Q333074,wd:Q333074,791758,city in Chad
Chile,573935,Puente Alto,2,http://www.wikidata.org/entity/Q51594,wd:Q51594,6657907,city and commune of Chile
People's Republic of China,21893095,Beijing,2,http://www.wikidata.org/entity/Q956,wd:Q956,18603746,capital of China
Colombia,2529403,Medellín,2,http://www.wikidata.org/entity/Q48278,wd:Q48278,340197,"city in Colombia, capital of Colombian department Antioquia"
Comoros,30000,Mutsamudu,2,http://www.wikidata.org/entity/Q691016,wd:Q691016,3405331,"city in Anjouan, Comoros"
Democratic Republic of the Congo,1971704,Kananga,2,http://www.wikidata.org/entity/Q205327,wd:Q205327,1787776,"city in Kasaï-Occidental, Democratic Republic of the Congo"
Republic of the Congo,829134,Pointe-Noire,2,http://www.wikidata.org/entity/Q223920,wd:Q223920,1037934,city in the Republic of the Congo
Costa Rica,60710,Limón,2,http://www.wikidata.org/entity/Q30620,wd:Q30620,1362732,"district in Limón canton, Limón province, Costa Rica"
Ivory Coast,659233,Bouaké,2,http://www.wikidata.org/entity/Q271000,wd:Q271000,1132332,city in Côte d'Ivoire
Croatia,178102,Split,2,http://www.wikidata.org/entity/Q1663,wd:Q1663,18952408,"city in Split-Dalmatia County, Croatia"
Cuba,444851,Santiago de Cuba,2,http://www.wikidata.org/entity/Q117040,wd:Q117040,235003,"city and capital of the province of Santiago de Cuba, Cuba"
Cyprus,235056,Limassol,2,http://www.wikidata.org/entity/Q185632,wd:Q185632,57577,"city in the Limassol District, Cyprus"
Czech Republic,382405,Brno,2,http://www.wikidata.org/entity/Q14960,wd:Q14960,57575,city in the Czech Republic
Denmark,269022,Aarhus,2,http://www.wikidata.org/entity/Q25319,wd:Q25319,1038,city in Central Denmark Region
Djibouti,37939,Ali Sabieh,2,http://www.wikidata.org/entity/Q842854,wd:Q842854,3416108,city
Dominica,3633,Portsmouth,2,http://www.wikidata.org/entity/Q1014235,wd:Q1014235,5692911,town in Dominica
Dominican Republic,1343423,Santiago de los Caballeros,2,http://www.wikidata.org/entity/Q42763,wd:Q42763,1022671,city in the Dominican Republic
Ecuador,2011388,Quito,2,http://www.wikidata.org/entity/Q2900,wd:Q2900,209982,capital of Ecuador
Egypt,5598402,Giza,2,http://www.wikidata.org/entity/Q81788,wd:Q81788,144514,city in Egypt
El Salvador,378606,Usulután,2,http://www.wikidata.org/entity/Q1018092,wd:Q1018092,2162424,City in El Salvador
Equatorial Guinea,187302,Malabo,2,http://www.wikidata.org/entity/Q3818,wd:Q3818,48823,capital of Equatorial Guinea
Eritrea,146500,Keren,2,http://www.wikidata.org/entity/Q534409,wd:Q534409,2056449,city in Eritrea
Estonia,91407,Tartu,2,http://www.wikidata.org/entity/Q13972,wd:Q13972,31627,second largest city of Estonia
Eswatini,94874,Mbabane,2,http://www.wikidata.org/entity/Q3904,wd:Q3904,57049,capital of Eswatini
Ethiopia,324000,Adama,2,http://www.wikidata.org/entity/Q351427,wd:Q351427,1447425,human settlement
Fiji,52220,Lautoka,2,http://www.wikidata.org/entity/Q856662,wd:Q856662,712713,"city in Ba Province, Fiji"
Finland,297132,Espoo,2,http://www.wikidata.org/entity/Q47034,wd:Q47034,44899,city in the region of Uusimaa in Finland
France,870731,Marseille,2,http://www.wikidata.org/entity/Q23482,wd:Q23482,40888948,"commune in Bouches-du-Rhône, the second largest city of France"
Gabon,60685,Oyem,2,http://www.wikidata.org/entity/Q983886,wd:Q983886,1795584,city
Georgia,154600,Batumi,2,http://www.wikidata.org/entity/Q25475,wd:Q25475,44293,second largest city of Georgia
Germany,1852478,Hamburg,2,http://www.wikidata.org/entity/Q1055,wd:Q1055,13467,city and federal state in the North of Germany
Ghana,2291352,Accra,2,http://www.wikidata.org/entity/Q3761,wd:Q3761,56824,capital city of Ghana
Greece,315196,Thessaloniki,2,http://www.wikidata.org/entity/Q17151,wd:Q17151,40471,"city in Greece, Central Macedonia"
Grenada,2476,Grenville,2,http://www.wikidata.org/entity/Q3116519,wd:Q3116519,9159881,town in Grenada
Guatemala,618397,Villa Nueva City,2,http://www.wikidata.org/entity/Q1018584,wd:Q1018584,2393713,"City of Guatemala Department, Guatemala"
Guinea,221715,Guéckédougou,2,http://www.wikidata.org/entity/Q740687,wd:Q740687,30862937,town in southern Guinea
Guinea-Bissau,46268,Farim,2,http://www.wikidata.org/entity/Q1022984,wd:Q1022984,1549519,town in Guinea-Bissau
Guyana,29298,Linden,2,http://www.wikidata.org/entity/Q741134,wd:Q741134,2062699,city in Guyana
Haiti,511345,Carrefour,2,http://www.wikidata.org/entity/Q986207,wd:Q986207,1761434,city
Honduras,1126534,Tegucigalpa,2,http://www.wikidata.org/entity/Q3238,wd:Q3238,25994100,capital city of Honduras
Hungary,200974,Debrecen,2,http://www.wikidata.org/entity/Q79880,wd:Q79880,221746,city in Hungary
Iceland,28703,Hafnarfjörður,2,http://www.wikidata.org/entity/Q103725,wd:Q103725,442299,town in Iceland
India,15414288,Mumbai,2,http://www.wikidata.org/entity/Q1156,wd:Q1156,19189,"capital city and district in Maharashtra, India"
Indonesia,3282156,Surabaya,2,http://www.wikidata.org/entity/Q11462,wd:Q11462,212635,"city and capital of East Java, Indonesia"
Iran,3001184,Mashhad,2,http://www.wikidata.org/entity/Q121157,wd:Q121157,406512,"capital city of Razavi Khorasan Province, and second largest city in Iran"
Iraq,1694000,Mosul,2,http://www.wikidata.org/entity/Q83317,wd:Q83317,200475,city in northern Iraq and capital of Nineveh Province
Republic of Ireland,208669,Cork,2,http://www.wikidata.org/entity/Q36647,wd:Q36647,8140815,"city in Munster, Ireland"
Israel,451523,Tel Aviv,2,http://www.wikidata.org/entity/Q33935,wd:Q33935,31453,city in Israel
Italy,1366180,Milan,2,http://www.wikidata.org/entity/Q490,wd:Q490,36511,Italian city
Jamaica,170000,Portmore,2,http://www.wikidata.org/entity/Q644663,wd:Q644663,3897396,city
Japan,3757630,Yokohama,2,http://www.wikidata.org/entity/Q38283,wd:Q38283,80313,"designated city in Kanagawa prefecture, Japan"
Jordan,1911600,Irbid,2,http://www.wikidata.org/entity/Q194165,wd:Q194165,1022688,city in Jordan
Kazakhstan,1078362,Nur-Sultan,2,http://www.wikidata.org/entity/Q1520,wd:Q1520,56602,capital of Kazakhstan
Kenya,1833000,Meru,2,http://www.wikidata.org/entity/Q934149,wd:Q934149,824718,city in Kenya
Kiribati,6073,Teaoraereke,2,http://www.wikidata.org/entity/Q10378793,wd:Q10378793,64453906,small city in Kiribati
Kosovo,186986,Prizren,2,http://www.wikidata.org/entity/Q200061,wd:Q200061,283938,City in Kosovo
Kyrgyzstan,281900,Osh,2,http://www.wikidata.org/entity/Q47282,wd:Q47282,1300057,city in Kyrgyzstan
Laos,124000,Savannakhet,2,http://www.wikidata.org/entity/Q750443,wd:Q750443,1832318,city of Laos
Latvia,80627,Daugavpils,2,http://www.wikidata.org/entity/Q80021,wd:Q80021,189416,city in south-eastern Latvia
Lebanon,200000,Sidon,2,http://www.wikidata.org/entity/Q163490,wd:Q163490,28366,"capital city of South Governorate, Lebanon"
Lesotho,75115,Teyateyaneng,2,http://www.wikidata.org/entity/Q844423,wd:Q844423,3494123,city in Lesotho
Libya,631555,Benghazi,2,http://www.wikidata.org/entity/Q40816,wd:Q40816,204114,second largest city in Libya
Lithuania,288466,Kaunas,2,http://www.wikidata.org/entity/Q4115712,wd:Q4115712,171627,city and administrative center of Kaunas County in Lithuania
Luxembourg,36228,Esch-sur-Alzette,2,http://www.wikidata.org/entity/Q16010,wd:Q16010,245366,city in Luxembourg
Madagascar,257163,Antsirabe,2,http://www.wikidata.org/entity/Q583184,wd:Q583184,3547624,city
Malawi,781538,Lilongwe,2,http://www.wikidata.org/entity/Q3876,wd:Q3876,57030,capital of Malawi
Malaysia,878000,Klang,2,http://www.wikidata.org/entity/Q856003,wd:Q856003,530229,town in Selangor
Mali,213977,Sikasso,2,http://www.wikidata.org/entity/Q722827,wd:Q722827,1346056,city in Mali
Malta,16779,Qormi,2,http://www.wikidata.org/entity/Q39578,wd:Q39578,1630986,"city and local council in Southern Region, Malta"
Mauritania,118000,Nouadhibou,2,http://www.wikidata.org/entity/Q184184,wd:Q184184,426976,city in Mauritania
Mauritius,23386,"Triolet, Mauritius",2,http://www.wikidata.org/entity/Q641130,wd:Q641130,4170700,city
Mexico,1964788,Tijuana,2,http://www.wikidata.org/entity/Q124739,wd:Q124739,101739,"largest city of Baja California, Mexico"
Moldova,133807,Tiraspol,2,http://www.wikidata.org/entity/Q132572,wd:Q132572,99484,capital of Transnistria
Mongolia,134530,Mörön,2,http://www.wikidata.org/entity/Q572951,wd:Q572951,1461770,"city in Mongolia, administrative center of Khövsgöl Province"
Montenegro,19921,Ulcinj,2,http://www.wikidata.org/entity/Q189969,wd:Q189969,797647,coastal town in Montenegro
Morocco,1112072,Fez,2,http://www.wikidata.org/entity/Q80985,wd:Q80985,39760328,City in Morocco
Mozambique,1032197,Matola,2,http://www.wikidata.org/entity/Q109949,wd:Q109949,1519058,city in Mozambique
Myanmar,1225546,Mandalay,2,http://www.wikidata.org/entity/Q185518,wd:Q185518,405195,"cultural city in Mandalay Region, Myanmar"
Namibia,85000,Walvis Bay,2,http://www.wikidata.org/entity/Q220843,wd:Q220843,42895,"city and harbour in Erongo Region, Namibia"
Nepal,513200,Lalitpur,2,http://www.wikidata.org/entity/Q6647,wd:Q6647,1260344,"city in Kathmandu Valley, Nepal"
Netherlands,631155,Rotterdam,2,http://www.wikidata.org/entity/Q34370,wd:Q34370,26049,"city in South Holland, the Netherlands"
New Zealand,418500,Wellington,2,http://www.wikidata.org/entity/Q23661,wd:Q23661,33804,"capital of New Zealand; urban area of the cities of Wellington, Lower Hutt, Upper Hutt, and Porirua"
Nicaragua,139582,Masaya,2,http://www.wikidata.org/entity/Q1001914,wd:Q1001914,4749047,city in Nicaragua
Niger,267249,Maradi,2,http://www.wikidata.org/entity/Q664550,wd:Q664550,1956978,city in Niger
Nigeria,3848885,Kano,2,http://www.wikidata.org/entity/Q182984,wd:Q182984,508782,city in Nigeria
North Korea,768551,Hamhung,2,http://www.wikidata.org/entity/Q109356,wd:Q109356,920171,city in North Korea
North Macedonia,142030,Tetovo,2,http://www.wikidata.org/entity/Q157024,wd:Q157024,1053601,city in North Macedonia
Norway,257087,Bergen,2,http://www.wikidata.org/entity/Q26793,wd:Q26793,56494,"Norwegian city in Vestland, Norway"
Oman,470878,Seeb,2,http://www.wikidata.org/entity/Q948050,wd:Q948050,2000971,City in Oman
Pakistan,11126285,Lahore,2,http://www.wikidata.org/entity/Q11739,wd:Q11739,125315,"city and capital of the Punjab province, Pakistan"
State of Palestine,215452,Hebron,2,http://www.wikidata.org/entity/Q168225,wd:Q168225,38577,city in the West Bank
Panama,241817,Colón City,2,http://www.wikidata.org/entity/Q12825018,wd:Q12825018,350005,sea port on the Caribbean Sea (Atlantic) coast of Panama
Papua New Guinea,100677,Lae,2,http://www.wikidata.org/entity/Q612250,wd:Q612250,527861,city in Papua New Guinea
Paraguay,320782,Ciudad del Este,2,http://www.wikidata.org/entity/Q192235,wd:Q192235,297076,"city and departmental capital of Alto Paraná, Paraguay"
Peru,1129854,Callao,2,http://www.wikidata.org/entity/Q105037,wd:Q105037,294857,city and main seaport of Peru
Philippines,1846513,Manila,2,http://www.wikidata.org/entity/Q1461,wd:Q1461,184334,capital city of the Philippines
Poland,766739,Kraków,2,http://www.wikidata.org/entity/Q31487,wd:Q31487,16815,capital city of Lesser Poland Voivodeship in southern Poland
Portugal,302295,Vila Nova de Gaia,2,http://www.wikidata.org/entity/Q191135,wd:Q191135,743502,municipality and city in Portugal
Qatar,87970,Al Wakrah,2,http://www.wikidata.org/entity/Q310893,wd:Q310893,3623001,city of Qatar
Romania,324576,Cluj-Napoca,2,http://www.wikidata.org/entity/Q100188,wd:Q100188,97404,city and seat of Cluj County in northwestern Romania
Russia,5384342,Saint Petersburg,2,http://www.wikidata.org/entity/Q656,wd:Q656,24320051,federal city in and former capital of Russia
Rwanda,136830,Gisenyi,2,http://www.wikidata.org/entity/Q830631,wd:Q830631,1863662,city in Rwanda
São Tomé and Príncipe,6636,Trindade,2,http://www.wikidata.org/entity/Q1635802,wd:Q1635802,667383,town in São Tomé and Príncipe
Saudi Arabia,3976000,Jeddah,2,http://www.wikidata.org/entity/Q374365,wd:Q374365,277718,City in Saudi Arabia
Senegal,1146053,Dakar,2,http://www.wikidata.org/entity/Q3718,wd:Q3718,44251,capital of Senegal
Serbia,1378682,Belgrade,2,http://www.wikidata.org/entity/Q3711,wd:Q3711,55904,capital of Serbia
Sierra Leone,233684,Bo,2,http://www.wikidata.org/entity/Q844878,wd:Q844878,1561507,city of Sierra Leone
Singapore,151870,Bukit Merah,2,http://www.wikidata.org/entity/Q4986926,wd:Q4986926,1723285,"planning area and HDB town in Central Region, Singapore"
Slovakia,238593,Košice,2,http://www.wikidata.org/entity/Q25409,wd:Q25409,310708,city in Slovakia
Slovenia,96211,Maribor,2,http://www.wikidata.org/entity/Q1010,wd:Q1010,20670,city in Slovenia
Somalia,230100,Merca,2,http://www.wikidata.org/entity/Q657428,wd:Q657428,1853972,port city in the southern Lower Shebelle province of Somalia
South Africa,3740026,City of Cape Town,2,http://www.wikidata.org/entity/Q1185115,wd:Q1185115,4043753,"metropolitan municipality in Western Cape, South Africa"
South Korea,3453198,Busan,2,http://www.wikidata.org/entity/Q16520,wd:Q16520,68115,metropolitan city of South Korea
South Sudan,315351,Bor,2,http://www.wikidata.org/entity/Q893274,wd:Q893274,2277273,city in South Sudan
Spain,1636732,Barcelona,2,http://www.wikidata.org/entity/Q1492,wd:Q1492,4443,"capital of Catalonia, Spain"
Sri Lanka,161000,Kandy,2,http://www.wikidata.org/entity/Q203197,wd:Q203197,305460,"capital city in Central Province, Sri Lanka"
Sudan,2805396,Omdurman,2,http://www.wikidata.org/entity/Q180921,wd:Q180921,100414,city in Sudan
Suriname,5500,Domburg,2,http://www.wikidata.org/entity/Q650018,wd:Q650018,25936502,city in Suriname
Sweden,604829,Gothenburg,2,http://www.wikidata.org/entity/Q25287,wd:Q25287,11861,second-largest city in Sweden and capital of the Västra Götaland County
Switzerland,201818,Geneva,2,http://www.wikidata.org/entity/Q71,wd:Q71,12521,city in Switzerland and capital of its canton
Syria,1754000,Damascus,2,http://www.wikidata.org/entity/Q3766,wd:Q3766,8914,capital of Syria
Taiwan,3033885,Taichung,2,http://www.wikidata.org/entity/Q245023,wd:Q245023,296151,city in Taiwan
Tajikistan,181600,Khujand,2,http://www.wikidata.org/entity/Q373808,wd:Q373808,861325,city in Tajikistan
Tanzania,416442,Arusha,2,http://www.wikidata.org/entity/Q4301,wd:Q4301,360916,"city in Arusha Region, Tanzania"
Thailand,255671,Nonthaburi,2,http://www.wikidata.org/entity/Q768864,wd:Q768864,47777336,"city in Nonthaburi province, Thailand"
East Timor,15800,Maliana,2,http://www.wikidata.org/entity/Q1020338,wd:Q1020338,4247505,city in East Timor
Togo,113000,Sokodé,2,http://www.wikidata.org/entity/Q845097,wd:Q845097,501745,city
Trinidad and Tobago,55419,San Fernando,2,http://www.wikidata.org/entity/Q1023712,wd:Q1023712,970935,city in Trinidad and Tobago
Tunisia,142966,Bizerte,2,http://www.wikidata.org/entity/Q189546,wd:Q189546,522075,Tunisian town
Turkey,5503985,Ankara,2,http://www.wikidata.org/entity/Q3640,wd:Q3640,802,capital of Turkey
Turkmenistan,408906,Türkmenabat,2,http://www.wikidata.org/entity/Q487684,wd:Q487684,967386,City of Turkmenistan
Uganda,586300,Mbale,2,http://www.wikidata.org/entity/Q1015727,wd:Q1015727,2407258,"City in Mbale District, Eastern Region, Uganda"
Ukraine,1446107,Kharkiv,2,http://www.wikidata.org/entity/Q42308,wd:Q42308,2788558,capital city of Kharkiv Oblast in eastern Ukraine
United Arab Emirates,1483000,Abu Dhabi,2,http://www.wikidata.org/entity/Q1519,wd:Q1519,18950756,capital city of the United Arab Emirates
United Kingdom,1137100,Birmingham,2,http://www.wikidata.org/entity/Q2256,wd:Q2256,13882056,"major city in England, United Kingdom"
Uruguay,124878,Salto,2,http://www.wikidata.org/entity/Q335506,wd:Q335506,2227826,city in Uruguay
Uzbekistan,626120,Namangan,2,http://www.wikidata.org/entity/Q492552,wd:Q492552,2191424,city in Uzbekistan
Vanuatu,2998,Norsup,2,http://www.wikidata.org/entity/Q11792967,wd:Q11792967,41467941,city in Vanuatu
Venezuela,1551539,Maracaibo,2,http://www.wikidata.org/entity/Q171632,wd:Q171632,249847,city in Venezuela
Vietnam,8246600,Hanoi,2,http://www.wikidata.org/entity/Q1858,wd:Q1858,56667,capital of Vietnam
Yemen,615467,Ta'izz,2,http://www.wikidata.org/entity/Q466216,wd:Q466216,545270,city in the Yemeni Highlands
Zambia,528330,Ndola,2,http://www.wikidata.org/entity/Q219671,wd:Q219671,1199212,City in Zambia
Zimbabwe,653337,Bulawayo,2,http://www.wikidata.org/entity/Q193250,wd:Q193250,355237,City in Zimbabwe
