,country,number,item,item_id,shortform,pageid,wikidata_description
1249,Haiti,29.0,Alexandre Pétion,http://www.wikidata.org/entity/Q353464,wd:Q353464,215488,1st President of the Republic of Haiti (1770-1818)
1250,Haiti,26.0,Jean-Pierre Boyer,http://www.wikidata.org/entity/Q449421,wd:Q449421,156475,2nd President of Haiti (1776-1850)
1251,Haiti,25.0,Thomas-Alexandre Dumas,http://www.wikidata.org/entity/Q572684,wd:Q572684,6448661,French general
1252,Haiti,22.0,Jean Baptiste Point du Sable,http://www.wikidata.org/entity/Q492555,wd:Q492555,40415,early founder of Chicago
1253,Haiti,21.0,Silvio Cator,http://www.wikidata.org/entity/Q301677,wd:Q301677,7334883,Haitian track and field competitor (1900-1952)
1254,Haiti,21.0,Faustin Soulouque,http://www.wikidata.org/entity/Q560853,wd:Q560853,404880,President and emperor of Haiti (1782-1867)
1255,Haiti,20.0,"Vincent-Marie Viénot, Count of Vaublanc",http://www.wikidata.org/entity/Q360481,wd:Q360481,8870598,French count (1756-1845)
1256,Haiti,19.0,Joe Gaetjens,http://www.wikidata.org/entity/Q711269,wd:Q711269,1124847,American soccer player (1924-1964)
1257,Haiti,19.0,Dumarsais Estimé,http://www.wikidata.org/entity/Q738355,wd:Q738355,780230,President of Haiti (1900-1953)
1258,Haiti,17.0,Pierre Nord Alexis,http://www.wikidata.org/entity/Q886447,wd:Q886447,620929,President of Haiti (1820-1910)
1259,Haiti,16.0,Jacques Roumain,http://www.wikidata.org/entity/Q1356852,wd:Q1356852,1467722,Haitian politician and poet (1907-1944)
1260,Haiti,16.0,Jeanne Duval,http://www.wikidata.org/entity/Q1982279,wd:Q1982279,2301906,French actress
1261,Haiti,16.0,Stenio Vincent,http://www.wikidata.org/entity/Q886213,wd:Q886213,616571,Sténio Vincent was a President of Haiti. (1874-1959)
1262,Honduras,21.0,Tiburcio Carías,http://www.wikidata.org/entity/Q562044,wd:Q562044,1627384,President of Honduras (1876-1969)
1263,Honduras,20.0,Ramón Villeda Morales,http://www.wikidata.org/entity/Q783111,wd:Q783111,202775,President of Honduras (1909-1971)
