country,number,item,item_id,shortform,pageid,wikidata_description
Mauritius,18,Charles-Édouard Brown-Séquard,http://www.wikidata.org/entity/Q725855,wd:Q725855,1311821,Mauritian physiologist and neurologist
Mexico,62,Mario Molina,http://www.wikidata.org/entity/Q19045,wd:Q19045,500353,Mexican chemist
Moldova,33,Lev Berg,http://www.wikidata.org/entity/Q44704,wd:Q44704,3242959,"Russian and Soviet geographer, biologist and ichthyologist (1876–1950)"
Monaco,16,Frédérique Vidal,http://www.wikidata.org/entity/Q28950190,wd:Q28950190,53504436,French biochemist and politician
Mongolia,15,Rinchen Barsbold,http://www.wikidata.org/entity/Q170380,wd:Q170380,7029438,Mongolian paleontologist and geologist
Montenegro,7,Sanja Damjanović,http://www.wikidata.org/entity/Q28726950,wd:Q28726950,53144643,Montenegrin physicist
Morocco,60,Serge Haroche,http://www.wikidata.org/entity/Q109588,wd:Q109588,14661857,"French physicist, Nobel laureate"
Mozambique,6,Lidia Brito,http://www.wikidata.org/entity/Q6543659,wd:Q6543659,29661863,Mozambiquan forestry expert and engineer
Myanmar,15,Irawati Karve,http://www.wikidata.org/entity/Q3595180,wd:Q3595180,1608949,"Indian sociologist, anthropologist, educationist, and writer (1905-1970)"
Namibia,4,Johan Wilhelm Heinrich Giess,http://www.wikidata.org/entity/Q6215475,wd:Q6215475,20113082,German-Namibian botanist (1910-2000)
Nepal,7,Yuba Raj Khatiwada,http://www.wikidata.org/entity/Q9383574,wd:Q9383574,46951271,Nepalese economist
Netherlands,108,Christiaan Huygens,http://www.wikidata.org/entity/Q39599,wd:Q39599,42127,Dutch mathematician and physicist (1629–1695)
New Zealand,156,Ernest Rutherford,http://www.wikidata.org/entity/Q9123,wd:Q9123,9603,New Zealand-born British physicist (1871-1937)
Nicaragua,8,Clodomiro Picado,http://www.wikidata.org/entity/Q3247151,wd:Q3247151,16049557,Costa Rican scientist (1887-1944)
Niger,5,Takoubakoye Aminata Boureima,http://www.wikidata.org/entity/Q3514361,wd:Q3514361,55835448,Nigerian economist
Nigeria,16,Omowunmi Sadik,http://www.wikidata.org/entity/Q22088836,wd:Q22088836,48543805,"Nigerian professor, chemist, and inventor"
North Korea,10,Ri Sung Gi,http://www.wikidata.org/entity/Q495505,wd:Q495505,7217705,North Korean chemist.
North Macedonia,14,Blaga Aleksova,http://www.wikidata.org/entity/Q12905236,wd:Q12905236,64574560,Macedonian archaeologist
Norway,164,Roald Amundsen,http://www.wikidata.org/entity/Q926,wd:Q926,26199,Norwegian explorer; first person to reach the South Pole
Oman,2,Salma Al Kindi,http://www.wikidata.org/entity/Q53865520,wd:Q53865520,57443136,chemist and professor from Oman
Pakistan,84,Subrahmanyan Chandrasekhar,http://www.wikidata.org/entity/Q148109,wd:Q148109,145319,Indian-American astrophysicist
Panama,6,Reina Torres de Araúz,http://www.wikidata.org/entity/Q6104612,wd:Q6104612,51316024,Panamanian anthropologist (1932-1982)
Papua New Guinea,5,Justin Wolfers,http://www.wikidata.org/entity/Q1714242,wd:Q1714242,17699648,Australian and American economist and public policy scholar
Paraguay,13,Moisés Santiago Bertoni,http://www.wikidata.org/entity/Q2721602,wd:Q2721602,17175547,Paraguayan politician and Swiss botanist (1857-1929)
