0,1,2,3,4,5
China,"22,147","13,762",16,14,"Afghanistan: 76ﾂkm (47ﾂmi)ﾂBhutan: 470ﾂkm (290ﾂmi)ﾂHong Kong (SAR of China):[18] 30ﾂkm (19ﾂmi)ﾂIndia (3): 3,380ﾂkm (2,100ﾂmi)ﾂKazakhstan: 1,533ﾂkm (953ﾂmi)ﾂNorth Korea: 1,416ﾂkm (880ﾂmi)ﾂKyrgyzstan: 858ﾂkm (533ﾂmi)ﾂLaos: 423ﾂkm (263ﾂmi)ﾂMacau (SAR of China):[19] 0.34ﾂkm (0.21ﾂmi)ﾂMongolia: 4,677ﾂkm (2,906ﾂmi)ﾂMyanmar: 2,185ﾂkm (1,358ﾂmi)ﾂﾂﾂNepal: 1,236ﾂkm (768ﾂmi)
ﾂPakistan: 523ﾂkm (325ﾂmi)
ﾂRussia (2): 3,645ﾂkm (2,265ﾂmi)ﾂTajikistan: 414ﾂkm (257ﾂmi)ﾂVietnam: 1,281ﾂkm (796ﾂmi)"
Colombia,"6,004","3,731",5,5,"Brazil: 1,643ﾂkm (1,021ﾂmi)ﾂEcuador: 590ﾂkm (370ﾂmi)ﾂPanama: 225ﾂkm (140ﾂmi)ﾂPeru: 1,496ﾂkm (930ﾂmi) ﾂVenezuela: 2,050ﾂkm (1,270ﾂmi)"
Comoros,0,0,0,0,
Democratic Republic of the Congo,"10,730","6,670",10,9,"Angola (2): 2,511ﾂkm (1,560ﾂmi)[6]ﾂBurundi: 233ﾂkm (145ﾂmi)ﾂCentral African Republic: 1,577ﾂkm (980ﾂmi)ﾂRepublic of the Congo: 2,410ﾂkm (1,500ﾂmi)ﾂRwanda: 217ﾂkm (135ﾂmi)ﾂSouth Sudan: 628ﾂkm (390ﾂmi)ﾂTanzania: 459ﾂkm (285ﾂmi)ﾂUganda: 765ﾂkm (475ﾂmi)ﾂZambia: 1,930ﾂkm (1,200ﾂmi)"
Republic of the Congo,"5,504","3,420",5,5,"Angola: 201ﾂkm (125ﾂmi)ﾂCameroon: 523ﾂkm (325ﾂmi)ﾂCentral African Republic: 467ﾂkm (290ﾂmi)ﾂDemocratic Republic of the Congo: 2,410ﾂkm (1,500ﾂmi)ﾂGabon: 1,903ﾂkm (1,182ﾂmi)"
Costa Rica,639,397,2,2,Nicaragua: 309ﾂkm (192ﾂmi)ﾂPanama: 330ﾂkm (210ﾂmi)
Cﾃｴte d'Ivoire,"3,110","1,930",5,5,Burkina Faso: 584ﾂkm (363ﾂmi)ﾂGhana: 668ﾂkm (415ﾂmi)ﾂGuinea: 610ﾂkm (380ﾂmi)ﾂLiberia: 716ﾂkm (445ﾂmi)ﾂMali: 532ﾂkm (331ﾂmi)
Croatia,"2,197","1,365",6,5,Bosnia and Herzegovina (2): 932ﾂkm (579ﾂmi)ﾂHungary: 329ﾂkm (204ﾂmi)ﾂMontenegro: 25ﾂkm (16ﾂmi)ﾂSerbia: 241ﾂkm (150ﾂmi)ﾂSlovenia: 670ﾂkm (420ﾂmi)
Cuba,0,0[20],0[20],0[20],
Cyprus,152,94,6[21],1,Akrotiri and Dhekelia[22] (United Kingdom) (5):[21] 152ﾂkm (94ﾂmi)
Czech Republic,"1,881","1,169",4,4,Austria: 362ﾂkm (225ﾂmi)ﾂGermany: 815ﾂkm (506ﾂmi)[23]ﾂPoland: 658ﾂkm (409ﾂmi)ﾂSlovakia: 215ﾂkm (134ﾂmi)
Denmark,68,42,1,1,Germany: 68ﾂkm (42ﾂmi)
Djibouti,528,328,3,3,Eritrea: 125ﾂkm (78ﾂmi)ﾂEthiopia: 342ﾂkm (213ﾂmi)ﾂSomaliland: 61ﾂkm (38ﾂmi)
Dominica,0,0,0,0,
Dominica,360,220,1,1,Haiti: 360ﾂkm (220ﾂmi)
East Timor,228,142,2,1,Indonesia (2): 228ﾂkm (142ﾂmi)
Ecuador,"2,010","1,250",2,2,"Colombia: 590ﾂkm (370ﾂmi)ﾂPeru: 1,420ﾂkm (880ﾂmi)"
Egypt,"2,665","1,656",4,4,"Gaza Strip (state of Palestine):[24] 11ﾂkm (6.8ﾂmi)ﾂIsrael: 266ﾂkm (165ﾂmi)ﾂLibya: 1,115ﾂkm (693ﾂmi)ﾂSudan: 1,273ﾂkm (791ﾂmi)"
El Salvador,545,339,2,2,Guatemala: 203ﾂkm (126ﾂmi)ﾂHonduras: 342ﾂkm (213ﾂmi)
Guinea,539,335,2,2,Cameroon: 189ﾂkm (117ﾂmi)ﾂGabon: 350ﾂkm (220ﾂmi)
Eritrea,"1,626","1,010",3,3,Djibouti: 125ﾂkm (78ﾂmi)ﾂEthiopia: 912ﾂkm (567ﾂmi)ﾂSudan: 605ﾂkm (376ﾂmi)
Estonia,633,393,2,2,Latvia: 339ﾂkm (211ﾂmi)ﾂRussia: 294ﾂkm (183ﾂmi)
Eswatini,535,332,2,2,Mozambique: 105ﾂkm (65ﾂmi)ﾂSouth Africa: 430ﾂkm (270ﾂmi)
Ethiopia,"5,328","3,311",6,6,"Djibouti: 342ﾂkm (213ﾂmi)ﾂEritrea: 912ﾂkm (567ﾂmi)ﾂKenya: 861ﾂkm (535ﾂmi)ﾂSomalia: 1,600ﾂkm (990ﾂmi)ﾂSouth Sudan: 883ﾂkm (549ﾂmi)ﾂSudan: 723ﾂkm (449ﾂmi)"
Fiji,0,0,0,0,
Finland,"2,690","1,670",4,3,"Norway: 736ﾂkm (457ﾂmi)ﾂSweden (2): 614ﾂkm (382ﾂmi)ﾂRussia: 1,340ﾂkm (830ﾂmi)"
France,"2,889","1,795",10,8,Andorra: 56.6ﾂkm (35.2ﾂmi)ﾂBelgium: 620ﾂkm (390ﾂmi)ﾂGermany: 451ﾂkm (280ﾂmi)ﾂItaly: 488ﾂkm (303ﾂmi)ﾂLuxembourg: 73ﾂkm (45ﾂmi)ﾂMonaco: 4.4ﾂkm (2.7ﾂmi)ﾂSpain (3):[25] 623ﾂkm (387ﾂmi)ﾂﾂSwitzerland: 573ﾂkm (356ﾂmi)
France,"4,082","2,536",13,11,Andorra: 56.6ﾂkm (35.2ﾂmi)ﾂBelgium: 620ﾂkm (390ﾂmi)ﾂBrazil:[27] 673ﾂkm (418ﾂmi)ﾂGermany: 451ﾂkm (280ﾂmi)ﾂItaly: 488ﾂkm (303ﾂmi)ﾂLuxembourg: 73ﾂkm (45ﾂmi)ﾂMonaco: 4.4ﾂkm (2.7ﾂmi)ﾂSint Maarten[28][29] (Netherlands): 10.2ﾂkm (6.3ﾂmi)ﾂSpain (3):[25] 623ﾂkm (387ﾂmi)ﾂSuriname:[27] 510ﾂkm (320ﾂmi)ﾂﾂSwitzerland: 573ﾂkm (356ﾂmi)
Gabon,"2,551","1,585",3,3,"Cameroon: 298ﾂkm (185ﾂmi)ﾂRepublic of the Congo: 1,903ﾂkm (1,182ﾂmi)ﾂEquatorial Guinea: 350ﾂkm (220ﾂmi)"
Gambia,740,460,1,1,Senegal: 740ﾂkm (460ﾂmi)
