,country,number,item,item_id,shortform,pageid,wikidata_description
148,Australia,54,Dannii Minogue,http://www.wikidata.org/entity/Q188461,wd:Q188461,44929,Australian singer and actress
149,Australia,53,Flea,http://www.wikidata.org/entity/Q202859,wd:Q202859,22439395,American musician
150,Australia,49,Sophie Monk,http://www.wikidata.org/entity/Q189132,wd:Q189132,848349,Australian actor and singer
151,Australia,46,Joan Sutherland,http://www.wikidata.org/entity/Q207269,wd:Q207269,377152,Australian soprano
152,Australia,46,Emily Browning,http://www.wikidata.org/entity/Q288620,wd:Q288620,20647537,"Australian actress, model, singer"
153,Australia,46,Bon Scott,http://www.wikidata.org/entity/Q204162,wd:Q204162,445390,Australian-British musician (1946-1980)
154,Australia,45,Johnny Logan,http://www.wikidata.org/entity/Q298559,wd:Q298559,231718,Irish singer-songwriter
155,Republic of Ireland,45,Johnny Logan,http://www.wikidata.org/entity/Q298559,wd:Q298559,231718,Irish singer-songwriter
156,Australia,45,Toni Collette,http://www.wikidata.org/entity/Q229291,wd:Q229291,363250,Australian actress and musician
157,Australia,44,Troye Sivan,http://www.wikidata.org/entity/Q1362028,wd:Q1362028,17209001,"Australian singer-songwriter, actor and YouTuber"
158,South Africa,44,Troye Sivan,http://www.wikidata.org/entity/Q1362028,wd:Q1362028,17209001,"Australian singer-songwriter, actor and YouTuber"
159,Australia,41,Johann Nestroy,http://www.wikidata.org/entity/Q44862,wd:Q44862,1401924,"Austrian dramatic, actor and singer"
160,Austria,41,Johann Nestroy,http://www.wikidata.org/entity/Q44862,wd:Q44862,1401924,"Austrian dramatic, actor and singer"
161,Australia,40,Gotye,http://www.wikidata.org/entity/Q489643,wd:Q489643,5609464,musician and singer-songwriter
162,Belgium,40,Gotye,http://www.wikidata.org/entity/Q489643,wd:Q489643,5609464,musician and singer-songwriter
163,Austria,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,wd:Q78516,2293506,Russian-born Austrian operatic soprano
164,Russia,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,wd:Q78516,2293506,Russian-born Austrian operatic soprano
165,Austria,79,Conchita Wurst,http://www.wikidata.org/entity/Q113581,wd:Q113581,36534961,Austrian singer and drag queen
166,Austria,58,Walther von der Vogelweide,http://www.wikidata.org/entity/Q44385,wd:Q44385,209350,Middle High German lyric poet
167,Austria,51,Udo Jürgens,http://www.wikidata.org/entity/Q155236,wd:Q155236,187259,Austrian composer and singer
168,Switzerland,51,Udo Jürgens,http://www.wikidata.org/entity/Q155236,wd:Q155236,187259,Austrian composer and singer
169,Austria,49,Falco,http://www.wikidata.org/entity/Q44398,wd:Q44398,210836,Austrian musician
170,Austria,43,Hans Krankl,http://www.wikidata.org/entity/Q131529,wd:Q131529,1033625,Austrian footballer
171,Austria,42,Elisabeth Schwarzkopf,http://www.wikidata.org/entity/Q57288,wd:Q57288,379142,German opera soprano
172,Poland,42,Elisabeth Schwarzkopf,http://www.wikidata.org/entity/Q57288,wd:Q57288,379142,German opera soprano
173,Austria,37,Toni Polster,http://www.wikidata.org/entity/Q311520,wd:Q311520,1518363,Austrian footballer
174,Austria,36,Lotte Lenya,http://www.wikidata.org/entity/Q93604,wd:Q93604,319820,Austrian singer and actress (1898-1981)
175,Austria,35,Toni Sailer,http://www.wikidata.org/entity/Q310471,wd:Q310471,206426,Austrian alpine skier and actor (1935-2009)
176,Austria,34,Aida Garifullina,http://www.wikidata.org/entity/Q13203005,wd:Q13203005,42488955,Russian opera singer
177,Austria,33,Natália Kelly,http://www.wikidata.org/entity/Q4704348,wd:Q4704348,38537324,Austrian singer
178,Austria,33,Christina Stürmer,http://www.wikidata.org/entity/Q78518,wd:Q78518,3002355,Austrian singer
179,Austria,33,Marika Rökk,http://www.wikidata.org/entity/Q48502,wd:Q48502,668556,"Hungarian-born actress, singer, dancer (1913-2004)"
180,Egypt,33,Marika Rökk,http://www.wikidata.org/entity/Q48502,wd:Q48502,668556,"Hungarian-born actress, singer, dancer (1913-2004)"
181,Austria,32,Vincent Bueno,http://www.wikidata.org/entity/Q700468,wd:Q700468,15176316,Austrian-Filipino singer
182,Philippines,32,Vincent Bueno,http://www.wikidata.org/entity/Q700468,wd:Q700468,15176316,Austrian-Filipino singer
183,Austria,31,Constanze Mozart,http://www.wikidata.org/entity/Q84464,wd:Q84464,3326242,German singer
184,Austria,31,Zoe,http://www.wikidata.org/entity/Q19936869,wd:Q19936869,49353589,Austrian actor and singer
185,Austria,30,Freddy Quinn,http://www.wikidata.org/entity/Q466120,wd:Q466120,5355570,Austrian singer-actor
186,Croatia,30,Freddy Quinn,http://www.wikidata.org/entity/Q466120,wd:Q466120,5355570,Austrian singer-actor
187,Austria,30,Nathan Trent,http://www.wikidata.org/entity/Q28034884,wd:Q28034884,52634585,Austrian singer
188,Azerbaijan,42,Muslim Magomayev,http://www.wikidata.org/entity/Q558799,wd:Q558799,469640,Soviet-Azerbajiani singer
189,Azerbaijan,40,Aygün Kazimova,http://www.wikidata.org/entity/Q2361757,wd:Q2361757,5527409,Azerbaijani singer and actress
190,Azerbaijan,39,Safura Alizadeh,http://www.wikidata.org/entity/Q228593,wd:Q228593,26403197,singer and saxophonist from Azerbaijan
191,Azerbaijan,38,Eldar Qasımov,http://www.wikidata.org/entity/Q12010,wd:Q12010,30832789,Azerbaijani singer
192,Azerbaijan,38,Sabina Babayeva,http://www.wikidata.org/entity/Q375662,wd:Q375662,34709981,singer from Azerbaijan
193,Azerbaijan,38,Aysel Teymurzadeh,http://www.wikidata.org/entity/Q236078,wd:Q236078,21132052,Azerbaijani singer
194,Azerbaijan,36,Farid Mammadov,http://www.wikidata.org/entity/Q7270304,wd:Q7270304,38814309,Azerbaijani singer
195,Azerbaijan,36,Nigar Jamal,http://www.wikidata.org/entity/Q12012,wd:Q12012,30832774,Azerbaijani singer
196,Azerbaijan,35,Samira Efendi,http://www.wikidata.org/entity/Q31294219,wd:Q31294219,63233441,Azerbaijani singer
197,Azerbaijan,33,Chingiz Mustafayev,http://www.wikidata.org/entity/Q31310079,wd:Q31310079,60173516,Azerbaijani singer-songwriter
198,Azerbaijan,32,Elnur Hüseynov,http://www.wikidata.org/entity/Q336062,wd:Q336062,15557526,Azerbaijani singer
