country,number,Column1,item,item_id,shortform,pageid,wikidata_description
Ivory Coast,53,3,Bouaké,http://www.wikidata.org/entity/Q271000,wd:Q271000,1132332,city in Côte d'Ivoire
Croatia,107,3,Split,http://www.wikidata.org/entity/Q1663,wd:Q1663,18952408,"city in Split-Dalmatia County, Croatia"
Cuba,70,3,Camagüey,http://www.wikidata.org/entity/Q115329,wd:Q115329,1376631,city in Cuba
Cyprus,84,3,Paphos,http://www.wikidata.org/entity/Q180918,wd:Q180918,597877,town in Cyprus
Czech Republic,113,3,Plzeň,http://www.wikidata.org/entity/Q43453,wd:Q43453,37760,Czech city
Denmark,108,3,Odense,http://www.wikidata.org/entity/Q25331,wd:Q25331,22512,"main city of the island of Funen, Denmark"
Djibouti,40,3,Obock,http://www.wikidata.org/entity/Q860179,wd:Q860179,203894,city
Dominican Republic,33,3,San Pedro de Macorís,http://www.wikidata.org/entity/Q680596,wd:Q680596,30863125,city in the Dominican Republic
Ecuador,68,3,Cuenca,http://www.wikidata.org/entity/Q54886,wd:Q54886,577481,"city in Ecuador, capital of the Azuay Province"
Egypt,103,3,Giza,http://www.wikidata.org/entity/Q81788,wd:Q81788,144514,city in Egypt
El Salvador,44,3,San Miguel,http://www.wikidata.org/entity/Q672458,wd:Q672458,2059717,city and municipality in El Salvador
Equatorial Guinea,35,3,Luba,http://www.wikidata.org/entity/Q985548,wd:Q985548,1692350,city in Equatorial Guinea
Eritrea,47,3,Keren,http://www.wikidata.org/entity/Q534409,wd:Q534409,2056449,city in Eritrea
Estonia,99,3,Pärnu,http://www.wikidata.org/entity/Q102365,wd:Q102365,274285,city in Estonia
Eswatini,48,3,Manzini,http://www.wikidata.org/entity/Q495730,wd:Q495730,3341887,city in Eswatini
Ethiopia,69,3,Harar Jugol,http://www.wikidata.org/entity/Q190184,wd:Q190184,521726,city in the east of Ethiopia
Finland,127,3,Turku,http://www.wikidata.org/entity/Q38511,wd:Q38511,48672,"city in the region of Finland Proper, Finland"
France,181,3,Roubaix,http://www.wikidata.org/entity/Q34001,wd:Q34001,291680,"commune in Nord, France"
Gabon,47,3,Franceville,http://www.wikidata.org/entity/Q459369,wd:Q459369,1795594,"city in Gabon, West Africa"
Georgia,110,3,Batumi,http://www.wikidata.org/entity/Q25475,wd:Q25475,44293,second largest city of Georgia
Ghana,50,3,Tamale,http://www.wikidata.org/entity/Q217040,wd:Q217040,615410,"city in Northern Region, Ghana"
Greece,97,3,Sparta,http://www.wikidata.org/entity/Q5690,wd:Q5690,36487,city-state in ancient Greece
Grenada,20,3,Gouyave,http://www.wikidata.org/entity/Q375507,wd:Q375507,9095438,city
Guatemala,58,3,Quetzaltenango,http://www.wikidata.org/entity/Q334577,wd:Q334577,154547,"capital of Quetzaltenango Departmentsi, Guatemala"
Guinea,28,3,Guéckédougou,http://www.wikidata.org/entity/Q740687,wd:Q740687,30862937,town in southern Guinea
Guinea-Bissau,28,3,Cacheu,http://www.wikidata.org/entity/Q1002807,wd:Q1002807,1537683,city
Guyana,26,3,New Amsterdam,http://www.wikidata.org/entity/Q923811,wd:Q923811,1086542,city in Guyana
Haiti,37,3,Gonaïves,http://www.wikidata.org/entity/Q852550,wd:Q852550,470814,city
Honduras,45,3,La Ceiba,http://www.wikidata.org/entity/Q916536,wd:Q916536,948172,port city on the northern coast of Honduras in Central America
Hungary,104,3,Szeged,http://www.wikidata.org/entity/Q81581,wd:Q81581,397272,the third largest city of Hungary
Iceland,80,3,Hafnarfjörður,http://www.wikidata.org/entity/Q103725,wd:Q103725,442299,town in Iceland
India,185,3,Delhi,http://www.wikidata.org/entity/Q1353,wd:Q1353,37756,Indian metropolis and union territory that includes New Delhi
Indonesia,98,3,Bandung,http://www.wikidata.org/entity/Q10389,wd:Q10389,353661,"city and capital of West Java, Indonesia"
Iran,118,3,Tabriz,http://www.wikidata.org/entity/Q80053,wd:Q80053,439791,"city in East Azerbaijan Province, Iran"
Iraq,98,3,Basra,http://www.wikidata.org/entity/Q48195,wd:Q48195,57580,"capital of Basra Governorate, in southern Iraq"
Republic of Ireland,90,3,Galway,http://www.wikidata.org/entity/Q129610,wd:Q129610,92639,city in Ireland
Israel,123,3,Haifa,http://www.wikidata.org/entity/Q41621,wd:Q41621,55606,third-largest city in Israel
Italy,205,3,Milan,http://www.wikidata.org/entity/Q490,wd:Q490,36511,Italian city
Jamaica,40,3,Spanish Town,http://www.wikidata.org/entity/Q846939,wd:Q846939,504969,town and city in Jamaica
Japan,174,3,Osaka,http://www.wikidata.org/entity/Q35765,wd:Q35765,52230,"designated city in Kansai, Japan"
Jordan,76,3,Aqaba,http://www.wikidata.org/entity/Q180522,wd:Q180522,328399,Jordanian coastal city
Kazakhstan,94,3,Karaganda,http://www.wikidata.org/entity/Q484706,wd:Q484706,267899,city in Kazakhstan
Kenya,61,3,Kisumu,http://www.wikidata.org/entity/Q214485,wd:Q214485,512541,city in Kenya
Kosovo,57,3,Mitrovica,http://www.wikidata.org/entity/Q178168,wd:Q178168,283905,City in Kosovo
Kyrgyzstan,67,3,Karakol,http://www.wikidata.org/entity/Q194452,wd:Q194452,224560,city in Kyrgyzstan
Laos,52,3,Pakse,http://www.wikidata.org/entity/Q383622,wd:Q383622,204360,city in Laos
Latvia,85,3,Jūrmala,http://www.wikidata.org/entity/Q178382,wd:Q178382,168934,city in Latvia
Lebanon,86,3,Tripoli,http://www.wikidata.org/entity/Q168954,wd:Q168954,268796,city in northern Lebanon
Lesotho,29,3,Mafeteng,http://www.wikidata.org/entity/Q1013379,wd:Q1013379,450791,city
Liberia,18,3,Kakata,http://www.wikidata.org/entity/Q426891,wd:Q426891,3529520,city
Libya,90,3,Al Bayda,http://www.wikidata.org/entity/Q35784,wd:Q35784,2120234,city in Libya
Lithuania,122,3,Klaipėda,http://www.wikidata.org/entity/Q776965,wd:Q776965,159649,port city in Lithuania
Luxembourg,57,3,Echternach,http://www.wikidata.org/entity/Q204317,wd:Q204317,649750,city and commune in Luxembourg
Madagascar,46,3,Antsirabe,http://www.wikidata.org/entity/Q583184,wd:Q583184,3547624,city
Malawi,47,3,Zomba,http://www.wikidata.org/entity/Q219117,wd:Q219117,481174,city in the southern parts of Malawi
Malaysia,74,3,Johor Bahru,http://www.wikidata.org/entity/Q231318,wd:Q231318,368790,"city and state capital of Johor, Malaysia"
Mali,51,3,Ségou,http://www.wikidata.org/entity/Q333476,wd:Q333476,1346008,city in Mali
Malta,45,3,Qormi,http://www.wikidata.org/entity/Q39578,wd:Q39578,1630986,"city and local council in Southern Region, Malta"
Mauritania,41,3,Atar,http://www.wikidata.org/entity/Q735645,wd:Q735645,1273367,city in Mauritania
Mauritius,19,3,"Souillac, Mauritius",http://www.wikidata.org/entity/Q2215428,wd:Q2215428,5444486,town in Mauritius
Mexico,108,3,Monterrey,http://www.wikidata.org/entity/Q81033,wd:Q81033,40455,capital of the Mexican state of Nuevo Leon
Moldova,92,3,Bălți,http://www.wikidata.org/entity/Q37801,wd:Q37801,530436,city in Moldova
Mongolia,56,3,Karakorum,http://www.wikidata.org/entity/Q62677,wd:Q62677,3719005,"first capital of the Mongol empire, established in 1220"
Montenegro,76,3,Kotor,http://www.wikidata.org/entity/Q171080,wd:Q171080,277565,town in Montenegro
Morocco,122,3,Marrakesh,http://www.wikidata.org/entity/Q101625,wd:Q101625,20513,city in Morocco
Mozambique,53,3,Island of Mozambique,http://www.wikidata.org/entity/Q331099,wd:Q331099,2214831,small island off to mainland Mozambique
Myanmar,89,3,Mandalay,http://www.wikidata.org/entity/Q185518,wd:Q185518,405195,"cultural city in Mandalay Region, Myanmar"
Namibia,56,3,Swakopmund,http://www.wikidata.org/entity/Q59698,wd:Q59698,949841,city in Namibia
Nepal,56,3,Lalitpur,http://www.wikidata.org/entity/Q6647,wd:Q6647,1260344,"city in Kathmandu Valley, Nepal"
Netherlands,120,3,Maastricht,http://www.wikidata.org/entity/Q1309,wd:Q1309,20125,municipality in the Netherlands
New Zealand,120,3,Christchurch,http://www.wikidata.org/entity/Q79990,wd:Q79990,628782,largest city in the South Island of New Zealand
Nicaragua,53,3,Granada,http://www.wikidata.org/entity/Q205648,wd:Q205648,272915,city in Nicaragua
Niger,45,3,Maradi,http://www.wikidata.org/entity/Q664550,wd:Q664550,1956978,city in Niger
Nigeria,76,3,Kano,http://www.wikidata.org/entity/Q182984,wd:Q182984,508782,city in Nigeria
North Korea,60,3,Wonsan,http://www.wikidata.org/entity/Q109374,wd:Q109374,527626,"port city and naval base located in Kangwŏn Province, North Korea"
North Macedonia,79,3,Bitola,http://www.wikidata.org/entity/Q157246,wd:Q157246,3789,city in North Macedonia
Norway,113,3,Trondheim,http://www.wikidata.org/entity/Q25804,wd:Q25804,37472,"city in Trøndelag, Norway"
Oman,38,3,MUSQUT,http://www.wikidata.org/entity/Q1915327,wd:Q1915327,1771549,"city in Ad Dakhiliyah Region, Oman"
Pakistan,131,3,Lahore,http://www.wikidata.org/entity/Q11739,wd:Q11739,125315,"city and capital of the Punjab province, Pakistan"
State of Palestine,95,3,Gaza City,http://www.wikidata.org/entity/Q47492,wd:Q47492,55387,city in the Palestinian Authority
Panama,35,3,David,http://www.wikidata.org/entity/Q279009,wd:Q279009,670599,"capital of the province of Chiriquí, Panama"
Papua New Guinea,46,3,Rabaul,http://www.wikidata.org/entity/Q218768,wd:Q218768,307637,"township in East New Britain, Papua New Guinea"
Paraguay,49,3,Encarnación,http://www.wikidata.org/entity/Q47138,wd:Q47138,2227076,"city and department capital of Itapua, Paraguay"
Peru,110,3,Cuzco,http://www.wikidata.org/entity/Q5582862,wd:Q5582862,72735,"historic city of Peru, capital of Cuzco region"
Philippines,80,3,Tacloban,http://www.wikidata.org/entity/Q40626,wd:Q40626,746499,city of the Philippines and capital of the province of Leyte
Poland,175,3,Kraków,http://www.wikidata.org/entity/Q31487,wd:Q31487,16815,capital city of Lesser Poland Voivodeship in southern Poland
Portugal,103,3,Funchal,http://www.wikidata.org/entity/Q25444,wd:Q25444,185219,"municipality and city in Madeira Island, Portugal"
Qatar,36,3,Zubarah,http://www.wikidata.org/entity/Q2727469,wd:Q2727469,2494439,ruined and deserted town in Qatar
Romania,107,3,Timișoara,http://www.wikidata.org/entity/Q83404,wd:Q83404,60817,"city in Timiș County, Romania"
Russia,151,3,Kazan,http://www.wikidata.org/entity/Q900,wd:Q900,202295,"city in the Republic of Tatarstan, Russia"
Rwanda,37,3,Gisenyi,http://www.wikidata.org/entity/Q830631,wd:Q830631,1863662,city in Rwanda
Saint Vincent and the Grenadines,5,3,Arnos Vale,http://www.wikidata.org/entity/Q4795376,wd:Q4795376,15209777,town in Saint Vincent and the Grenadines
Saudi Arabia,146,3,Medina,http://www.wikidata.org/entity/Q35484,wd:Q35484,36636,Saudi Arabian city
Senegal,44,3,Ziguinchor,http://www.wikidata.org/entity/Q202776,wd:Q202776,47255327,city and regional capital in Senegal
Serbia,94,3,Niš,http://www.wikidata.org/entity/Q129259,wd:Q129259,249039,city in southern Serbia
Sierra Leone,34,3,Bo,http://www.wikidata.org/entity/Q844878,wd:Q844878,1561507,city of Sierra Leone
Slovakia,82,3,Žilina,http://www.wikidata.org/entity/Q25797,wd:Q25797,311613,capital of the Žilina region in north-western Slovakia
Slovenia,80,3,Koper,http://www.wikidata.org/entity/Q1015,wd:Q1015,503979,city in southwest Slovenia
Somalia,42,3,Garoowe,http://www.wikidata.org/entity/Q822679,wd:Q822679,1010655,capital of the Puntland region in northeastern Somalia
South Africa,166,3,Johannesburg,http://www.wikidata.org/entity/Q34647,wd:Q34647,58893,city in South Africa
South Korea,103,3,Incheon,http://www.wikidata.org/entity/Q20934,wd:Q20934,68074,city in South Korea
South Sudan,41,3,Wau,http://www.wikidata.org/entity/Q276534,wd:Q276534,3888859,city in northwestern South Sudan
Spain,162,3,Seville,http://www.wikidata.org/entity/Q8717,wd:Q8717,37770,capital of the province of Seville and the autonomous community of Andalusia in Spain
Sri Lanka,77,3,Kandy,http://www.wikidata.org/entity/Q203197,wd:Q203197,305460,"capital city in Central Province, Sri Lanka"
Sudan,58,3,Meroë,http://www.wikidata.org/entity/Q5780,wd:Q5780,524267,ancient city along the eastern bank of the Nile River in Northern Sudan
Sweden,127,3,Uppsala,http://www.wikidata.org/entity/Q25286,wd:Q25286,31784,"city in Uppsala County, Sweden"
Switzerland,177,3,Geneva,http://www.wikidata.org/entity/Q71,wd:Q71,12521,city in Switzerland and capital of its canton
Syria,98,3,Homs,http://www.wikidata.org/entity/Q131301,wd:Q131301,77533,city in western Syria
Taiwan,70,3,Tainan,http://www.wikidata.org/entity/Q140631,wd:Q140631,23026062,city in southern Taiwan
Tajikistan,57,3,Khorugh,http://www.wikidata.org/entity/Q467501,wd:Q467501,439877,city
Tanzania,71,3,Arusha,http://www.wikidata.org/entity/Q4301,wd:Q4301,360916,"city in Arusha Region, Tanzania"
Thailand,81,3,Chiang Mai,http://www.wikidata.org/entity/Q52028,wd:Q52028,232026,"city in Chiang Mai province, Thailand"
East Timor,27,3,Lospalos,http://www.wikidata.org/entity/Q1017098,wd:Q1017098,4247241,City of Lospalos
Togo,31,3,Kpalimé,http://www.wikidata.org/entity/Q995413,wd:Q995413,1452563,human settlement in Togo
Trinidad and Tobago,37,3,San Fernando,http://www.wikidata.org/entity/Q1023712,wd:Q1023712,970935,city in Trinidad and Tobago
Tunisia,64,3,Bizerte,http://www.wikidata.org/entity/Q189546,wd:Q189546,522075,Tunisian town
Turkey,223,3,Ankara,http://www.wikidata.org/entity/Q3640,wd:Q3640,802,capital of Turkey
Turkmenistan,64,3,Merv,http://www.wikidata.org/entity/Q193325,wd:Q193325,252067,city in Turkmenistan
Uganda,43,3,Gulu,http://www.wikidata.org/entity/Q581379,wd:Q581379,2407475,city in Uganda
Ukraine,131,3,Sevastopol,http://www.wikidata.org/entity/Q7525,wd:Q7525,51587,port city in Crimea
United Arab Emirates,74,3,Sharjah,http://www.wikidata.org/entity/Q289693,wd:Q289693,15674115,city in the United Arab Emirates
United Kingdom,173,3,Edinburgh,http://www.wikidata.org/entity/Q23436,wd:Q23436,9602,"capital city of Scotland, UK"
Uruguay,60,3,Salto,http://www.wikidata.org/entity/Q335506,wd:Q335506,2227826,city in Uruguay
Uzbekistan,114,3,Bukhara,http://www.wikidata.org/entity/Q5764,wd:Q5764,86807,city in Bukhara Province of Uzbekistan
Vanuatu,5,3,Lamap,http://www.wikidata.org/entity/Q15411978,wd:Q15411978,41467783,city in Vanuatu
Venezuela,87,3,Maracaibo,http://www.wikidata.org/entity/Q171632,wd:Q171632,249847,city in Venezuela
Vietnam,187,3,Hanoi,http://www.wikidata.org/entity/Q1858,wd:Q1858,56667,capital of Vietnam
Yemen,61,3,Shibam,http://www.wikidata.org/entity/Q192518,wd:Q192518,1865665,Town in Yemen
Zambia,51,3,Kitwe,http://www.wikidata.org/entity/Q239580,wd:Q239580,1417544,city
Zimbabwe,45,3,Gweru,http://www.wikidata.org/entity/Q399316,wd:Q399316,737324,city
People's Republic of China,225,3,Shanghai,http://www.wikidata.org/entity/Q8686,wd:Q8686,27643,municipality of China
Germany,216,3,Munich,http://www.wikidata.org/entity/Q1726,wd:Q1726,19058,"capital city of Bavaria, Germany"
