0,1,2,3,4,5
Ireland,67,36.8,37.8,37.4,38.2
Isle of Man,12,44.2,44.6,43.6,45.6
Israel,123,29.9,30.4,29.8,31
Italy,5,45.5,46.5,45.4,47.5
Jamaica,133,26,29.4,28.6,30.1
Japan,2,47.3,48.6,47.2,50
Jersey,71,38,37.5,36,39.5
Jordan,177,22.5,23.5,23.9,22.9
Kazakhstan,115,30.6,31.6,30.3,32.8
Kenya,198,19.7,20,19.9,20.1
Kiribati,160,24.6,25.7,24.8,26.6
North Korea,90,34,34.6,33.2,36.2
South Korea,30,41.8,43.2,41.6,45
Kosovo,122,29.1,30.5,30.2,30.8
Kuwait,129,29.3,29.7,30.7,27.9
Kyrgyzstan,149,26.5,27.3,26.1,28.5
Laos,172,23,24,23.7,24.4
Latvia,16,43.6,44.4,40.5,48
Lebanon,96,30.5,33.7,33.1,34.4
Lesotho,166,24.2,24.7,24.7,24.7
Liberia,218,17.8,18,17.7,18.2
Libya,158,28.9,25.8,25.9,25.7
Liechtenstein,23,43.2,43.7,42,45.3
Lithuania,15,43.7,44.5,40.2,48.2
Luxembourg,57,39.3,39.5,38.9,40
Macau,50,39.3,40.8,40.7,40.9
North Macedonia,59,37.9,39,38,40
Madagascar,196,19.7,20.3,20.1,20.5
Malawi,224,16.5,16.8,16.7,16.9
Malaysia,136,28.5,29.2,28.9,29.6
Maldives,131,28.2,29.5,29.2,30
Mali,227,15.8,16.1,15.6,16.5
Malta,36,41.8,42.3,41.2,43.5
Marshall Islands,175,22.9,23.8,23.6,23.9
Mauritania,190,20.5,21,20.1,22
Mauritius,81,35.3,36.3,35,37.6
Mexico,134,28.3,29.3,28.2,30.4
Micronesia,156,25.1,26.3,25.5,27.1
Moldova,69,36.7,37.7,36.2,39.5
Monaco,1,53.1,55.4,53.7,57
Mongolia,128,28.3,29.8,28.8,30.7
Montenegro,55,40.7,39.6,38.1,41.1
Montserrat,89,33.2,34.8,34.1,35.6
Morocco,139,29.3,29.1,28.7,29.6
Mozambique,222,17.2,17,16.3,17.6
Namibia,185,21.2,21.8,21.1,22.6
Nauru,152,26.4,27,28.2,25.9
Nepal,163,24.1,25.3,23.9,26.9
Netherlands,33,42.6,42.8,41.6,44
New Caledonia,104,32,32.9,32.1,33.7
New Zealand,74,37.9,37.2,36.4,37.9
Nicaragua,150,25.7,27.3,26.4,28.2
Niger,210,18.4,18.6,18.4,18.9
Niger,230,15.4,14.8,14.5,15.1
Northern Mariana Islands,106,33.6,32.8,31.8,34.1
Norway,58,39.2,39.5,38.8,40.2
Oman,157,25.6,26.2,27.2,25.1
Pakistan,182,23.8,22,21.9,22.1
Palau,95,33.4,33.9,32.9,35.9
Panama,124,29.2,30.1,29.6,30.5
Guinea,173,23.1,24,24,24
Paraguay,130,28.2,29.7,29.5,29.9
Peru,140,28,29.1,28.3,29.9
Philippines,170,23.5,24.1,23.6,24.6
Poland,40,40.7,41.9,40.3,43.6
Portugal,13,42.2,44.6,42.7,46.5
Puerto Rico,26,41.5,43.6,41.6,45.3
Qatar,97,33.2,33.7,35,28.2
Romania,35,41.1,42.5,41,44
Russia,53,39.6,40.3,37.5,43.2
Rwanda,202,19,19.7,18.9,20.4
Saint Barthelemy,8,44.1,45.6,45.5,45.8
"Saint Helena, Ascension, and Tristan da Cunha",31,41.9,43.2,43.2,43.3
Saint Kitts and Nevis,80,35,36.5,36.7,36.3
Saint Lucia,76,34.8,36.9,35.7,38
Saint Martin,101,32.5,33.3,32.5,34.1
Saint Pierre and Miquelon,3,46.5,48.5,47.9,49
Saint Vincent and the Grenadines,87,33.6,35.3,35.4,35.1
Samoa,161,24.4,25.6,25.3,26
San Marino,10,44.4,45.2,43.9,46.3
Sao Tome and Principe,207,18.4,19.3,18.9,19.7
Saudi Arabia,121,27.5,30.8,33,27.9
Senegal,206,18.8,19.4,18.5,20.3
Serbia,27,42.6,43.4,41.7,45
Seychelles,77,35.4,36.8,36.3,37.4
Sierra Leone,209,19,19.1,18.5,19.7
Singapore,83,34.6,35.6,35.4,35.7
Sint Maarten,47,41,41.1,39.6,42.7
Slovakia,42,40.5,41.8,40.1,43.6
Slovenia,11,44.5,44.9,43.4,46.6
Solomon Islands,178,22.5,23.5,23.2,23.7
Somalia,213,18.1,18.5,18.7,18.3
South Africa,144,27.1,28,27.9,28.1
Sudan,211,17.3,18.6,18.9,18.3
Spain,20,42.7,43.9,42.7,45.1
Sri Lanka,98,32.8,33.7,32.3,35.1
Sudan,214,19.9,18.3,18.1,18.5
Suriname,119,29.8,31,30.6,31.4
Sweden,48,41.2,41.1,40.1,42.1
Switzerland,34,42.4,42.7,41.7,43.7
Syria,179,24.3,23.5,23,24
Taiwan,37,40.7,42.3,41.5,43.1
Tajikistan,164,24.5,25.3,24.6,26
Tanzania,215,17.7,18.2,17.9,18.4
Thailand,60,37.7,39,37.8,40.1
East Timor,203,18.9,19.6,18.9,20.2
Togo,199,19.8,20,19.7,20.3
Tonga,171,23,24.1,23.6,24.5
Trinidad and Tobago,68,36,37.8,37.3,38.3
Tunisia,108,31.6,32.7,32,33.3
Turkey,112,30.9,32.2,31.7,32.8
Turkmenistan,137,27.9,29.2,28.7,29.7
Turks and Caicos Islands,91,33.3,34.6,34.9,34.4
Tuvalu,154,25.7,26.6,25.6,27.6
Uganda,229,15.8,15.7,14.9,16.5
Ukraine,46,40.6,41.2,38.2,44.3
United Arab Emirates,64,30.3,38.4,40.4,31.5
United Kingdom,51,40.5,40.6,39.6,41.7
United States,62,38.1,38.5,37.2,39.8
Uruguay,86,35,35.5,33.8,37.3
Uzbekistan,125,28.6,30.1,29.4,30.7
Vanuatu,181,22,23,22.6,23.5
Venezuela,126,28.3,30,29.4,30.7
Vietnam,113,30.5,31.9,30.8,33
Virgin Islands,43,41,41.8,40.6,42.8
Wallis and Futuna,94,32.2,34,33.1,35.1
Palestine (West Bank),183,21.1,21.9,21.7,22.2
Western Sahara,186,21.1,21.5,21,21.9
World,120,30.6,31,30.3,31.8
Yemen,201,19.5,19.8,19.6,19.9
Zambia,223,16.8,16.9,16.7,17
Zimbabwe,192,20,20.5,20.3,20.6
