0,1,2,3,4,5,6,7
105,Lebanon,"September 18, 1998",Beirut,23,(source: 2018),264435,"See McDelivery Lebanon, which is currently merged with its official website as local franchisee Miknas Food S.A.L. is gradually reforming their McDonald's store chain"
106,Pakistan (details),"September 19, 1998[43]",Lahore,72,(source: CNBC),115000,McDonald's Pakistan
107,Sri Lanka,"October 16, 1998",Colombo,7,"(source: March 4, 2013)",3062857,see McDonald's Sri Lanka
108,Georgia,"February 5, 1999","Rustaveli Avenue, Tbilisi",18,(source: 2020),205500,First outlet in the Caucasus. See McDonald's Georgia
109,Gibraltar(territory of ﾂUnited Kingdom),"August 13, 1999",Westside,1,(source: 2018),34571,See McDonald's Spain
110,Azerbaijan,"November 6, 1999","Fountains Square, Baku",19,(source: 2019)[44],657467,See McDonald's Azerbaijan
111,France,"February 22, 2000",Cayenne,2,(source: 2016),148356,See McDonald's French Antilles
112,American Samoa(territory of ﾂUnited States),"September 29, 2000",Pago Pago,2,(source: 2008),27821,
113,Mauritius,"July 4, 2001",Port Louis,12,(source: 2021),-1,
118,France,"May 1, 2003",Mamoudzou,,,-1,
119,Iraq,"August 10, 2006",Baghdad,1,(source: 2006),38270000,"One location in Baghdad for the U.S. Army, but there is also a knockoff called MaDonal."
120,Bosnia and Herzegovina,"July 20, 2011[45]",Sarajevo,5,(source: 2020),654732,"After some 10 years of trying to enter the Bosnian market with no success, McDonald's opened its first restaurant in Bosnia on July 20, 2011. See McDonald's Bosnia and Herzegovina"
121,Vietnam,"February 8, 2014",Ho Chi Minh City,22,(source: 2019),5620000,First contemporary McDonald's location in a communist country. See McDonald's Vietnam
122,Kazakhstan,"March 8, 2016",Astana,20,(source: McDonald's 2020),1288571,First outlet in Central Asia. See McDonald's Kazakhstan
