Column1,number,item,item_id,shortform,pageid,wikidata_description
Morocco,22,Lalla Khadija of Morocco,http://www.wikidata.org/entity/Q1532982,wd:Q1532982,9779562,Moroccan royal
Mozambique,3,Maria Machava,http://www.wikidata.org/entity/Q107842472,wd:Q107842472,68395152,Mozambican sailor
Myanmar,7,Kyal Sin,http://www.wikidata.org/entity/Q105772766,wd:Q105772766,67018617,victim of the 2021 Uprising in Myanmar
Namibia,21,Christine Mboma,http://www.wikidata.org/entity/Q106520141,wd:Q106520141,67771122,Namibian runner
Nauru,8,Nancy Genzel Abouke,http://www.wikidata.org/entity/Q107624385,wd:Q107624385,68306000,Nauruan weightlifter
Nepal,21,Gaurika Singh,http://www.wikidata.org/entity/Q23762473,wd:Q23762473,49362400,Nepalese swimmer
Netherlands,49,"Catharina-Amalia, Princess of Orange",http://www.wikidata.org/entity/Q855749,wd:Q855749,395119,heir apparent to the throne of the Kingdom of the Netherlands
New Zealand,21,Zoi Sadowski-Synnott,http://www.wikidata.org/entity/Q28753684,wd:Q28753684,55643587,New Zealand snowboarder
Nicaragua,2,Natalie Orellana,http://www.wikidata.org/entity/Q97743749,wd:Q97743749,67492610,Nicaraguan association football player
Niger,2,Balkissa Halidou Mossi,http://www.wikidata.org/entity/Q107188022,wd:Q107188022,,
Nigeria,11,Ayra Starr,http://www.wikidata.org/entity/Q106462586,wd:Q106462586,66454880,Nigerian singer
North Korea,15,Kim Ju-ae,http://www.wikidata.org/entity/Q14864448,wd:Q14864448,40482352,daughter of North Korean leader Kim Jong-un and his wife Ri Sol-ju
North Macedonia,8,Kanita,http://www.wikidata.org/entity/Q60036276,wd:Q60036276,63129005,Albanian-Macedonian singer
Norway,45,Princess Ingrid Alexandra of Norway,http://www.wikidata.org/entity/Q165249,wd:Q165249,438962,"Norwegian princess; daughter of Haakon, Crown Prince of Norway, and Mette-Marit, Crown Princess of Norway"
Oman,1,Aisha Al-Suleimani,http://www.wikidata.org/entity/Q51232453,wd:Q51232453,,
Pakistan,24,Iman Vellani,http://www.wikidata.org/entity/Q99774629,wd:Q99774629,65463267,Canadian actress
Panama,5,Carolina Cermelli,http://www.wikidata.org/entity/Q33420340,wd:Q33420340,54660005,Panamanian swimmer
Papua New Guinea,1,Patricia Apisah,http://www.wikidata.org/entity/Q113533368,wd:Q113533368,,
Paraguay,3,Luana Alonso,http://www.wikidata.org/entity/Q107633649,wd:Q107633649,68311650,Paraguayan swimmer
People's Republic of China,32,Eileen Gu,http://www.wikidata.org/entity/Q61203781,wd:Q61203781,67087988,American-Chinese freestyle skier and model
Peru,40,Isabela Merced,http://www.wikidata.org/entity/Q20830731,wd:Q20830731,47117666,American-Peruvian actress and singer
