head,country,headLabel,countryLabel,followers,numsitelinks
http://www.wikidata.org/entity/Q983258,http://www.wikidata.org/entity/Q801,Isaac Herzog,Israel,74778,52
http://www.wikidata.org/entity/Q16594097,http://www.wikidata.org/entity/Q786,Luis Abinader,Dominican Republic,538645,33
http://www.wikidata.org/entity/Q63441935,http://www.wikidata.org/entity/Q810,Bisher Al-Khasawneh,Jordan,2234,30
http://www.wikidata.org/entity/Q155164,http://www.wikidata.org/entity/Q843,Imran Khan,Pakistan,13117509,82
http://www.wikidata.org/entity/Q457786,http://www.wikidata.org/entity/Q928,Rodrigo Duterte,Philippines,186280,105
http://www.wikidata.org/entity/Q5951723,http://www.wikidata.org/entity/Q783,Juan Orlando Hernández Alvarado,Honduras,433664,51
http://www.wikidata.org/entity/Q57413,http://www.wikidata.org/entity/Q1008,Alassane Ouattara,Côte d'Ivoire,1025484,70
http://www.wikidata.org/entity/Q43944,http://www.wikidata.org/entity/Q30747910,Hamid Karzai,Islamic Republic of Afghanistan,185315,105
http://www.wikidata.org/entity/Q25597826,http://www.wikidata.org/entity/Q813,Sadyr Zhaparov,Kyrgyzstan,268000,45
http://www.wikidata.org/entity/Q551904,http://www.wikidata.org/entity/Q865,Su Tseng-chang,Taiwan,26800,33
http://www.wikidata.org/entity/Q551904,http://www.wikidata.org/entity/Q865,Su Tseng-chang,Taiwan,111106,33
http://www.wikidata.org/entity/Q307871,http://www.wikidata.org/entity/Q79,Abdel Fattah el-Sisi,Egypt,86800,99
http://www.wikidata.org/entity/Q701484,http://www.wikidata.org/entity/Q218,Klaus Johannis,Romania,172958,80
http://www.wikidata.org/entity/Q3052772,http://www.wikidata.org/entity/Q142,Emmanuel Macron,France,6547254,160
http://www.wikidata.org/entity/Q272416,http://www.wikidata.org/entity/Q230,Salome Zurabishvili,Georgia,24381,69
http://www.wikidata.org/entity/Q9151911,http://www.wikidata.org/entity/Q36,Andrzej Duda,Poland,1234853,99
http://www.wikidata.org/entity/Q3052772,http://www.wikidata.org/entity/Q228,Emmanuel Macron,Andorra,6547254,160
http://www.wikidata.org/entity/Q3874799,http://www.wikidata.org/entity/Q212,Volodymyr Zelenskyi,Ukraine,389086,112
http://www.wikidata.org/entity/Q12366816,http://www.wikidata.org/entity/Q191,Kersti Kaljulaid,Estonia,53262,85
http://www.wikidata.org/entity/Q233984,http://www.wikidata.org/entity/Q865,Tsai Ing-wen,Taiwan,389000,101
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q760,Elizabeth II,Saint Lucia,4364350,211
http://www.wikidata.org/entity/Q4414,http://www.wikidata.org/entity/Q945,Faure Essozimna Gnassingbé Eyadéma,Togo,167374,60
http://www.wikidata.org/entity/Q57480,http://www.wikidata.org/entity/Q805,Abdrabbuh Mansour Hadi,Yemen,613212,60
http://www.wikidata.org/entity/Q57274,http://www.wikidata.org/entity/Q1036,Yoweri Museveni,Uganda,2494788,79
http://www.wikidata.org/entity/Q21001,http://www.wikidata.org/entity/Q884,Moon Jae-in,South Korea,1833359,101
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q769,Elizabeth II,Grenada,862000,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q778,Elizabeth II,The Bahamas,862000,211
http://www.wikidata.org/entity/Q57464,http://www.wikidata.org/entity/Q810,Abdullah II of Jordan,Jordan,1887929,96
http://www.wikidata.org/entity/Q233984,http://www.wikidata.org/entity/Q865,Tsai Ing-wen,Taiwan,1456093,101
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q769,Elizabeth II,Grenada,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q778,Elizabeth II,The Bahamas,4364350,211
http://www.wikidata.org/entity/Q17177542,http://www.wikidata.org/entity/Q781,Gaston Browne,Antigua and Barbuda,2466,32
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q766,Elizabeth II,Jamaica,862000,211
http://www.wikidata.org/entity/Q348144,http://www.wikidata.org/entity/Q794,Hassan Rouhani,Iran,1142693,117
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q766,Elizabeth II,Jamaica,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q757,Elizabeth II,Saint Vincent and the Grenadines,862000,211
http://www.wikidata.org/entity/Q173139,http://www.wikidata.org/entity/Q1014,George Weah,Liberia,113275,86
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q763,Elizabeth II,Saint Kitts and Nevis,862000,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q757,Elizabeth II,Saint Vincent and the Grenadines,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q763,Elizabeth II,Saint Kitts and Nevis,4364350,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q781,Elizabeth II,Antigua and Barbuda,862000,211
http://www.wikidata.org/entity/Q57272,http://www.wikidata.org/entity/Q1009,Paul Biya,Cameroon,758666,71
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q760,Elizabeth II,Saint Lucia,862000,211
http://www.wikidata.org/entity/Q9682,http://www.wikidata.org/entity/Q781,Elizabeth II,Antigua and Barbuda,4364350,211
http://www.wikidata.org/entity/Q57808,http://www.wikidata.org/entity/Q265,Shavkat Mirziyoyev,Uzbekistan,106000,83
http://www.wikidata.org/entity/Q57808,http://www.wikidata.org/entity/Q265,Shavkat Mirziyoyev,Uzbekistan,43850,83
http://www.wikidata.org/entity/Q57371,http://www.wikidata.org/entity/Q227,Ilham Aliyev,Azerbaijan,663369,114
http://www.wikidata.org/entity/Q29207,http://www.wikidata.org/entity/Q33,Sauli Niinistö,Finland,295287,88
http://www.wikidata.org/entity/Q40649,http://www.wikidata.org/entity/Q414,Cristina Fernández de Kirchner,Argentina,5993033,111
http://www.wikidata.org/entity/Q57276,http://www.wikidata.org/entity/Q27,Michael D. Higgins,Republic of Ireland,139981,75
http://www.wikidata.org/entity/Q7747,http://www.wikidata.org/entity/Q159,Vladimir Putin,Russia,3449110,264
http://www.wikidata.org/entity/Q6084858,http://www.wikidata.org/entity/Q833,Ismail Sabri Yaakob,Malaysia,288665,28
http://www.wikidata.org/entity/Q106496152,http://www.wikidata.org/entity/Q790,Claude Joseph,Haiti,25344,28
http://www.wikidata.org/entity/Q3195923,http://www.wikidata.org/entity/Q837,Khadga Prasad Sharma Oli,Nepal,679730,42
-,-,Abdelmadjid Tebboune,Algeria,1038691,--
-,-,João Lourenço,Angola,108.024,--
-,-,Prince Salman Bin Hamad Bin Isa Al Khalifa,Bahrain,0,--
-,-,Sheikh Hasina,Bangladesh,63550,--
-,-,Alexander Lukaschenko,Belarus,0,--
-,-,Patrice Talon,Benin,25000,--
-,-,Lotay Tshering,Bhutan,93000,--
,,Hassanal Bolkiah,Brunei,0,--
,,Rumen Radew,Bulgaria,10149,
,,Roch KABORE,Burkina Faso,400000,
,,SE Evariste Ndayishimiye,Burundi,88900,
,,Hun Sen,Cambodia,4711,
,,Faustin Archange Touadéra,Central African Republic,1800,
,,Xi Jinping,China,0,
,,Carlos Alvarado Quesada,Costa Rica,200000,
,,Mette Frederiksen,Denmark,66000,
,,"Ismail Omar Guelleh",Djibouti,92000,
,,Teodoro Obiang Nguema Mbasogo,Equatorial Guinea,838,
,,Isaias Afwerki,Eritrea,0,
,,Mswati III,Eswatini,0,
,,Alejandro Giammattei,Guatemala,330000,
,,Alpha Conde,Guinea,200000,
,,Umaro Sissoco Embaló,Guinea-Bissau,2500,
,,Dr. Mohamed Irfaan Ali,Guyana,862,
,,Carrie Lam,Hong Kong,0,
,,Mario Draghi,Italy,0,
,,Raila Odinga,Kenya,3000000,
,,Khaled A. Al Sabah,Kuwait,107000,
,,Thongloun Sisoulith,Laos,0,
,,Lazarus Chakwera,Malawi,90000,
,,Bah Ndaw,Mali,0,
,,Mohamed Ould,Mauritania,2560,
,,Zdravko Krivokapić,Montenegro,35900,
,,Mohammed VI,Morocco,5000,
,,Filipe Nyusi,Mozambique,2000,
,,Aung San Suu Kyi,Myanmar,32000,
,,Hage Geingob,Namibia,263000,
,,Mark Rutte,Netherlands,1200000,
,,José Daniel Ortega Saavedra,Nicaragua,2210,
,,Erna Solberg,Norway,343000,
,,Sultan Haitham Tariq Bin Said,Oman,1448,
,,Mohammed bin Abdulrahman,Qatar,646000,
,,Sailele Tuilaʻepa Malielegaoi,Samoa,0,
,,Danny Faure,Seychelles,2240,
,,Julius Maada Bio ,Sierra Leone,78000,
,,Salva Kiir Mayardit,South Sudan,5609,
,,Gotabaya Rajapaksa,Sri Lanka,339000,
,,A.fatah Alburhan,Sudan,69000,
,,Chan Santokhi,Suriname,1381,
,,al-Assad,Syria,0,
,,Emomali Rahmon,Tajikistan,2113,
,,Samia Suluhu,Tanzania,906000,
,,Prayut Chan-o-cha,Thailand,105000,
,,Francisco Guterres Lú Olo,Timor-Leste,746,
,,Paula Mae Weekes,Trinidad and Tobago,0,
,,Kais Saied,Tunisia,0,
,,Gurbanguly Berdimuhamedow,Turkmenistan,0,
,,Mohamed bin Zayed Al Nahyan,United Arab Emirates,4000000,
,,Nguyễn Xuân Phúc,Vietnam,0,
