0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Namibia,62,57,41,36,49,77,84,4.4,35,21,57,59,61,75,
India,79,65,76,69,77,83,89,4.0,44,15,85,83,77,84,
Micronesia (Federated States of),,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,
Honduras,76,61,74,55,61,88,89,6.0,42,32,87,44,59,50,
Bhutan,93,86,89,59,67,83,79,5.1,51,39,93,97,99,95,
Kiribati,,,,,,,,,,,,,,,
Bangladesh,80,63,79,70,84,82,90,4.3,31,13,84,80,76,88,
Congo,55,37,54,44,51,66,74,4.9,29,14,64,39,48,47,
Vanuatu,,,,,,,,,,,,,,,
Lao People's Democratic Republic,81,71,79,63,75,77,84,4.6,57,4,92,72,80,84,
Ghana,55,52,52,63,70,78,76,5.5,32,36,60,59,51,67,
Equatorial Guinea,,,,,,,,,,,,,,,
Kenya,64,51,54,54,64,88,82,4.5,47,45,70,57,56,64,
Sao Tome and Principe,,,,,,,,,,,,,,,
Eswatini (Kingdom of),,,,,,,,,,,,,,,
Zambia,66,58,43,43,53,82,79,3.9,48,34,62,63,63,72,
Cambodia,90,82,80,50,60,96,95,4.6,65,6,91,59,90,75,
Angola,46,29,35,39,53,30,37,3.8,43,17,50,44,37,57,
Myanmar,79,75,69,71,79,88,87,4.2,54,34,88,65,73,82,
Nepal,78,63,72,51,70,81,84,4.7,63,27,85,65,66,56,
Pakistan,63,46,70,56,62,70,70,5.8,33,13,78,57,49,56,
Cameroon,51,43,53,40,49,77,73,5.1,45,16,68,47,53,58,
Solomon Islands,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,
Tanzania (United Republic of),58,43,35,60,71,81,78,3.3,50,8,71,77,66,91,
Syrian Arab Republic,24,38,20,17,47,32,45,3.5,17,20,36,27,38,,
Zimbabwe,66,63,46,42,63,80,69,3.6,33,18,67,66,51,68,
Nigeria,60,57,53,52,65,81,83,5.3,39,37,67,53,56,56,
Rwanda,81,77,35,83,93,89,91,3.1,32,18,70,91,93,98,
Lesotho,48,36,34,37,49,74,73,3.8,44,20,55,71,45,70,
Mauritania,27,27,50,40,52,50,49,4.7,33,14,53,27,24,29,
Madagascar,56,39,30,38,47,56,57,4.1,40,31,77,46,40,54,
Uganda,45,39,45,54,65,74,77,4.0,43,26,64,51,55,66,
Benin,51,40,38,52,54,73,65,4.9,41,17,55,60,51,62,
Senegal,51,38,53,40,53,69,66,4.7,32,15,62,60,49,61,
Comoros,49,24,38,67,77,50,57,4.0,30,18,75,34,39,46,
Togo,48,37,42,49,58,68,70,4.4,43,14,52,43,55,48,
Sudan,28,22,52,64,78,25,29,4.1,18,23,50,,11,,
Afghanistan,51,32,19,15,24,37,44,2.7,11,11,63,24,39,26,
Haiti,25,15,22,48,46,52,44,3.8,23,31,45,37,32,44,
Côte d'Ivoire,45,35,36,49,50,71,71,5.0,51,7,59,42,44,52,
Malawi,58,57,38,42,47,85,84,3.4,63,26,73,59,82,62,
Djibouti,,,,,,,,,,,,,,,
Ethiopia,72,45,42,62,70,69,73,4.2,48,23,63,60,70,77,
Gambia,73,49,57,47,63,75,80,4.1,45,30,77,68,62,80,
Guinea,45,42,58,51,56,71,73,4.9,54,24,74,54,58,64,
Congo (Democratic Republic of the),48,42,51,36,54,69,67,4.3,37,29,57,43,50,48,
Guinea-Bissau,,,,,,,,,,,,,,,
Yemen,43,22,38,37,70,52,60,3.3,6,6,74,24,10,25,
Eritrea,,,,,,,,,,,,,,,
Mozambique,70,56,59,49,54,79,82,4.3,54,27,78,67,66,76,
Liberia,42,37,41,34,47,69,76,4.4,48,47,57,53,48,55,
Mali,35,44,50,58,59,71,72,4.7,63,20,65,39,48,50,
Burkina Faso,51,40,38,51,60,59,56,4.6,50,19,63,48,44,54,
Sierra Leone,45,45,43,54,55,70,70,4.1,45,37,65,49,44,74,
Burundi,54,37,26,43,42,47,39,2.9,10,10,47,,41,,
Chad,53,44,58,50,50,61,58,4.6,34,16,71,44,55,47,
South Sudan,34,24,22,43,41,41,47,2.8,37,29,42,41,29,46,
Central African Republic,37,28,30,50,54,64,63,3.5,54,27,62,60,49,65,
Niger,44,43,52,64,69,67,62,4.6,36,20,68,65,57,60,
Somalia,67,55,75,86,85,91,91,4.7,41,24,92,62,86,70,
