0,1,2,3,4,5,6,7,8
Azerbaijan,10,Khanim Balajayeva,http://www.wikidata.org/entity/Q28479277,wd:Q28479277,58744070.0,Azerbaijani chess player,"Khanim Balajayeva (Azerbaijani: Xanım Balacayeva; born March 28, 2001) is an Azerbaijani chess player. She was awarded the title Woman Grandmaster by FIDE in 2019.",https://en.wikipedia.org/wiki/Khanim_Balajayeva
Bahrain,16,Hala Al Turk,http://www.wikidata.org/entity/Q12208559,wd:Q12208559,38242080.0,pop singer,"Hala Al Turk (Arabic: حلا الترك; born May 15, 2002) is a Jordanian-Syrian Bahraini singer. She become known for being a contestant on Arabs Got Talent in 2011. Al Turk then released many singles, including ""Bnayty El Habooba (2011)"" featuring singer Mashael, for which she become a popular child singer. ""Happy Happy"" released in 2013 is the first Arabic music video to cross 100 million views. She subsequently signed to Platinum Records and released other singles. In early 2015, she moved to her father's company, AlTurk Productions.",https://en.wikipedia.org/wiki/Hala_Al_Turk
Bangladesh,6,Diya Siddique,http://www.wikidata.org/entity/Q106950724,wd:Q106950724,67742795.0,Bangladeshi archer,"Diya Siddique (born 19 February 2004) is a Bangladeshi archer. On 23 May 2021, she along with Ruman Shana claimed silver medal in the recurve mixed team event during the 2021 Archery World Cup where Bangladesh emerged as runners-up to Netherlands in the final. Despite losing the final 5–1, it was the best performance by Bangladesh at an Archery World Championship. It also marked the first instance whereas Bangladesh managed to reach final in an event of Archery World Cup.",https://en.wikipedia.org/wiki/Diya_Siddique
Barbados,4,Velma Scantlebury,http://www.wikidata.org/entity/Q23092056,wd:Q23092056,49289974.0,Barbadian-born American transplant surgeon,"Dr. Velma Scantlebury GCM also Velma Scantlebury-White (born 6 October 1955) is a Barbadian-born American transplant surgeon. She was the first Black woman transplant surgeon of the United States. She has received many honors in her career, having been named to both the ""Best Doctors in America"" and ""Top Doctors in America"" lists multiple times.
Scantlebury has been awarded the Woman of Spirit Award for inspiring others and the ""Gift of Life Award"" from the National Kidney Foundation. In addition to recognition by the Caribbean American Medical and Scientific Association, she received the Order of Barbados Gold Crown of Merit, for her efforts to educate minorities about organ transplant. She has performed over 2,000 transplants and published many peer-reviewed papers.",https://en.wikipedia.org/wiki/Velma_Scantlebury
Belarus,35,Zinaida Kupriyanovich,http://www.wikidata.org/entity/Q23039005,wd:Q23039005,60167198.0,"Belarusian singer, actress and television presenter","Zinaida Alexandrovna Kupriyanovich (born 17 September 2002), sometimes known professionally as Zina Kupriyanovich or Zena (stylized as ZENA), and now known as Zina Bless, is a Belarusian singer, actress, and television presenter. Kupriyanovich represented Belarus in the Eurovision Song Contest 2019 with the song ""Like It"", placing 24th in the final. She has additionally cohosted the Junior Eurovision Song Contest 2018 in Minsk, and voiced the Russian dub of the eponymous character in the film Moana (2016).

",https://en.wikipedia.org/wiki/Zinaida_Kupriyanovich
Belgium,43,"Princess Elisabeth, Duchess of Brabant",http://www.wikidata.org/entity/Q830697,wd:Q830697,1769364.0,Belgian princess and heir apparent,"Princess Elisabeth, Duchess of Brabant (Dutch: Elisabeth Theresia Maria Helena; French: Élisabeth Thérèse Marie Hélène; born 25 October 2001) is the heir apparent to the Belgian throne. The eldest child of King Philippe and Queen Mathilde, she acquired her position after her grandfather King Albert II abdicated in favour of her father on 21 July 2013.

","https://en.wikipedia.org/wiki/Princess_Elisabeth,_Duchess_of_Brabant"
Benin,11,Ayra Starr,http://www.wikidata.org/entity/Q106462586,wd:Q106462586,66454880.0,Nigerian singer,"Oyinkansola Sarah Aderibigbe (born 14 June 2002), known professionally as Ayra Starr, is a Beninese-born Nigerian singer. She began a fashion career at the age of 16 with Quove Model Management before deciding to pursue a career in music. After covering several songs by popular artists on Instagram, she posted her first original song on her page in December 2019. This brought her to the attention of record executive Don Jazzy, who signed her to his record label Mavin Records.In early 2021, Ayra Starr achieved mainstream recognition with her eponymous debut extended play and its hit track ""Away"", which spent two consecutive weeks at number four on Nigeria's TurnTable Top 50 chart; the song also peaked at number 17 on the Billboard Top Triller Global chart, paving the way for the release of her first full-length mixtape, 19 & Dangerous (2021). Categorized mainly as Afropop and R&B, the mixtape received favorable critical reception and spawned two top forty hits in Nigeria. The lead single ""Bloody Samaritan"" peaked atop the Top 50 chart, becoming the first solo song by a female artist to reach the number-one position. Starr debuted on Pandora Predictions chart, and on 28 August 2021, was ranked number three on Billboard's Next Big Sound.Ayra Starr would later achieve mainstream international recognition in 2022, with the release of her song ""Rush"". The song charted in several territories, including Switzerland, Ireland and the United Kingdom, where it peaked at Number 36.With the song, Ayra became the Youngest African Female Artist to surpass 100 Million views on a single video on YouTube, and also the first to do so within 5 months. She also set a new record by becoming the only Nigerian Female Artist to have charted a solo song on UK official Singles Chart.

",https://en.wikipedia.org/wiki/Ayra_Starr
Bhutan,2,Deki Lhazom,http://www.wikidata.org/entity/Q113879141,wd:Q113879141,71721885.0,Bhutanese footballer,Deki Lhazom is a Bhutanese footballer who plays as a forward for Saudi Women's Premier League club Al-Ittihad and the Bhutan women's national football team. She is the joint highest goal scorer of Bhutan's senior national team with 3 goals.,https://en.wikipedia.org/wiki/Deki_Lhazom
Bolivia,2,Cielo Veizaga,http://www.wikidata.org/entity/Q98088402,wd:Q98088402,69312756.0,Bolivian association football player,"Cielo Jazmín Veizaga Arteaga (born 17 March 2001) is a Bolivian footballer and politician serving as vice minister of sports since 2020. Veizaga's swift rise to fame, joining the country's U20 team at age fourteen and becoming the youngest member of President Luis Arce's administration at nineteen, has been met with acclaim despite accusations of inexperience in her State portfolio.",https://en.wikipedia.org/wiki/Cielo_Veizaga
Bosnia and Herzegovina,14,Lana Pudar,http://www.wikidata.org/entity/Q107227261,wd:Q107227261,67945546.0,Bosnian swimmer,"Lana Pudar (born 19 January 2006) is a Bosnian competitive swimmer specializing in the butterfly events. She won a gold medal in the women's 200 m butterfly and a bronze medal in the women's 100 m butterfly at the 2022 European Aquatics Championships, a bronze medal in the women's 200 m butterfly at the 2021 FINA World Swimming Championships, and she competed at the 2020 Summer Olympics. She is the national record holder in all six butterfly events, and a Mediterranean games record holder in the 100 m women's butterfly event.",https://en.wikipedia.org/wiki/Lana_Pudar
Botswana,2,Malia Baker,http://www.wikidata.org/entity/Q101948111,wd:Q101948111,,,--,--
Brazil,28,Melody,http://www.wikidata.org/entity/Q25438724,wd:Q25438724,51095611.0,Brazilian pop singer,"Gabriela Abreu Severino also known as Melody ( mEl-uh-dee; born February 4, 2007) is a Brazilian singer. She became known for her falsetto.",https://en.wikipedia.org/wiki/Melody_(Brazilian_singer)
Bulgaria,14,Krisia Todorova,http://www.wikidata.org/entity/Q17418129,wd:Q17418129,43394930.0,Bulgarian singer,"Krisia Marinova Todorova  (Bulgarian: Крисия Маринова Тодорова, born 1 June 2004) is a Bulgarian singer, composer and songwriter. Along with Ignatov Brothers, she represented Bulgaria at the Junior Eurovision Song Contest 2014 in Malta with her song ""Planet of the Children"". They finished in second place, however, they won the press voting.The following year she performed ""Discover"", the Junior Eurovision Song Contest 2015 official song, in Arena Armeec, Sofia., and again ""Planet of the Children"" and ""I'd like to draw a dream"" at ""New Wave Junior"", 2015, Sochi, Russian Federation. Also, in the year 2015, Todorova and the Seven-Eight Production Company received the NASO Grand Prize for their contribution to the social development of Bulgaria.",https://en.wikipedia.org/wiki/Krisia_Todorova
Burkina Faso,1,Pascaline Dambinga,http://www.wikidata.org/entity/Q116820093,wd:Q116820093,,,--,--
Burundi,5,Sada Nahimana,http://www.wikidata.org/entity/Q52424784,wd:Q52424784,57293133.0,Burundian tennis player,"Sada Nahimana (born 21 April 2001) is a Burundian tennis player.
She has a career-high singles ranking of world No. 251, reached on 3 October 2022. She also has a best junior ranking of 12, achieved on 15 July 2019.
Nahimana made her WTA Tour main-draw debut at the 2018 Rabat Grand Prix in the doubles tournament, partnering Egyptian Sandra Samir.",https://en.wikipedia.org/wiki/Sada_Nahimana
Cambodia,7,Norodom Jenna,http://www.wikidata.org/entity/Q106729150,wd:Q106729150,67583591.0,princess of Cambodia,"Jenna Norodom (Khmer: នរោត្តម ជេនណា, Nôroŭttâm Chénna  [nɔroːɗɑm ceːnnaː]; born 11 March 2012) is a Cambodian princess & a member of the Cambodian royal family. She is the grandniece of King Norodom Sihamoni, the second daughter of Norodom Bupphary and great granddaughter of the former King Norodom Sihanouk. She is affectionately known as Princess Jenna. Jenna is also an actress, singer, dancer, model, and Cellcard's Royal Brand Ambassador.",https://en.wikipedia.org/wiki/Norodom_Jenna
Cameroon,5,Norah Milanesi,http://www.wikidata.org/entity/Q107723803,wd:Q107723803,68368168.0,Cameroonian swimmer,"Norah Elisabeth Milanesi (born 23 January 2003 in Broni, Italy) is a Cameroonian swimmer. She competed in the women's 50 metre freestyle at the 2020 Summer Olympics.",https://en.wikipedia.org/wiki/Norah_Milanesi
Canada,49,Emma Raducanu,http://www.wikidata.org/entity/Q64849968,wd:Q64849968,67867692.0,British professional tennis player,"Emma Raducanu  (born 13 November 2002) is a British professional tennis player. She reached a career-high ranking of No. 10 by the Women's Tennis Association (WTA) on 11 July 2022, and is the current British No. 1. Raducanu is the first British woman to win a Grand Slam singles title since Virginia Wade at the 1977 Wimbledon Championships.
Raducanu was born in Toronto and raised in London. She made her WTA Tour debut in June 2021. With a wildcard entry at Wimbledon, ranked outside the top 300, she reached the fourth round in her first major tournament. At the 2021 US Open, Raducanu became the first singles qualifier in the Open Era to win a Grand Slam title, beating Leylah Fernandez in the final without dropping a set in the tournament. It was the second Grand Slam tournament of her career. She holds the Open Era record for the fewest majors played before winning a title.

",https://en.wikipedia.org/wiki/Emma_Raducanu
Cape Verde,5,Jayla Pina,http://www.wikidata.org/entity/Q107642670,wd:Q107642670,68320733.0,Cape Verdean swimmer,"Jayla Pina (born 23 July 2004) is a Cape Verdean swimmer. She competed in the women's 100 metre breaststroke at the 2020 Summer Olympics. Pina was born in the United States but is able to represent Cape Verde through her mother, who was born there. Her brother is fellow Olympic swimmer, Troy Pina and her sister is swimmer Latroya Pina.",https://en.wikipedia.org/wiki/Jayla_Pina
Central African Republic,1,Jennifer Zameto,http://www.wikidata.org/entity/Q109665705,wd:Q109665705,,,--,--
Chad,1,Aron Salomé Atchoumgaï,http://www.wikidata.org/entity/Q67180125,wd:Q67180125,,,--,--
Chile,25,Xiye Bastida,http://www.wikidata.org/entity/Q81646058,wd:Q81646058,61899597.0,Mexican-Chilean climate activist and member of the indigenous Mexican Otomi-Toltec nation,"Xiye Bastida Patrick (born 18 April 2002) is a Mexican climate activist and member of the Indigenous Otomi community. She is one of the major organizers of Fridays for Future New York City and has been a leading voice for indigenous and immigrant visibility in climate activism. She is on the administration committee of the People's Climate Movement and a former member of Sunrise Movement and Extinction Rebellion. She cofounded Re-Earth Initiative, an international nonprofit organization that is inclusive and intersectional “just as the climate movement should be.”",https://en.wikipedia.org/wiki/Xiye_Bastida
Colombia,20,María Camila Osorio Serrano,http://www.wikidata.org/entity/Q29052147,wd:Q29052147,53640968.0,Colombian female tennis player,"María Camila Osorio Serrano (Spanish pronunciation: [maɾja kaˈmila oˈsoɾjo seˈrano]; born 22 December 2001) is a Colombian professional tennis player. She has been ranked by the Women's Tennis Association (WTA) as high as world No. 33 in singles and No. 199 in doubles. She has won one singles title on the WTA Tour and three singles titles on tournaments of the ITF Women's Circuit.

",https://en.wikipedia.org/wiki/Camila_Osorio
Comoros,1,Anlaouia Hadhirami Ali,http://www.wikidata.org/entity/Q116908264,wd:Q116908264,,,--,--
Costa Rica,4,María Paula Salas,http://www.wikidata.org/entity/Q65583730,wd:Q65583730,61290344.0,Costa Rican footballer,María Paula Salas Zúñiga (born 12 July 2002) is a Costa Rican footballer who plays as a forward for Mexican Liga MX Femenil club C.F. Monterrey and the Costa Rica women's national team.,https://en.wikipedia.org/wiki/Mar%C3%ADa_Paula_Salas
Croatia,9,Petra Marčinko,http://www.wikidata.org/entity/Q110156289,wd:Q110156289,69528629.0,Croatian tennis player,"Petra Marčinko (born 4 December 2005) is a Croatian tennis player.Marčinko has career-high WTA rankings of 161 in singles, achieved on 6 March 2023, and 726 in doubles, set on 20 March 2023. She has won three singles and two doubles titles on the ITF Women's Circuit.
Marčinko has won nine singles titles as well as seven doubles titles on the ITF Junior Circuit. She achieved her career-high junior ranking of No. 1 on 13 December 2021.In December 2021, she completed a remarkable late-season surge as singles and doubles victories at the prestigious Orange Bowl Junior Tennis Championships saw her climb nine places to finish as the year-end junior world No. 1.At the beginning of 2022, Marčinko won her first junior Grand Slam title at the Australian Open, defeating Sofia Costoulas in the final in straight sets.",https://en.wikipedia.org/wiki/Petra_Mar%C4%8Dinko
Cuba,12,Malu Trevejo,http://www.wikidata.org/entity/Q41671678,wd:Q41671678,55307073.0,Cuban-American dancer and singer-songwriter,"María Luisa ""Malu"" Trevejo (, born October 15, 2002) is a Cuban-Spanish singer. She became famous for her videos on the video sharing app Musical.ly. She is now also an Instagram personality with more than 10 million followers. On September 22, 2017, she released her debut single, ""Luna Llena"" with In-Tu Linea and Universal Music Latin. It has acquired over 100 million views on her YouTube channel as of November 2019. Not long after, she released another single ""En Mi Mente"" which has surpassed 10 million views.",https://en.wikipedia.org/wiki/Malu_Trevejo
Cyprus,6,Cleo Demetriou,http://www.wikidata.org/entity/Q5131632,wd:Q5131632,36938802.0,actress,"Cleopatra ""Cleo"" Demetriou (; Greek: Κλεοπάτρα Δημητρίου; born 23 April 2001) is a Cyprus-born Olivier Award-winning British child actress most known for playing the main role in Matilda the Musical in London's West End. She is also known for playing the role of Lily Hampton in the CBBC show So Awkward, and for singing the soundtrack ""Made of Paper"" to accompany the short film Mâché Man.",https://en.wikipedia.org/wiki/Cleo_Demetriou
Czech Republic,18,Linda Nosková,http://www.wikidata.org/entity/Q106354932,wd:Q106354932,67929086.0,Czech tennis player,"Linda Nosková (born 17 November 2004) is a Czech tennis player. She has a career-high singles ranking by the Women's Tennis Association (WTA) of No. 50, reached on 6 February 2023, and a career-high doubles ranking of world No. 160, set on 3 October 2022. In August 2022, she became the youngest player in the top 100, a distinction Coco Gauff previously had held since October 2019. On the ITF Circuit, she has collected six singles titles and one doubles title. Her biggest title win so far was at the $100k Reinert Open in Versmold.
From an early age, Nosková showed signs of becoming a promising tennis player. As a junior, she peaked at world No. 5 in the rankings, achieved on 14 June 2021. Despite having only four Grand Slam appearances as a junior (per two in both events), she won the 2021 French Open in the girls' singles event. In addition, she made the semifinals of the girls' doubles event in the same edition, as well as the quarterfinals of the 2020 Australian Open.

",https://en.wikipedia.org/wiki/Linda_Noskov%C3%A1
Democratic Republic of the Congo,2,Murielle Musao,http://www.wikidata.org/entity/Q114175029,wd:Q114175029,,,--,--
Denmark,33,Princess Isabella of Denmark,http://www.wikidata.org/entity/Q1429306,wd:Q1429306,10818133.0,"Danish princess, elder daughter of Frederik, Crown Prince of Denmark and Mary, Crown Princess of Denmark","Princess Isabella of Denmark, Countess of Monpezat (Isabella Henrietta Ingrid Margrethe; born 21 April 2007) is a member of the Danish royal family. She is the second child and elder daughter of Crown Prince Frederik and Crown Princess Mary.
She is the fourth grandchild and oldest granddaughter of Queen Margrethe II and the late Prince Henrik. She was the first girl born into the Danish royal family since the birth of her great aunt, Queen Anne-Marie of Greece, in 1946. Isabella is third in the line of succession to the Danish throne, after her father and her older brother, Prince Christian.",https://en.wikipedia.org/wiki/Princess_Isabella_of_Denmark
Dominican Republic,2,Brieana Hallo,http://www.wikidata.org/entity/Q85004797,wd:Q85004797,63101787.0,Dominican association football player,Brieana Zuly Hallo (born 20 November 2003) is an American-born Dominican footballer who plays as a forward for Padua Academy and as a midfielder for the Dominican Republic women's national team.,https://en.wikipedia.org/wiki/Brieana_Hallo
East Timor,3,Maria Vitória,http://www.wikidata.org/entity/Q28128893,wd:Q28128893,,,--,--
Ecuador,28,Helena Gualinga,http://www.wikidata.org/entity/Q78185644,wd:Q78185644,62612546.0,Ecuadorian environmental and human rights activist,"Sumak Helena Sirén Gualinga (born February 27, 2002) is an Ecuadorian environmental and human rights activist from the Kichwa Sarayaku community in Pastaza, Ecuador.",https://en.wikipedia.org/wiki/Helena_Gualinga
Egypt,11,Awak Kuier,http://www.wikidata.org/entity/Q60035092,wd:Q60035092,66913637.0,Finnish basketball player,"Awak Kuier (born 19 August 2001) is a Finnish basketball player with the Dallas Wings and the Finnish national team. Selected by the Wings with the second overall pick in the 2021 WNBA Draft, she was the second Finnish player in the history of the league after Taru Tuukkanen to be drafted, and she became the first Finnish player to play in the WNBA in May 2021.

",https://en.wikipedia.org/wiki/Awak_Kuier
El Salvador,3,Marjorie Herrera,http://www.wikidata.org/entity/Q28501667,wd:Q28501667,69051653.0,Salvadoran chess player,"Marjorie Armida Herrera Pérez (born 22 January 2001) is a Salvadoran chess player. She competed in the 42nd Chess Olympiad in 2016, held in Baku, at the age of 15. She has won the Salvadoran Women's Chess Championship twice (2016 and 2019).",https://en.wikipedia.org/wiki/Marjorie_Herrera
Equatorial Guinea,10,Salma Paralluelo,http://www.wikidata.org/entity/Q61762234,wd:Q61762234,70355535.0,Spanish association football player and athletics competitor,"Salma Celeste Paralluelo Ayingono (born 13 November 2003) is a Spanish professional footballer and former sprinter who plays as a left winger for Liga F club FC Barcelona and the Spain women's national team.

",https://en.wikipedia.org/wiki/Salma_Paralluelo
Eritrea,1,Artemis Hoseyni,http://www.wikidata.org/entity/Q81903692,wd:Q81903692,,,--,--
Estonia,25,Kelly Sildaru,http://www.wikidata.org/entity/Q20921043,wd:Q20921043,49263355.0,Estonian freestyle skier,Kelly Sildaru (Estonian pronunciation: [ˈkelʲˑi ˈsilˑdɑ.ru]; born 17 February 2002) is an Estonian Olympic freestyle skier.,https://en.wikipedia.org/wiki/Kelly_Sildaru
Ethiopia,10,Lemlem Hailu,http://www.wikidata.org/entity/Q67135705,wd:Q67135705,61948096.0,Ethiopian middle-distance runner,"Lemlem Hailu (born 21 May 2001) is an Ethiopian middle- and long-distance runner. She is the 2022 World indoor champion at the 3000 metres from Belgrade 22. Hailu represented Ethiopia in the women's 1500 metres at the 2019 World Championships and the 2020 Tokyo Olympics.
At 16, she was the 1500m 2017 World Youth champion to take bronze at the Youth Olympic Games a year later, and bronze at the African Games in 2019. Hailu holds the current world under-20 record for the indoor 1500 metres.",https://en.wikipedia.org/wiki/Lemlem_Hailu
Federated States of Micronesia,3,Taeyanna Adams,http://www.wikidata.org/entity/Q107583216,wd:Q107583216,68273368.0,Micronesian swimmer,"Taeyanna Adams (born March 14, 2002) is a Micronesian swimmer, who is the national record holder in multiple events. She competed in the 100 metre breaststroke event at the delayed 2020 Summer Olympics.",https://en.wikipedia.org/wiki/Taeyanna_Adams
Fiji,3,Sally Yee,http://www.wikidata.org/entity/Q26789890,wd:Q26789890,51445832.0,Fijian table tennis player,"Sally Yee (born April 10, 2001) is a Fijian table tennis player who represented Fiji at the 2020 Summer Olympics. She also competed in the 2016 Summer Olympics in the women's singles event. She won 3 silver medals and a bronze at the 2019 Pacific Games.",https://en.wikipedia.org/wiki/Sally_Yee
Finland,11,Awak Kuier,http://www.wikidata.org/entity/Q60035092,wd:Q60035092,66913637.0,Finnish basketball player,"Awak Kuier (born 19 August 2001) is a Finnish basketball player with the Dallas Wings and the Finnish national team. Selected by the Wings with the second overall pick in the 2021 WNBA Draft, she was the second Finnish player in the history of the league after Taru Tuukkanen to be drafted, and she became the first Finnish player to play in the WNBA in May 2021.

",https://en.wikipedia.org/wiki/Awak_Kuier
France,22,Thylane Blondeau,http://www.wikidata.org/entity/Q2339202,wd:Q2339202,32691595.0,French Model and actress,"Thylane Léna-Rose Loubry Blondeau (born 2001) is a French model. Blondeau started modeling at a very young age, and in 2007, was titled ""Most Beautiful Girl in The World."" She has modeled for many designers, including Dolce & Gabbana, L'Oréal and Versace.
In 2018, she founded her own clothing brand, Heaven May, and topped TC Candler's ""100 Most Beautiful Faces.""

",https://en.wikipedia.org/wiki/Thylane_Blondeau
Gabon,4,Aya Girard de Langlade Mpali,http://www.wikidata.org/entity/Q107653119,wd:Q107653119,68330193.0,Gabonese swimmer,"Aya Girard de Langlade Mpali (born 24 June 2004) is a Gabonese swimmer who has represented her country in international competitions. She was chosen, together with her brother, to compete at the postponed 2020 Summer Olympics in Tokyo, swimming in the women's 50 metre freestyle heats.",https://en.wikipedia.org/wiki/Aya_Girard_de_Langlade_Mpali
Georgia,22,Mariam Mamadashvili,http://www.wikidata.org/entity/Q27892748,wd:Q27892748,52332635.0,Georgian singer and stage actress,"Mariam Mamadashvili (Georgian: მარიამ მამადაშვილი, born 16 November 2005) is a Georgian singer. She won the Junior Eurovision Song Contest 2016 where she represented Georgia with the song ""Mzeo"". She moved to the United States in 2015.",https://en.wikipedia.org/wiki/Mariam_Mamadashvili
Germany,26,Viki Gabor,http://www.wikidata.org/entity/Q69349910,wd:Q69349910,62423260.0,Polish singer,"Wiktoria ""Viki"" Gabor (born 10 July 2007) is a Polish singer. She began her career in 2019, as a runner-up on the second season of The Voice Kids Poland, and then later won the Junior Eurovision Song Contest 2019 with the song ""Superhero"". She is the second Polish entrant to win the contest, and her win marked the first time a country had won the contest twice in a row, and on homesoil.",https://en.wikipedia.org/wiki/Viki_Gabor
Ghana,10,Mukarama Abdulai,http://www.wikidata.org/entity/Q58980616,wd:Q58980616,59244672.0,Ghanaian national under 17 women's world cup top scorer,"Mukarama Abdulai (born 16 October 2002) is a Ghanaian professional footballer who last played as a forward for Spanish club Deportivo Alavés, the Black Maidens and the Ghana women's national team.",https://en.wikipedia.org/wiki/Mukarama_Abdulai
Greece,36,Stefania Liberakakis,http://www.wikidata.org/entity/Q61696740,wd:Q61696740,62861324.0,Greek–Dutch singer,"Stefania Liberakakis (Greek: Στεφανία Λυμπερακάκη, romanized: Stefanía Lymperakáki; born 17 December 2002), known simply as Stefania, is a Greek-Dutch singer, voice actress and YouTuber. She is a former member of the girl group Kisses, which represented the Netherlands in the Junior Eurovision Song Contest 2016. In 2020, she was internally selected to represent Greece in the Eurovision Song Contest 2020 with the song ""Supergirl"", but this edition of the contest was later cancelled due to the COVID-19 pandemic. The Greek broadcaster ERT decided that Liberakakis would represent Greece in the 2021 contest, this time with the song ""Last Dance"", with which she finished in tenth place.",https://en.wikipedia.org/wiki/Stefania_(singer)
