Source.Name,river,riverLabel,country,countryLabel,length
query (2).csv,http://www.wikidata.org/entity/Q12298978,Q12298978,http://www.wikidata.org/entity/Q41,Greece,21
query (2).csv,http://www.wikidata.org/entity/Q12298978,Q12298978,http://www.wikidata.org/entity/Q219,Bulgaria,21
query (2).csv,http://www.wikidata.org/entity/Q12299373,Shirokolashka River,http://www.wikidata.org/entity/Q219,Bulgaria,29
query (2).csv,http://www.wikidata.org/entity/Q125749,Jugowska,http://www.wikidata.org/entity/Q41,Greece,45
query (2).csv,http://www.wikidata.org/entity/Q2448969,Vacha,http://www.wikidata.org/entity/Q219,Bulgaria,112
query (2).csv,http://www.wikidata.org/entity/Q2448969,Vacha,http://www.wikidata.org/entity/Q41,Greece,112
query (2).csv,http://www.wikidata.org/entity/Q12279772,Q12279772,http://www.wikidata.org/entity/Q41,Greece,20
query (2).csv,http://www.wikidata.org/entity/Q12279772,Q12279772,http://www.wikidata.org/entity/Q219,Bulgaria,20
query (2).csv,http://www.wikidata.org/entity/Q1650,Weser,http://www.wikidata.org/entity/Q183,Germany,451
query (2).csv,http://www.wikidata.org/entity/Q1650,Weser,http://www.wikidata.org/entity/Q183,Germany,451
query (2).csv,http://www.wikidata.org/entity/Q125749,Jugowska,http://www.wikidata.org/entity/Q219,Bulgaria,45
query (2).csv,http://www.wikidata.org/entity/Q12299373,Shirokolashka River,http://www.wikidata.org/entity/Q41,Greece,29
query (2).csv,http://www.wikidata.org/entity/Q358177,Matrosovka,http://www.wikidata.org/entity/Q184,Belarus,43
query (2).csv,http://www.wikidata.org/entity/Q723864,Katun,http://www.wikidata.org/entity/Q148,People's Republic of China,688
query (2).csv,http://www.wikidata.org/entity/Q999149,Bukhtarma River,http://www.wikidata.org/entity/Q148,People's Republic of China,336
query (2).csv,http://www.wikidata.org/entity/Q1357045,Koksa River,http://www.wikidata.org/entity/Q148,People's Republic of China,131
query (2).csv,http://www.wikidata.org/entity/Q1808438,Chulyshman,http://www.wikidata.org/entity/Q148,People's Republic of China,241
query (2).csv,http://www.wikidata.org/entity/Q8493,Amu Darya,http://www.wikidata.org/entity/Q889,Afghanistan,2620
query (2).csv,http://www.wikidata.org/entity/Q1670,Main,http://www.wikidata.org/entity/Q183,Germany,524
query (2).csv,http://www.wikidata.org/entity/Q247124,Lez,http://www.wikidata.org/entity/Q142,France,358
query (2).csv,http://www.wikidata.org/entity/Q247124,Lez,http://www.wikidata.org/entity/Q228,Andorra,358
query (2).csv,http://www.wikidata.org/entity/Q830986,Lèze,http://www.wikidata.org/entity/Q228,Andorra,703
query (2).csv,http://www.wikidata.org/entity/Q1127173,Rance,http://www.wikidata.org/entity/Q142,France,102
query (2).csv,http://www.wikidata.org/entity/Q2892053,Baup,http://www.wikidata.org/entity/Q142,France,201
query (2).csv,http://www.wikidata.org/entity/Q830986,Lèze,http://www.wikidata.org/entity/Q142,France,703
query (2).csv,http://www.wikidata.org/entity/Q1094808,Salat,http://www.wikidata.org/entity/Q228,Andorra,745
query (2).csv,http://www.wikidata.org/entity/Q1094808,Salat,http://www.wikidata.org/entity/Q142,France,745
query (2).csv,http://www.wikidata.org/entity/Q2063591,Tech,http://www.wikidata.org/entity/Q142,France,841
query (2).csv,http://www.wikidata.org/entity/Q2063591,Tech,http://www.wikidata.org/entity/Q228,Andorra,841
query (2).csv,http://www.wikidata.org/entity/Q2892053,Baup,http://www.wikidata.org/entity/Q228,Andorra,201
query (2).csv,http://www.wikidata.org/entity/Q1674800,Issumer Fleuth,http://www.wikidata.org/entity/Q183,Germany,24846
query (2).csv,http://www.wikidata.org/entity/Q1499477,Gelderner Fleuth,http://www.wikidata.org/entity/Q183,Germany,26712
query (2).csv,http://www.wikidata.org/entity/Q218262,Ouche,http://www.wikidata.org/entity/Q142,France,954
query (2).csv,http://www.wikidata.org/entity/Q209031,Narva,http://www.wikidata.org/entity/Q191,Estonia,738
query (2).csv,http://www.wikidata.org/entity/Q1688,Elde,http://www.wikidata.org/entity/Q183,Germany,208
query (2).csv,http://www.wikidata.org/entity/Q315093,Rossel,http://www.wikidata.org/entity/Q142,France,38
query (2).csv,http://www.wikidata.org/entity/Q153972,Saar,http://www.wikidata.org/entity/Q142,France,246
query (2).csv,http://www.wikidata.org/entity/Q27987333,Zinsel du Sud,http://www.wikidata.org/entity/Q142,France,309
query (2).csv,http://www.wikidata.org/entity/Q153972,Saar,http://www.wikidata.org/entity/Q142,France,246
query (2).csv,http://www.wikidata.org/entity/Q210312,Nied,http://www.wikidata.org/entity/Q142,France,114
query (2).csv,http://www.wikidata.org/entity/Q153972,Saar,http://www.wikidata.org/entity/Q142,France,246
query (2).csv,http://www.wikidata.org/entity/Q650433,Kander,http://www.wikidata.org/entity/Q183,Germany,295
query (2).csv,http://www.wikidata.org/entity/Q27991870,Soie,http://www.wikidata.org/entity/Q142,France,88
query (2).csv,http://www.wikidata.org/entity/Q19952290,De Pontois River,http://www.wikidata.org/entity/Q16,Canada,61
query (2).csv,http://www.wikidata.org/entity/Q1708483,Wiltz,http://www.wikidata.org/entity/Q31,Belgium,42
query (2).csv,http://www.wikidata.org/entity/Q1343322,Desaguadero River,http://www.wikidata.org/entity/Q750,Bolivia,436
query (2).csv,http://www.wikidata.org/entity/Q2363673,Rio Mendoza,http://www.wikidata.org/entity/Q414,Argentina,273
query (2).csv,http://www.wikidata.org/entity/Q3503,Congo,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,4700
query (2).csv,http://www.wikidata.org/entity/Q20516535,Tsakhut,http://www.wikidata.org/entity/Q399,Armenia,3
query (2).csv,http://www.wikidata.org/entity/Q41986,Meuse,http://www.wikidata.org/entity/Q142,France,950
query (2).csv,http://www.wikidata.org/entity/Q206850,Red River,http://www.wikidata.org/entity/Q148,People's Republic of China,1149
query (2).csv,http://www.wikidata.org/entity/Q6114866,Blackfoot River,http://www.wikidata.org/entity/Q16,Canada,120
query (2).csv,http://www.wikidata.org/entity/Q6114866,Blackfoot River,http://www.wikidata.org/entity/Q16,Canada,200
