country,number,Column1,item,item_id,shortform,pageid,wikidata_description
Equatorial Guinea,56,2,Bata,http://www.wikidata.org/entity/Q320792,wd:Q320792,1692372,city in Equatorial Guinea
Eritrea,58,2,Massawa,http://www.wikidata.org/entity/Q275635,wd:Q275635,555921,city on the Red Sea coast of Eritrea
Estonia,122,2,Tartu,http://www.wikidata.org/entity/Q13972,wd:Q13972,31627,second largest city of Estonia
Eswatini,85,2,Lobamba,http://www.wikidata.org/entity/Q101418,wd:Q101418,2302232,city in Eswatini
Ethiopia,78,2,Axum,http://www.wikidata.org/entity/Q5832,wd:Q5832,310208,Ethiopian city
Fiji,42,2,Lautoka,http://www.wikidata.org/entity/Q856662,wd:Q856662,712713,"city in Ba Province, Fiji"
Finland,131,2,Tampere,http://www.wikidata.org/entity/Q40840,wd:Q40840,68836,city in the region of Pirkanmaa in Finland
France,183,2,Marseille,http://www.wikidata.org/entity/Q23482,wd:Q23482,40888948,"commune in Bouches-du-Rhône, the second largest city of France"
Gabon,52,2,Port-Gentil,http://www.wikidata.org/entity/Q501715,wd:Q501715,1248129,city in Gabon
Georgia,120,2,Sukhumi,http://www.wikidata.org/entity/Q40811,wd:Q40811,4305442,"capital of Abkhazia, considered part of Georgia by most countries"
Ghana,79,2,Kumasi,http://www.wikidata.org/entity/Q182059,wd:Q182059,417498,second largest city of Ghana
Greece,136,2,Thessaloniki,http://www.wikidata.org/entity/Q17151,wd:Q17151,40471,"city in Greece, Central Macedonia"
Grenada,21,2,Hillsborough,http://www.wikidata.org/entity/Q3267362,wd:Q3267362,9511920,"city in Carriacou, Grenada"
Guatemala,64,2,Antigua Guatemala,http://www.wikidata.org/entity/Q212773,wd:Q212773,154609,city in the central highlands of Guatemala
Guinea,38,2,Labé,http://www.wikidata.org/entity/Q1020384,wd:Q1020384,1587028,city in Guinea
Guinea-Bissau,37,2,Bafatá,http://www.wikidata.org/entity/Q799788,wd:Q799788,1537664,town in Guinea-Bissau
Guyana,29,2,Linden,http://www.wikidata.org/entity/Q741134,wd:Q741134,2062699,city in Guyana
Haiti,49,2,Cap-Haïtien,http://www.wikidata.org/entity/Q216835,wd:Q216835,463975,city in Haiti
Honduras,60,2,San Pedro Sula,http://www.wikidata.org/entity/Q274584,wd:Q274584,207598,"municipality in Cortes Departement, Honduras"
Hungary,113,2,Debrecen,http://www.wikidata.org/entity/Q79880,wd:Q79880,221746,city in Hungary
Iceland,93,2,Akureyri,http://www.wikidata.org/entity/Q29042,wd:Q29042,101208,town in Iceland
India,201,2,New Delhi,http://www.wikidata.org/entity/Q987,wd:Q987,51585,capital city of India
Indonesia,108,2,Surabaya,http://www.wikidata.org/entity/Q11462,wd:Q11462,212635,"city and capital of East Java, Indonesia"
Iran,125,2,Isfahan,http://www.wikidata.org/entity/Q42053,wd:Q42053,223149,"City in Iran, Isfahan province, center of Isfahan county"
Iraq,112,2,Mosul,http://www.wikidata.org/entity/Q83317,wd:Q83317,200475,city in northern Iraq and capital of Nineveh Province
Republic of Ireland,107,2,Cork,http://www.wikidata.org/entity/Q36647,wd:Q36647,8140815,"city in Munster, Ireland"
Israel,169,2,Tel Aviv,http://www.wikidata.org/entity/Q33935,wd:Q33935,31453,city in Israel
Italy,208,2,Venice,http://www.wikidata.org/entity/Q641,wd:Q641,32616,"capital city of Veneto, Italy"
Jamaica,50,2,Montego Bay,http://www.wikidata.org/entity/Q637555,wd:Q637555,396757,"capital of Saint James Parish, Jamaica"
Japan,196,2,Kyoto,http://www.wikidata.org/entity/Q34600,wd:Q34600,37652,"city in Kyōto prefecture, Japan"
Jordan,108,2,Petra,http://www.wikidata.org/entity/Q5788,wd:Q5788,45008,ancient city in southern Jordan
Kazakhstan,141,2,Almaty,http://www.wikidata.org/entity/Q35493,wd:Q35493,159577,former capital of Kazakhstan and the nation's largest city
Kenya,101,2,Mombasa,http://www.wikidata.org/entity/Q225641,wd:Q225641,200152,city in Kenya
Kiribati,8,2,Teaoraereke,http://www.wikidata.org/entity/Q10378793,wd:Q10378793,64453906,small city in Kiribati
Kosovo,69,2,Prizren,http://www.wikidata.org/entity/Q200061,wd:Q200061,283938,City in Kosovo
Kyrgyzstan,93,2,Osh,http://www.wikidata.org/entity/Q47282,wd:Q47282,1300057,city in Kyrgyzstan
Laos,79,2,Luang Prabang,http://www.wikidata.org/entity/Q190165,wd:Q190165,203677,city located in north central Laos
Latvia,95,2,Daugavpils,http://www.wikidata.org/entity/Q80021,wd:Q80021,189416,city in south-eastern Latvia
Lebanon,96,2,Tyre,http://www.wikidata.org/entity/Q82070,wd:Q82070,30796,"city in the South Governorate of Lebanon, also an ancient Phoenician city and the legendary birthplace of Europa and Elissa (Dido)"
Lesotho,36,2,Teyateyaneng,http://www.wikidata.org/entity/Q844423,wd:Q844423,3494123,city in Lesotho
Liberia,26,2,Buchanan,http://www.wikidata.org/entity/Q269222,wd:Q269222,1561389,"human settlement in Grand Bassa County, Liberia"
Libya,97,2,Benghazi,http://www.wikidata.org/entity/Q40816,wd:Q40816,204114,second largest city in Libya
Lithuania,132,2,Kaunas,http://www.wikidata.org/entity/Q4115712,wd:Q4115712,171627,city and administrative center of Kaunas County in Lithuania
Luxembourg,62,2,Esch-sur-Alzette,http://www.wikidata.org/entity/Q16010,wd:Q16010,245366,city in Luxembourg
Madagascar,56,2,Toamasina,http://www.wikidata.org/entity/Q178067,wd:Q178067,1497539,port city in eastern Madagascar
Malawi,72,2,Blantyre,http://www.wikidata.org/entity/Q188693,wd:Q188693,642604,city in Malawi
Malaysia,84,2,Putrajaya,http://www.wikidata.org/entity/Q182378,wd:Q182378,59569,federal administrative centre of Malaysia
Maldives,14,2,Addu City,http://www.wikidata.org/entity/Q4681407,wd:Q4681407,898257,City in Maldives
Mali,118,2,Timbuktu,http://www.wikidata.org/entity/Q9427,wd:Q9427,254061,city in Mali
Malta,68,2,Birkirkara,http://www.wikidata.org/entity/Q39583,wd:Q39583,661357,city in Malta
Mauritania,61,2,Nouadhibou,http://www.wikidata.org/entity/Q184184,wd:Q184184,426976,city in Mauritania
Mauritius,22,2,Port Mathurin,http://www.wikidata.org/entity/Q1021638,wd:Q1021638,1677923,"city in Rodrigues, Mauritius"
Mexico,166,2,Guadalajara,http://www.wikidata.org/entity/Q9022,wd:Q9022,73209,capital and largest city of Mexican state Jalisco
Moldova,101,2,Tiraspol,http://www.wikidata.org/entity/Q132572,wd:Q132572,99484,capital of Transnistria
Mongolia,64,2,Erdenet,http://www.wikidata.org/entity/Q230628,wd:Q230628,791359,"capital city of Orkhon Province, Mongolia"
Montenegro,79,2,Cetinje,http://www.wikidata.org/entity/Q173338,wd:Q173338,277568,city in Montenegro
Morocco,135,2,Casablanca,http://www.wikidata.org/entity/Q7903,wd:Q7903,7301,major city in Morocco
Mozambique,56,2,Beira,http://www.wikidata.org/entity/Q211563,wd:Q211563,894054,city in Mozambique
Myanmar,137,2,Yangon,http://www.wikidata.org/entity/Q37995,wd:Q37995,57404,former capital of Myanmar (Burma) and the current capital of Yangon Region
Namibia,65,2,Walvis Bay,http://www.wikidata.org/entity/Q220843,wd:Q220843,42895,"city and harbour in Erongo Region, Namibia"
Nepal,67,2,Pokhara,http://www.wikidata.org/entity/Q6640,wd:Q6640,1037033,metropolitan city of Nepal
Netherlands,160,2,Rotterdam,http://www.wikidata.org/entity/Q34370,wd:Q34370,26049,"city in South Holland, the Netherlands"
New Zealand,146,2,Auckland,http://www.wikidata.org/entity/Q37100,wd:Q37100,18660332,city on the North Island New Zealand
Nicaragua,57,2,León,http://www.wikidata.org/entity/Q208151,wd:Q208151,272888,city in Nicaragua
Niger,49,2,Zinder,http://www.wikidata.org/entity/Q204365,wd:Q204365,426981,city in Niger
Nigeria,166,2,Lagos,http://www.wikidata.org/entity/Q8673,wd:Q8673,85232,city in Nigeria
North Korea,63,2,Hamhung,http://www.wikidata.org/entity/Q109356,wd:Q109356,920171,city in North Korea
North Macedonia,84,2,Ohrid,http://www.wikidata.org/entity/Q1223508,wd:Q1223508,639333,city in North Macedonia
Norway,136,2,Bergen,http://www.wikidata.org/entity/Q26793,wd:Q26793,56494,"Norwegian city in Vestland, Norway"
Oman,51,2,Salalah,http://www.wikidata.org/entity/Q1294439,wd:Q1294439,1518956,city in Oman
Pakistan,175,2,Islamabad,http://www.wikidata.org/entity/Q1362,wd:Q1362,51153,capital city of Pakistan
Palau,47,2,Koror,http://www.wikidata.org/entity/Q527748,wd:Q527748,54848517,city and former capital of Palau
State of Palestine,111,2,Ramallah,http://www.wikidata.org/entity/Q158119,wd:Q158119,44132,city in the State of Palestine
Panama,46,2,Colón City,http://www.wikidata.org/entity/Q12825018,wd:Q12825018,350005,sea port on the Caribbean Sea (Atlantic) coast of Panama
Papua New Guinea,49,2,Lae,http://www.wikidata.org/entity/Q612250,wd:Q612250,527861,city in Papua New Guinea
Paraguay,64,2,Ciudad del Este,http://www.wikidata.org/entity/Q192235,wd:Q192235,297076,"city and departmental capital of Alto Paraná, Paraguay"
Peru,134,2,Machu Picchu,http://www.wikidata.org/entity/Q676203,wd:Q676203,80019,15th-century Inca citadel in the Peruvian Andes and UNESCO World Heritage Site
Philippines,89,2,Quezon City,http://www.wikidata.org/entity/Q1475,wd:Q1475,284223,city of the Philippines in Metro Manila
Poland,191,2,Łobez,http://www.wikidata.org/entity/Q196163,wd:Q196163,4366789,city of Poland
Portugal,127,2,Porto,http://www.wikidata.org/entity/Q36433,wd:Q36433,100715,municipality and city in Portugal
Qatar,43,2,Al Wakrah,http://www.wikidata.org/entity/Q310893,wd:Q310893,3623001,city of Qatar
Romania,110,2,Cluj-Napoca,http://www.wikidata.org/entity/Q100188,wd:Q100188,97404,city and seat of Cluj County in northwestern Romania
Russia,249,2,Saint Petersburg,http://www.wikidata.org/entity/Q656,wd:Q656,24320051,federal city in and former capital of Russia
Rwanda,45,2,Butare,http://www.wikidata.org/entity/Q509739,wd:Q509739,3366673,city in Rwanda
Saint Vincent and the Grenadines,15,2,Layou,http://www.wikidata.org/entity/Q2630835,wd:Q2630835,3385378,"place in Saint Vincent, Saint Vincent and the Grenadines"
São Tomé and Príncipe,20,2,Trindade,http://www.wikidata.org/entity/Q1635802,wd:Q1635802,667383,town in São Tomé and Príncipe
Saudi Arabia,171,2,Riyadh,http://www.wikidata.org/entity/Q3692,wd:Q3692,51554,capital of Saudi Arabia
Senegal,61,2,Saint-Louis,http://www.wikidata.org/entity/Q273779,wd:Q273779,527962,city and regional capital in Senegal
Serbia,104,2,Novi Sad,http://www.wikidata.org/entity/Q55630,wd:Q55630,113288,"city in Serbia, capital of the province of Vojvodina"
Sierra Leone,38,2,Kenema,http://www.wikidata.org/entity/Q634698,wd:Q634698,1561520,city in Sierra Leone
Singapore,11,2,Bukit Merah,http://www.wikidata.org/entity/Q4986926,wd:Q4986926,1723285,"planning area and HDB town in Central Region, Singapore"
Slovakia,103,2,Košice,http://www.wikidata.org/entity/Q25409,wd:Q25409,310708,city in Slovakia
Slovenia,96,2,Maribor,http://www.wikidata.org/entity/Q1010,wd:Q1010,20670,city in Slovenia
Somalia,45,2,Kismayo,http://www.wikidata.org/entity/Q270787,wd:Q270787,1196988,port city in the southern Lower Juba province of Somalia and also the capital of the new jubaland republic
South Africa,169,2,Pretoria,http://www.wikidata.org/entity/Q3926,wd:Q3926,25002,administrative capital of South Africa located in the Gauteng province
South Korea,127,2,Busan,http://www.wikidata.org/entity/Q16520,wd:Q16520,68115,metropolitan city of South Korea
South Sudan,45,2,Malakal,http://www.wikidata.org/entity/Q220049,wd:Q220049,2693658,city
Spain,224,2,Barcelona,http://www.wikidata.org/entity/Q1492,wd:Q1492,4443,"capital of Catalonia, Spain"
Sri Lanka,116,2,Sri Jayawardenepura Kotte,http://www.wikidata.org/entity/Q41963,wd:Q41963,572195,administrative capital of Sri Lanka
Sudan,65,2,Omdurman,http://www.wikidata.org/entity/Q180921,wd:Q180921,100414,city in Sudan
Suriname,12,2,Domburg,http://www.wikidata.org/entity/Q650018,wd:Q650018,25936502,city in Suriname
Sweden,147,2,Gothenburg,http://www.wikidata.org/entity/Q25287,wd:Q25287,11861,second-largest city in Sweden and capital of the Västra Götaland County
Switzerland,180,2,Zürich,http://www.wikidata.org/entity/Q72,wd:Q72,40334603,"capital of the canton of Zürich, Switzerland"
Syria,134,2,Aleppo,http://www.wikidata.org/entity/Q41183,wd:Q41183,159244,"city and governorate capital of Aleppo, Syria"
Taiwan,81,2,Kaohsiung,http://www.wikidata.org/entity/Q181557,wd:Q181557,17015,special municipality of Taiwan
Tajikistan,79,2,Khujand,http://www.wikidata.org/entity/Q373808,wd:Q373808,861325,city in Tajikistan
Tanzania,128,2,Dar es Salaam,http://www.wikidata.org/entity/Q1960,wd:Q1960,8500,city in Tanzania
Thailand,81,2,Pattaya,http://www.wikidata.org/entity/Q170919,wd:Q170919,712796,"city in Chonburi province, Thailand"
East Timor,36,2,Baucau,http://www.wikidata.org/entity/Q811130,wd:Q811130,4207935,city
Togo,39,2,Sokodé,http://www.wikidata.org/entity/Q845097,wd:Q845097,501745,city
Trinidad and Tobago,42,2,Chaguanas,http://www.wikidata.org/entity/Q1444575,wd:Q1444575,1025800,"city in central Trinidad, Trinidad and Tobago"
Tunisia,110,2,Carthage,http://www.wikidata.org/entity/Q6343,wd:Q6343,6555,city-state in the Antiquity
Turkey,262,2,Istanbul,http://www.wikidata.org/entity/Q406,wd:Q406,3391396,largest city in Turkey
Turkmenistan,65,2,Türkmenabat,http://www.wikidata.org/entity/Q487684,wd:Q487684,967386,City of Turkmenistan
Uganda,58,2,Entebbe,http://www.wikidata.org/entity/Q211970,wd:Q211970,297696,city in Uganda
Ukraine,148,2,Kharkiv,http://www.wikidata.org/entity/Q42308,wd:Q42308,2788558,capital city of Kharkiv Oblast in eastern Ukraine
United Arab Emirates,171,2,Abu Dhabi,http://www.wikidata.org/entity/Q1519,wd:Q1519,18950756,capital city of the United Arab Emirates
United Kingdom,200,2,Gibraltar,http://www.wikidata.org/entity/Q1410,wd:Q1410,7607314,British Overseas Territory
Uruguay,62,2,Colonia del Sacramento,http://www.wikidata.org/entity/Q56064,wd:Q56064,529783,"City in Uruguay, departmental capital of Colonia"
Uzbekistan,133,2,Samarkand,http://www.wikidata.org/entity/Q5753,wd:Q5753,51491,city in Uzbekistan
Vanuatu,5,2,Norsup,http://www.wikidata.org/entity/Q11792967,wd:Q11792967,41467941,city in Vanuatu
Venezuela,116,2,Mérida,http://www.wikidata.org/entity/Q23551,wd:Q23551,12650075,city in Venezuela
Vietnam,228,2,Đồng Hới,http://www.wikidata.org/entity/Q1877,wd:Q1877,4589979,"capital of Quảng Bình province, Vietnam"
Yemen,99,2,Aden,http://www.wikidata.org/entity/Q131694,wd:Q131694,38050,city in Yemen
Zambia,54,2,Ndola,http://www.wikidata.org/entity/Q219671,wd:Q219671,1199212,City in Zambia
Zimbabwe,72,2,Bulawayo,http://www.wikidata.org/entity/Q193250,wd:Q193250,355237,City in Zimbabwe
People's Republic of China,275,2,Hong Kong,http://www.wikidata.org/entity/Q8646,wd:Q8646,13404,special administrative region of China
Germany,227,2,Uetersen,http://www.wikidata.org/entity/Q1404,wd:Q1404,4813968,German town in Schleswig-Holstein
