Unnamed: 0,0,1,2
70,Kuwait,15.0,Battle of Chains
71,Kyrgyzstan,6.0,Tang campaign against Karakhoja
72,Latvia,30.0,Battle of Saule
73,Lebanon,17.0,Battle of Marj Ayyun
74,Liberia,8.0,Battle of Guinea
75,Libya,7.0,Siege of Tripoli
76,Lithuania,30.0,Battle of Saule
77,Luxembourg,5.0,Battle of Remich
78,Madagascar,4.0,Battle of Tamatave
79,Malaysia,10.0,Siege of Malacca
80,Mali,10.0,Battle of Kirina
81,Malta,11.0,Invasion of Gozo
82,Marshall Islands,7.0,Battle of Kili
83,Mauritania,5.0,Battle of Tabfarilla
84,Mauritius,2.0,Action of 22 October 1794
85,Mexico,27.0,La Noche Triste
86,Moldova,24.0,Treaty of the Pruth
87,Monaco,16.0,Battle of Meloria
88,Mongolia,7.0,Battle of Buyur Lake
89,Montenegro,27.0,Serbian Revolution
90,Morocco,26.0,Battle of Alcácer Quibir
91,Myanmar,8.0,Battle of Negapatam
92,Nepal,5.0,Battle of Kirtipur
93,Netherlands,37.0,Battle of Sluys
94,New Zealand,11.0,Hatepe eruption
95,Nicaragua,4.0,San Juan Expedition
96,Nigeria,8.0,Battle of Guinea
97,North Korea,20.0,Battle of Salsu
98,North Macedonia,29.0,Battle of Kleidion
99,Norway,25.0,Battle of Stiklestad
100,Oman,7.0,Capture of Muscat
101,Pakistan,47.0,Battle of the Hydaspes
102,Panama,7.0,Battle of Porto Bello
103,Papua New Guinea,8.0,Billy Mitchell
104,Paraguay,5.0,Battle of San Nicolás
105,China,54.0,1556 Shaanxi earthquake
106,Peru,20.0,Battle of Cajamarca
107,Philippines,19.0,Battle of Mactan
108,Poland,66.0,Battle of Grunwald
109,Portugal,56.0,1755 Lisbon earthquake
110,Qatar,4.0,Afsharid Conquests in the Persian Gulf & Oman
111,Ireland,38.0,Battle of the Boyne
112,Romania,35.0,Treaty of Bucharest
113,Russia,58.0,Battle of Borodino
117,San Marino,5.0,Battle of Serravalle
118,São Tomé & Príncipe,8.0,Battle of Guinea
119,Saudi Arabia,70.0,Battle of Badr
120,Senegal,5.0,Capture of Gorée
121,Serbia,40.0,treaty of Passarowitz
122,Seychelles,2.0,Battle of Mahé
123,Slovakia,42.0,Peace of Pressburg
124,Slovenia,31.0,Battle of the Frigidus
125,Somalia,2.0,Battle of Barawa
126,South Africa,5.0,Battle of Saldanha Bay
127,South Korea,17.0,Battle of Myeongnyang
128,Spain,73.0,Battle of Trafalgar
129,Sri Lanka,8.0,Battle of Negapatam
130,Palestinian Territories,27.0,Battle of Raphia
131,Suriname,6.0,Battle of Suriname
132,Sweden,47.0,Treaty of Nystad
133,Switzerland,32.0,Battle of Ticinus
134,Syria,51.0,Battle of Kadesh
135,Taiwan,9.0,Battle of Penghu
136,Tajikistan,8.0,Battle of Oxus River
137,Tanzania,38.0,Olduvai Gorge
138,Thailand,8.0,Siamese revolution of 1688
139,Bahamas,7.0,Battle of Nassau
140,Togo,8.0,Battle of Guinea
141,Trinidad & Tobago,4.0,Invasion of Tobago
142,Tunisia,26.0,Battle of Thapsus
143,Turkey,65.0,Council of Chalcedon
144,Turkmenistan,10.0,Battle of Marv
145,Ukraine,55.0,Battle of Poltava
146,United Arab Emirates,4.0,Afsharid Conquests in the Persian Gulf & Oman
147,United Kingdom,77.0,Battle of Hastings
