0,1,2,3,4,5,6,7
Kyrgyzstan,Central Asia,Asia,"2,309,235",36.6,"6,304,030",[132][failed verification],2021
Lithuania,Northern Europe,Europe,"2,243,448",80.1,"2,801,264",[133][failed verification],2021
Niger,Western Africa,Africa,"2,194,985",9.8,"22,442,831",[134][failed verification],2021
Albania,Southern Europe,Europe,"2,105,339",73.0,"2,882,740",[135][failed verification],2021
Armenia,Western Asia,Asia,"2,043,110",69.2,"2,951,745",[136][failed verification],2021
El Salvador,Central America,Americas,"1,993,079",31.0,"6,420,746",[137][failed verification],2021
Tajikistan,Central Asia,Asia,"1,959,127",21.5,"9,100,835",[138][failed verification],2021
Lao People's Democratic Republic,South-eastern Asia,Asia,"1,749,517",24.8,"7,061,507",[139][failed verification],2021
Nicaragua,Central America,Americas,"1,732,218",26.8,"6,465,501",[140][failed verification],2021
Slovenia,Southern Europe,Europe,"1,640,893",79.0,"2,077,837",[141][failed verification],2021
North Macedonia,Southern Europe,Europe,"1,589,659",76.3,"2,082,957",[142][failed verification],2021
Latvia,Northern Europe,Europe,"1,585,471",82.2,"1,928,459",[143][failed verification],2021
Benin,Western Africa,Africa,"1,578,008",13.7,"11,485,044",[144][failed verification],2021
Guinea,Western Africa,Africa,"1,449,758",11.7,"12,414,293",[145][failed verification],2021
Bahrain,Western Asia,Asia,"1,431,090",91.2,"1,569,446",[146][failed verification],2021
Jamaica,Caribbean,Americas,"1,409,888",48.0,"2,934,847",[147][failed verification],2021
Libya,Northern Africa,Africa,"1,387,116",20.8,"6,678,559",[148][failed verification],2021
Haiti,Caribbean,Americas,"1,353,986",12.2,"11,123,178",[149][failed verification],2021
Turkmenistan,Central Asia,Asia,"1,223,591",20.9,"5,850,901",[150][failed verification],2021
Estonia,Northern Europe,Europe,"1,153,786",87.2,"1,322,920",[151][failed verification],2021
Trinidad and Tobago,Caribbean,Americas,"1,058,744",76.2,"1,389,843",[152][failed verification],2021
Gabon,Middle Africa,Africa,"1,040,000",49.1,"2,119,275",[153][failed verification],2021
Sudan,Eastern Africa,Africa,"1,003,542",9.1,"10,975,927",[154][failed verification],2021
Sierra Leone,Western Africa,Africa,"1,000,575",13.1,"7,650,150",[155][failed verification],2021
