Unnamed: 0,0,1,2
119,Philippines,23,Battle of Manila Bay
120,Poland,66,Battle of Grunwald
121,Portugal,56,1755 Lisbon earthquake
122,Qatar,5,Battle of Al Wajbah
123,Ireland,38,Battle of the Boyne
124,Romania,35,Treaty of Bucharest
125,Russia,107,October Revolution
126,Rwanda,2,Rucunshu Palace Revolution
130,Samoa,2,First Battle of Vailele
131,San Marino,5,1920 San Marino general election
132,Sao Tome & Principe,8,Battle of Guinea
133,Saudi Arabia,70,Battle of Badr
134,Senegal,5,Capture of Goree
135,Serbia,40,treaty of Passarowitz
136,Seychelles,2,Battle of Mahe
137,Singapore,1,1929-1930 Singaporean Badminton Championships
138,Slovakia,42,Peace of Pressburg
139,Slovenia,32,Battle of Lissa
140,Solomon Islands,2,Malaita massacre
141,Somalia,2,Battle of Barawa
142,South Africa,30,Battle of Rorke's Drift
143,South Korea,50,Battle of Tsushima
144,South Sudan,2,Battle of Rejaf
145,Spain,73,Battle of Trafalgar
146,Sri Lanka,8,Battle of Negapatam
147,Palestinian Territories,27,Battle of Raphia
148,Sudan,27,Battle of Omdurman
149,Suriname,6,Battle of Suriname
150,Sweden,47,Treaty of Nystad
151,Switzerland,64,Treaty of Lausanne
152,Syria,51,Battle of Kadesh
153,Taiwan,21,Japanese invasion of Taiwan (1874)
154,Tajikistan,8,Battle of Oxus River
155,Tanzania,68,Anglo-Zanzibar War
156,Thailand,11,Bowring Treaty
157,Bahamas,7,Battle of Nassau
158,Gambia,1,Soninke-Marabout War
159,Togo,8,Battle of Guinea
160,Trinidad & Tobago,4,Invasion of Tobago
161,Tunisia,26,Battle of Thapsus
162,Turkey,65,Council of Chalcedon
163,Turkmenistan,10,Battle of Marv
164,Uganda,1,Battle of Dufile
165,Ukraine,55,Battle of Poltava
166,United Arab Emirates,4,Afsharid Conquests in the Persian Gulf & Oman
167,United Kingdom,77,Battle of Hastings
168,United States,113,United States Declaration of Independence
169,Uruguay,29,1930 FIFA World Cup Final
170,Uzbekistan,11,Battle of Qatwan
171,Vatican City,42,Concordat of Worms
172,Venezuela,16,Battle of Carabobo
173,Vietnam,18,treaty of Saigon
174,Yemen,11,Capture of Aden of 1548
175,Zimbabwe,8,Shangani Patrol
