0,1,2,3,4,5,6
 South Africa *,Africa,Southern Africa,36.4,"21,036",2018,NP
 South Sudan,Africa,Eastern Africa,14.9,"1,504",2012,NP
 Spain *,Europe,Southern Europe,0.6,290,2018,CTS
 Sri Lanka *,Asia,Southern Asia,2.4,514,2018,CTS
 Palestine *,Asia,Western Asia,0.5,24,2018,NSO
 Sudan,Africa,Northern Africa,5.1,"1,702",2008,CTS
 Suriname *,Americas,South America,5.4,31,2017,CTS
 Sweden *,Europe,Northern Europe,1.1,108,2018,CTS
 Switzerland *,Europe,Western Europe,0.6,50,2018,CTS
 Syria,Asia,Western Asia,0.9,149,2018,CTS
 Taiwan *,Asia,Eastern Asia,0.8,192,2015,SDG
 Tajikistan,Asia,Central Asia,1.6,126,2011,CTS
 Thailand *,Asia,South-Eastern Asia,2.6,"1,787",2017,CTS
 East Timor,Asia,South-Eastern Asia,4.1,49,2015,NSO
 Trinidad and Tobago *,Americas,Caribbean,30.6,420,2015,CTS
 Tunisia,Africa,Northern Africa,3.1,332,2012,WHO
 Turkey *,Asia,Western Asia,2.6,"2,133",2018,CTS
 Turkmenistan,Asia,Central Asia,4.2,203,2006,TransMonEE
 Turks and Caicos Islands,Americas,Caribbean,5.7,2,2014,MD
 Uganda,Africa,Eastern Africa,10.5,"4,497",2018,NP
 Ukraine *,Europe,Eastern Europe,6.2,"2,751",2017,CTS
 United Arab Emirates *,Asia,Western Asia,0.5,44,2017,CTS
 United Kingdom *,Europe,Northern Europe,1.2,809,2018,CTS Adjusted
 Tanzania,Africa,Eastern Africa,6.5,"3,439",2016,NSO
 United States *,Americas,Northern America,5,"16,214",2018,FBI
 U.S. Virgin Islands,Americas,Caribbean,49.3,52,2012,MD
 Uruguay,Americas,South America,12.1,416,2018,CTS
 Uzbekistan,Asia,Central Asia,1.1,363,2017,CTS
 Venezuela *,Americas,South America,36.7,"10,598",2018,CTS
 Vietnam *,Asia,South-Eastern Asia,1.5,"1,358",2011,WHO
 Yemen *,Asia,Western Asia,6.8,"1,703",2013,NSO
 Zambia,Africa,Eastern Africa,5.4,853,2015,NP
