0,1,2,3,4,5,6,7,8
Bahrain,26,Kalkidan Gezahegne,http://www.wikidata.org/entity/Q443605,wd:Q443605,26260084,Ethiopian distance runner,"Kalkidan Gezahegne (born 8 May 1991) is an Ethiopian-born Bahraini middle- and long-distance runner. She is the 10,000 metres 2020 Tokyo Olympics silver medallist. 11 years earlier, at age 18, Gezahegne became the youngest ever female World indoor champion when winning 1500 metres.
17-year-old Gezahegne won a silver medal over the 1500m at the 2008 World Junior Championships. She represented Ethiopia before acquiring Bahraini citizenship in 2013.",https://en.wikipedia.org/wiki/Kalkidan_Gezahegne
Bangladesh,15,Rani Hamid,http://www.wikidata.org/entity/Q432748,wd:Q432748,2179931,Bangladeshi female chess player,"Rani Hamid (born 14 July 1944) is a Bangladeshi chess player who became the country's first Woman International Master in 1985. She has become the national champion a total of 20 times. She is the current national champion crowned on the 38th Women National Championship at the age of 75. She won her 20th National Women's Chess Championship title on September, 2019. She is also a three-time winner of the British Women's Chess Championship.
She became Zonal Champion in 2018, got the Journalists Choice Award in Chess World Cup 2018 in Russia
and won Gold Medal in Commonwealth Chess 2017 in Delhi.",https://en.wikipedia.org/wiki/Rani_Hamid
Barbados,19,Marita Payne,http://www.wikidata.org/entity/Q441244,wd:Q441244,6734814,Canadian track and field athlete,"Marita Payne-Wiggins (born October 7, 1960) is a Canadian former track and field athlete who competed in two consecutive Summer Olympics. She is the co-Canadian record holder in the 400 metres, along with Jillian Richardson, and previously held the Canadian record in the 200 metres.",https://en.wikipedia.org/wiki/Marita_Payne
Belarus,71,Victoria Azarenka,http://www.wikidata.org/entity/Q10118,wd:Q10118,3493545,Belarusian tennis player,"Victoria Fyodarauna Azarenka (Belarusian: Вікторыя Фёдараўна Азаранка; Russian: Виктория Фёдоровна Азаренко; born 31 July 1989) is a Belarusian professional tennis player. Azarenka is a former world No. 1 in singles, having claimed the top ranking for the first time on 30 January 2012. She was the year-end No. 1 in 2012 and has held the top ranking for a combined total of 51 weeks. 
Azarenka has won 21 WTA singles titles, including two Grand Slam singles titles at the 2012 and 2013 Australian Open, becoming the first Belarusian player, male or female, to win a Grand Slam tournament singles title. Azarenka is also a three-time major finalist at the US Open, finishing runner-up to Serena Williams in both 2012 and 2013 and to Naomi Osaka in 2020. In singles she also won six Premier Mandatory tournaments (including the Sunshine Double in 2016), four Premier 5 tournaments, and the singles bronze medal at the 2012 Summer Olympics in London. She was the runner-up at the 2011 WTA Finals to Petra Kvitová, reached four other Grand Slam singles semifinals (Australian Open in 2023 (Wimbledon in 2011 and 2012 and the French Open in 2013), and had nine other major quarterfinal appearances. She finished with a year-end top 10 singles ranking for five consecutive years between 2009 and 2013.
Azarenka has won nine WTA doubles titles (including two Premier Mandatory and two Premier 5 titles), reached four Grand Slam finals in women's doubles, and reached a career-high ranking of No. 7 in the world on 7 July 2008. She has won three mixed doubles titles — two being Grand Slam titles at the 2007 US Open with compatriot Max Mirnyi and the 2008 French Open with Bob Bryan, and the third being the Olympic gold medal in mixed doubles at the 2012 London Olympics with Mirnyi.",https://en.wikipedia.org/wiki/Victoria_Azarenka
Belgium,71,Kim Clijsters,http://www.wikidata.org/entity/Q11685,wd:Q11685,262793,Belgian tennis player,"Kim Antonie Lode Clijsters (Dutch pronunciation: [kɪm ˈklɛistərs] (listen); born 8 June 1983) is a Belgian former professional tennis player. Clijsters reached the world No. 1 ranking in both singles and doubles, having held both rankings simultaneously in 2003. She won  six major titles, four in singles and two in doubles.
Clijsters competed professionally from 1997 in an era in which her primary rivals were compatriot Justine Henin and Serena Williams. Coming from a country with limited success in men's or women's tennis, Clijsters became the first Belgian player to attain the No. 1 ranking. Together with Henin, she established Belgium as a leading force in women's tennis as the two of them led their country to their first Fed Cup crown in 2001 and were the top two players in the world in late 2003. Individually, Clijsters won 41 singles titles and 11 doubles titles on the Women's Tennis Association (WTA) Tour. She was a three-time winner of the WTA Tour Championships. Between singles and doubles, she has been a champion at all four Grand Slam tournaments, winning the US Open and the Australian Open in singles and Wimbledon and the French Open in doubles partnering Ai Sugiyama. Her success at the majors was highlighted by winning three consecutive appearances at the US Open.
Plagued by injuries and having lost some of her desire to compete, Clijsters retired from tennis in 2007 at the age of 23 in order to get married and have a daughter. She returned to the sport two years later and won her second US Open title as an unranked player in just her third tournament back. She defended her title the following year and then won the Australian Open in 2011 en route to becoming the first mother to be the world No. 1. Along with Margaret Court, she also holds the record for most Grand Slam singles titles won as a mother, with three such titles, and was the first to win one since Evonne Goolagong Cawley in 1980. Clijsters retired again following the 2012 US Open. Seven years later, she began a second comeback in early 2020, ending in 2022.
Clijsters was born to athletic parents with backgrounds in professional football and gymnastics. She was renowned for her athleticism, which was highlighted by her ability to perform splits on court in the middle of points. She built the offensive side of her game around controlled aggression while also using her exceptional movement to become an elite defensive player. Clijsters was very popular and well-liked as a player, having won the Karen Krantzcke Sportsmanship Award eight times. She was inducted into the International Tennis Hall of Fame in 2017.",https://en.wikipedia.org/wiki/Kim_Clijsters
Belize,60,Simone Biles,http://www.wikidata.org/entity/Q7520267,wd:Q7520267,38659992,American artistic gymnast (born 1997),"Simone Arianne Biles (; born March 14, 1997) is an American artistic gymnast. Her seven Olympic medals tied with Shannon Miller for the most Olympic medals won by an American gymnast and is the equal ninth-most overall. Having won 25 World Championship medals, she is the most decorated gymnast in the history of the Gymnastics World Championships, and is considered by many sources to be the greatest gymnast of all time. In 2022, Biles was awarded the Presidential Medal of Freedom by Joe Biden.At the 2016 Summer Olympics in Rio de Janeiro, Biles won individual gold medals in the all-around, vault, and floor; bronze on balance beam; and gold as part of the United States team, dubbed the ""Final Five"". At the 2020 Summer Olympics in Tokyo, where Biles was favored to win at least four of the six available gold medals, she withdrew from most of the competition due to struggles with ""the twisties"", a temporary loss of air balance awareness. She ultimately won a silver medal with the US team and a bronze medal on the balance beam. Her partial withdrawal, focus on safety, mental health, and perseverance were praised. She is also a five-time World all-around champion (2013–2015, 2018–2019), five-time World floor exercise champion (2013–2015, 2018–2019), three-time World balance beam champion (2014–2015, 2019), two-time World vault champion (2018–2019), a seven-time United States national all-around champion (2013–2016, 2018–2019, 2021), and a member of the gold medal-winning American teams at the 2014, 2015, 2018, and 2019 World Artistic Gymnastics Championships. She is also a three-time World silver medalist (2013 and 2014 on vault, 2018 on uneven bars) and a three-time World bronze medalist (2015 on vault, 2013 and 2018 on balance beam).
Biles is the gymnast with the most World medals (25) and most World gold medals (19), having surpassed Vitaly Scherbo's record 23 World medals by winning her 24th and 25th, both gold, at the 2019 competition in Stuttgart. She is the female gymnast with the most World all-around titles (5). She is the sixth woman to win an individual all-around title at both the World Championships and the Olympics, and the first gymnast since Lilia Podkopayeva in 1996 to hold both titles simultaneously. She is the tenth female gymnast and first American female gymnast to win a World medal on every event, and the first female gymnast since Daniela Silivaș in 1988 to win a medal on every event at a single Olympic Games or World Championships, having accomplished this feat at the 2018 World Championships in Doha.",https://en.wikipedia.org/wiki/Simone_Biles
Benin,25,Isabelle Yacoubou,http://www.wikidata.org/entity/Q614904,wd:Q614904,36589549,French basketball player,Isabelle Yacoubou (born 21 April 1986) is a Beninese-born French basketball player. She plays for France women's national basketball team. She has competed in the 2012 Summer Olympics where France won a silver medal. Since May 2004 she also holds the Beninese record in the shot put at 15.15 meters.,https://en.wikipedia.org/wiki/Isabelle_Yacoubou
Bhutan,14,Karma,http://www.wikidata.org/entity/Q21066819,wd:Q21066819,47779441,female Bhutanese recurve archer from Trashiyangtse,Karma (born 6 June 1990) is a Bhutanese recurve archer from Trashiyangtse in eastern Bhutan and lives at Thimphu also in Bhutan.,https://en.wikipedia.org/wiki/Karma_(archer)
Bolivia,10,María Fernanda Álvarez Terán,http://www.wikidata.org/entity/Q3292179,wd:Q3292179,10286305,Bolivian tennis player,"María Fernanda Álvarez Terán (American Spanish: [maˈɾi.a feɾˈnanda ˈalβaɾes teˈɾan]; born 28 February 1989), also known as MFAT, is a former tennis player from Bolivia.
Álvarez was ranked No. 15 in the junior rankings in 2007. She won tournaments including doubles at the Copa Gatorade, Copa Milo in singles, Méditerranée Avenir in doubles, and Raquette D'Or, Riad 21, both in singles, and 21st Copa Gerdau and Condor de Plata, both in doubles.
On the senior tour, her best singles ranking was world No. 187, achieved in September 2009. On 7 April 2014, she peaked at No. 137 in the doubles rankings. Her last match on the ITF Women's Circuit she competed in her hometown Santa Cruz, in December 2016.
Playing for Bolivia Fed Cup team, Álvarez Terán has a win–loss record of 32–33.",https://en.wikipedia.org/wiki/Mar%C3%ADa_Fernanda_%C3%81lvarez_Ter%C3%A1n
Bosnia and Herzegovina,39,Andrea Petkovic,http://www.wikidata.org/entity/Q57557,wd:Q57557,13117332,German tennis player,"Andrea Petkovic (Serbian: Андреа Петковић, romanized: Andrea Petković, pronounced [ǎndrea pêtkoʋitɕ]; born 9 September 1987) is a German  former professional tennis player. Born in Tuzla, SFR Yugoslavia, to Serbian father Zoran and Bosniak mother Amira, she moved to Germany at six months old and turned professional in 2006 at the age of 18. A former top-10 player, Petkovic reached a career-high singles ranking of world No. 9 on 10 October 2011, becoming the first German female player ranked inside the top 10 since Steffi Graf in 1999. That year, she played in the quarterfinals of three Grand Slam tournaments as well as a Premier Mandatory final at the China Open, and qualified as an alternate to the WTA Tour Championships.
Petkovic suffered three separate injuries in 2012: a back injury in January, an ankle injury in August and a knee injury in December that kept her out for nine months, and almost saw her fall out of the top 200. She rebounded in 2014 by reaching her first Grand Slam semifinal at the 2014 French Open and later winning the WTA Tournament of Champions at the end of the season. Petkovic has won seven WTA Tour singles titles and one doubles title, as well as nine ITF singles and three ITF doubles titles. Petkovic became the German national champion in 2007 and 2009.

",https://en.wikipedia.org/wiki/Andrea_Petkovic
Botswana,27,Amantle Montsho,http://www.wikidata.org/entity/Q32478,wd:Q32478,12954580,Motswana athlete,"Amantle Montsho (born July 4, 1983) is a female sprinter from Botswana who specializes in the 400 metres. She represented her country at the 2004 and 2008 Summer Olympics, reaching the final at the latter edition. She was the first woman to represent Botswana at the Olympics. She has also competed at the World Championships in Athletics and the IAAF World Indoor Championships, and is the former World Champion over the 400m, winning in a personal best time of 49.56 in Daegu.
Montsho was suspended for two years for an anti-doping rule violation after she tested positive for methylhexaneamine at the 2014 Commonwealth Games.A two-time African Championships gold medallist over 400 m, she has also won titles in the event at the 2007 All-Africa Games, the 2010 IAAF Continental Cup and the 2010 Commonwealth Games. Her Commonwealth win made her Botswana's first-ever gold medallist of the games.
Her personal best times are 11.60 seconds in the 100m, 22.89 seconds in the 200m, and 49.33 seconds in the 400m. She trains at the High Performance Training Centre in Dakar, Senegal, and She holds the national record for the 400 m both indoors and outdoors.",https://en.wikipedia.org/wiki/Amantle_Montsho
Brazil,57,Marta,http://www.wikidata.org/entity/Q228616,wd:Q228616,3480241,"Marta Vieira da Silva, Brazilian footballer (born 1986)","Marta Vieira da Silva (born 19 February 1986), known mononymously as Marta ([ˈmaʁtɐ]), is a Brazilian professional footballer who plays as a forward for the Orlando Pride in the National Women's Soccer League (NWSL) and the Brazil national team. Marta is often regarded as the greatest female footballer of all time. She has been named FIFA World Player of the Year six times, five of them being consecutive (from 2006 through 2010) and the latest award coming in 2018.
Marta holds the record for being Brazil's top international goalscorer of any gender, with 115 goals. With 17 goals, Marta also holds the record for most goals scored in the FIFA World Cup tournament (women's or men's). Moreover, she was the first footballer of any gender to score at five World Cup editions, a feat matched by Christine Sinclair in 2019 and Cristiano Ronaldo in 2022, and also the first female footballer to score at five consecutive Olympic Games. She was a member of the Brazilian national teams that won the silver medal at the 2004 and 2008 Summer Olympics. She was also awarded the Golden Ball (MVP) at the 2004 FIFA U-19 Women's World Championship and won both the Golden Ball award as the best player and the Golden Boot award as the top scorer in the 2007 Women's World Cup after leading Brazil to the final of the tournament. 
At a club level, Marta won the UEFA Women's Cup at Swedish club Umeå IK in 2004 and won seven Swedish league championships during her time playing for various teams in the country.
In January 2013, she was named one of the six Ambassadors of the 2014 FIFA World Cup in Brazil, alongside Amarildo, Bebeto, Carlos Alberto Torres, Ronaldo and Mario Zagallo. She also appeared in the Sveriges Television television documentary series The Other Sport from 2013. In August 2016, Marta was one of the eight to carry the Olympic Flag in the Olympic Games in Rio de Janeiro. She was appointed by the Secretary-General of the United Nations as a Sustainable Development Goals advocate. The SDG are 17 global goals set with hopes of making the world a better place, and 17 advocates were appointed to help accomplish it.

",https://en.wikipedia.org/wiki/Marta_(footballer)
Brunei,11,Maziah Mahusin,http://www.wikidata.org/entity/Q11249799,wd:Q11249799,36558582,Bruneian hurdler,"Maziah Mahusin (born 18 March 1993) is a Bruneian hurdler, whom participated in the 2010 Summer Youth Olympics and 2012 London Olympics, and became Brunei's first female Olympian. She also was selected as the country's flag-bearer for both of the event. Maziah is became the face of female athletics in Brunei.

",https://en.wikipedia.org/wiki/Maziah_Mahusin
Bulgaria,50,Stefka Kostadinova,http://www.wikidata.org/entity/Q232008,wd:Q232008,826515,Bulgarian high jumper,"Stefka Georgieva Kostadinova (Bulgarian: Стефка Георгиева Костадинова; born 25 March 1965) is a Bulgarian former athlete who competed in the high jump. Her world record of 2.09 metres has stood since 1987. She is the 1996 Olympic champion, a two-time World champion, and a five-time World Indoor champion. She has been the president of the Bulgarian Olympic Committee since 2005.",https://en.wikipedia.org/wiki/Stefka_Kostadinova
Burkina Faso,13,Marthe Koala,http://www.wikidata.org/entity/Q6774651,wd:Q6774651,36703106,Burkinabe heptathlete and hurdler,"Marthe Koala (born 8 March 1994) is a Burkinabe athlete competing in the 100 metres hurdles and heptathlon. At the 2012 and the 2020 Summer Olympics, she competed in the women's 100 metres hurdles. She also competed in the women's heptathlon at the 2020 Summer Olympics, but was injured during the shot put and was unable to participate in the remaining four events.",https://en.wikipedia.org/wiki/Marthe_Koala
Cambodia,15,Patricia Hy-Boulais,http://www.wikidata.org/entity/Q3174664,wd:Q3174664,3931997,Canadian tennis player,"Patricia Hy-Boulais (born 22 August 1965) is a former tennis player. She turned professional on 12 October 1986. Early in her career she represented Hong Kong (since the beginning until the end of the 1987 season). She became a citizen of Canada in 1991. However, she represented Canada since the beginning of the 1988 season. Her best performance at a Grand Slam came when she got to the quarter finals of the 1992 US Open, defeating Eva Švíglerová, Judith Wiesner, Jennifer Capriati and Helena Suková before losing to eventual champion Monica Seles.
After Hy-Boulais did it in 1992, Canada did not have another woman to survive into the second week at the French Open until Aleksandra Wozniak did it in 2009.Hy-Boulais represented her new country at the 1996 Summer Olympics in Atlanta, Georgia, where she was eliminated in the second round by the number one seed Monica Seles. Hy-Boulais reached her highest ranking in the WTA Tour on 8 March 1993, when she became the number 28 of the world.
Hy-Boulais's daughter Isabelle is a top Canadian tennis prospect.",https://en.wikipedia.org/wiki/Patricia_Hy-Boulais
Cameroon,33,Françoise Mbango Etone,http://www.wikidata.org/entity/Q229085,wd:Q229085,1033614,athletics competitor,"Françoise Mbango Etone (born 14 April 1976 in Yaoundé) is a Cameroonian-born female track and field athlete. She has competed internationally for France since 2010. While competing for Cameroon, Etone was a 2-time Olympic gold medalist in the triple jump at the 2004 Olympic Games in Athens, Greece and 2008 Olympic Games in Beijing, China. She held the Olympic record for triple jump which she set with a distance of 15.39 m at the Beijing Olympics in 2008.  The 15.39 m is the third longest women's triple jump in history under any conditions.  Only 25 women have ever jumped 15 metres, Etone jumped beyond 15 metres on 7 of her last 11 attempts in the Olympic final alone.
Etone was also a talented long jumper who finished second at the African Championships in 1999. Etone was the first female athlete representing Cameroon to win medals at the Commonwealth Games, World Championships and Olympic Games. She has been a scholarship holder with the Olympic Solidarity program since November 2002.
During the 2005–06 academic year, she lived in New York City on a scholarship to attend St. John's University in Queens, New York.  The scholarship was made possible through the collaboration of the American electricity company AES Sonel along with US Ambassador to Cameroon, Niels Marquardt.  She selected St. John's University for study (along with her younger sister, Berthe) because of the school's support of cultural programs in Cameroon.",https://en.wikipedia.org/wiki/Fran%C3%A7oise_Mbango_Etone
Canada,49,Emma Raducanu,http://www.wikidata.org/entity/Q64849968,wd:Q64849968,67867692,British professional tennis player,"Emma Raducanu  (born 13 November 2002) is a British professional tennis player. She reached a career-high ranking of No. 10 by the Women's Tennis Association (WTA) on 11 July 2022, and is the current British No. 1. Raducanu is the first British woman to win a Grand Slam singles title since Virginia Wade at the 1977 Wimbledon Championships.
Raducanu was born in Toronto and raised in London. She made her WTA Tour debut in June 2021. With a wildcard entry at Wimbledon, ranked outside the top 300, she reached the fourth round in her first major tournament. At the 2021 US Open, Raducanu became the first singles qualifier in the Open Era to win a Grand Slam title, beating Leylah Fernandez in the final without dropping a set in the tournament. It was the second Grand Slam tournament of her career. She holds the Open Era record for the fewest majors played before winning a title.

",https://en.wikipedia.org/wiki/Emma_Raducanu
Cape Verde,18,Nely Carla Alberto,http://www.wikidata.org/entity/Q581248,wd:Q581248,30204321,Cape Verdean Spanish handball player,"Nely Carla Alberto Francisca (born 2 July 1983) is a Spanish handball player for Mérignac Handball and the Spain national team.
At the 2009 World Women's Handball Championship she reached the bronze final and placed fourth with the Spanish team.  She was part of the 2011 World Championship team, who were the first Spanish women's team to win a world championship handball medal.  She was also part of the Olympic bronze medal-winning team from 2012.",https://en.wikipedia.org/wiki/Nely_Carla_Alberto
Central African Republic,30,Nathalie Tauziat,http://www.wikidata.org/entity/Q232633,wd:Q232633,1028366,French tennis player,"Nathalie Tauziat (born 17 October 1967) is a French former professional tennis player. She was the runner-up in women's singles at the 1998 Wimbledon Championships and runner-up in the women's doubles at the 2001 US Open partnering  Kimberly Po-Messerli. She reached a career-high ranking of world No. 3 in both singles and doubles.
She currently coaches her countrywoman Harmony Tan and Canadian tennis player Bianca Andreescu.",https://en.wikipedia.org/wiki/Nathalie_Tauziat
Chad,15,Sosthene Moguenara,http://www.wikidata.org/entity/Q70921,wd:Q70921,37134487,Olympic long jumper,"Sosthene-Taroum Moguenara (born 17 October 1989) is a German long jumper. She competed at the 2012 Summer Olympics in London, but failed to qualify for the final. In 2011 Moguenara won the bronze medal at the European Athletics U23 Championships in Ostrava.",https://en.wikipedia.org/wiki/Sosthene_Moguenara
Chile,23,Christiane Endler,http://www.wikidata.org/entity/Q5110442,wd:Q5110442,34605044,Chilean footballer,"Claudia Christiane Endler Mutinelli (born 23 July 1991) is a Chilean professional footballer who plays as goalkeeper for Division 1 Féminine club Lyon and the Chile national team. She has previously played for Colo-Colo, Valencia, Paris Saint-Germain, and the University of South Florida.
Endler is widely regarded as one of the best female goalkeepers in the world. In both 2019 and 2020, she was among the three finalists nominated for Best Women's Goalkeeper at the Best FIFA Football Awards, earning second both years. She won the award in 2021.

",https://en.wikipedia.org/wiki/Christiane_Endler
